**********************************
*   Optimizing GRN with GRNEAT   *
**********************************

---- Evolution parameters ----
Folder name:                        NMSarsa_Maze/run_3536341606441451
Evaluator name:                     NMSarsa_Maze
Random seed:                        555
GREAT activated:                    true
Max iterations:                     150
Population size:                    500
Save Population:                    false
Representative method:              1
Species size adjusting methods:     2
Dynamics coeff for genome distance: true
GREAT initialization                true
Number of CPUs                      4
Speciation threshold:               0.15
Species min size:                   15
Initial duplicates:                 19
Tournament size:                    3
Crossover rate:                     0.2
Mutation rate:                      0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3536658893765259	480	24	480	1.8630721679125934	0.3977330506836624	-4.25531914893617E-4	8	7.68	8	8
1	3537070698294235	1077	12	523	1.8630021851638872	0.8388357234548325	-4.25531914893617E-4	9	8.792	10	8
2	3537337051834425	1589	13	512	1.8637083572934636	0.9566384501127622	-4.25531914893617E-4	10	8.808	11	8
3	3537617277237708	2141	13	513	1.8645525589419205	1.1093207155457065	-4.25531914893617E-4	9	9.048	12	8
4	3537825939328880	2673	14	513	1.86791869848572	1.3194173004546168	-4.25531914893617E-4	9	9.2	12	8
5	3538058651164037	3228	15	514	1.86414358826912	1.371355995624526	-4.25531914893617E-4	8	9.382	12	8
6	3538264145131550	3774	15	515	1.870724475752348	1.4238690339014908	-4.25531914893617E-4	12	9.516	13	8
7	3538470749836072	4314	16	515	1.8722992428598813	1.4513379582135328	-4.25531914893617E-4	8	9.714	14	8
8	3538672597976023	4858	17	516	1.873527816752923	1.489171240846859	-4.25531914893617E-4	13	9.97	14	8
9	3538874042159771	5405	15	517	1.879930237684493	1.557694307647703	-4.25531914893617E-4	8	10.078	15	8
10	3539079109896586	5962	14	515	1.890521538240368	1.5987145358471462	-4.25531914893617E-4	9	10.05	15	8
11	3539263981282989	6495	14	514	1.894248152194748	1.6277384533614667	-4.25531914893617E-4	9	10.296	16	8
12	3539460346834344	7023	15	514	1.8911322800460035	1.6386816092164271	-4.25531914893617E-4	8	10.508	16	8
13	3539717470686113	7572	13	515	1.8916738106191295	1.6549742125463616	-4.25531914893617E-4	8	10.694	16	8
14	3539948392232367	8105	13	513	1.8934770471535365	1.6838062596452368	-4.25531914893617E-4	11	10.912	18	8
15	3540191245095506	8636	13	513	1.893421089706728	1.6832043032898523	-4.25531914893617E-4	10	11.058	18	8
16	3540447188647162	9176	13	513	1.8934577036611078	1.7120103375902964	-4.25531914893617E-4	10	11.164	19	8
17	3540736665571168	9733	13	513	1.8940193674525587	1.6854603233991736	-4.25531914893617E-4	8	11.536	20	8
18	3541004523721105	10276	13	513	1.89929123346751	1.7300090646581632	-4.25531914893617E-4	8	11.584	20	8
19	3541261183178252	10809	13	513	1.8961082892466934	1.7197879239635305	-4.25531914893617E-4	9	11.832	19	8
20	3541570781302418	11374	12	513	1.8959638096607245	1.7192367109326572	-4.25531914893617E-4	8	12.07	19	8
21	3541817272639708	11890	14	512	1.8969493789534215	1.7031284602078391	-4.25531914893617E-4	8	12.186	19	8
22	3542103850681882	12414	13	514	1.895905866398313	1.7388509347788468	-4.25531914893617E-4	9	12.124	19	8
23	3542397427123835	12956	12	513	1.8973350507954765	1.7531074500573733	-4.25531914893617E-4	8	12.638	20	8
24	3542665481086499	13468	12	512	1.8957765353651523	1.727090846857704	-4.25531914893617E-4	10	12.582	20	8
25	3542957015594012	13983	13	512	1.8953440176346559	1.73918205786072	-4.25531914893617E-4	9	12.568	20	8
26	3543234462264531	14513	14	513	1.8968287492811962	1.78173115434023	-4.25531914893617E-4	11	12.382	20	8
27	3543541149300305	15053	14	514	1.8969777189955912	1.7652613883226718	-4.25531914893617E-4	10	12.228	20	8
28	3543833909589134	15591	15	514	1.897895671842055	1.752514345894035	-4.25531914893617E-4	12	12.464	20	8
29	3544127301695567	16127	14	515	1.8982044853364004	1.7225172679049632	-4.25531914893617E-4	9	12.762	21	8
30	3544462920090384	16669	17	514	1.8982601792217748	1.7386346024482964	-4.25531914893617E-4	12	12.73	21	8
31	3544856548337003	17212	14	517	1.8975426921602454	1.7674402753848544	-4.25531914893617E-4	11	13.35	22	8
32	3545201030868331	17749	15	514	1.9022693032394096	1.756132638153925	-4.25531914893617E-4	11	13.52	23	8
33	3545617818694334	18302	14	515	1.9062025100632547	1.7764315665570547	-4.25531914893617E-4	11	13.49	23	8
34	3546011134810847	18838	14	514	1.9044613130151429	1.7597018790429224	-4.25531914893617E-4	12	13.724	24	8
35	3546398293768585	19352	14	514	1.9039779442208165	1.7723190659278367	-4.25531914893617E-4	13	13.878	23	8
36	3546796868917889	19873	14	514	1.9088343109066512	1.7642556398361684	-4.25531914893617E-4	12	13.856	24	8
37	3547235175274719	20406	13	514	1.9098811912976807	1.79529302306363	-4.25531914893617E-4	10	14.288	25	8
38	3547662256926647	20929	14	513	1.9122863312248417	1.747269695660573	-4.25531914893617E-4	12	14.338	25	8
39	3548110411510653	21460	14	514	1.9173773845121718	1.803614969597671	-4.25531914893617E-4	12	15.182	25	8
40	3548560526559359	21998	14	514	1.913338663983132	1.760451896834951	-4.25531914893617E-4	12	15.154	25	8
41	3549023046651942	22522	15	514	1.9176441556450068	1.7752040302356338	-4.25531914893617E-4	14	15.742	25	8
42	3549455003604167	23037	14	515	1.9179305549166186	1.7957641734471506	-4.25531914893617E-4	15	15.514	26	8
43	3549893068531575	23551	15	514	1.917634278320874	1.7731738179880352	-4.25531914893617E-4	15	15.972	27	8
44	3550319404765928	24066	15	515	1.919851595744681	1.7638369125190052	-4.25531914893617E-4	16	15.806	27	8
45	3550769871840185	24591	15	515	1.9215696751006326	1.7749264670094593	-4.25531914893617E-4	18	15.932	26	8
46	3551212579343524	25112	15	515	1.9225507763082232	1.7700260968566168	-4.25531914893617E-4	15	16.208	27	8
47	3551661081654134	25630	16	515	1.9251718018018016	1.792224243861089	-4.25531914893617E-4	13	16.46	27	8
48	3552162606999059	26174	14	516	1.9231225301897643	1.7770145510150175	-4.25531914893617E-4	15	16.984	28	8
49	3552642889648935	26705	14	514	1.9244063762698866	1.7762905435966225	-4.25531914893617E-4	16	16.984	29	8
50	3553184806356057	27256	13	514	1.9260937962430518	1.8058819727186413	-4.25531914893617E-4	15	16.93	29	8
51	3553699249429204	27796	13	513	1.9273215181138585	1.7389351298312126	-4.25531914893617E-4	16	16.89	28	8
52	3554213900416743	28337	13	513	1.9290225445658424	1.81394877740002	-4.25531914893617E-4	15	16.934	27	8
53	3554751972165681	28875	13	513	1.9264620021084915	1.7825890104662332	-4.25531914893617E-4	15	16.846	29	8
54	3555248754876519	29399	14	513	1.9306078943837455	1.7799686334243912	-4.25531914893617E-4	17	17.022	28	8
55	3555728431297612	29922	16	514	1.9276054111558367	1.8190392557405488	-4.25531914893617E-4	16	17.116	26	8
56	3556242452248140	30457	16	516	1.9285725301897643	1.780556088159535	-4.25531914893617E-4	16	16.822	27	8
57	3556751455144790	30991	15	516	1.9277378320874066	1.7555895584890928	-4.25531914893617E-4	16	17.412	28	8
58	3557300553111088	31528	16	515	1.9258369608970671	1.7880558261694872	-4.25531914893617E-4	15	17.402	28	8
59	3557835159125317	32072	17	516	1.9299696405980447	1.8078398843505794	-4.25531914893617E-4	18	17.34	29	8
60	3558310966501261	32590	18	517	1.9288833515430324	1.7704924794239487	-4.25531914893617E-4	16	17.514	30	8
61	3558862453192411	33134	18	518	1.926944651140502	1.7750029559029994	-4.25531914893617E-4	16	17.542	29	8
62	3559419575680570	33675	16	518	1.9277073595936363	1.7699548371506724	-4.25531914893617E-4	15	17.696	29	8
63	3559916421366920	34194	16	516	1.9322768890166764	1.7779983987333452	-4.25531914893617E-4	16	18.106	30	8
64	3560438119452004	34722	15	516	1.9287350134176733	1.8144818402308789	-4.25531914893617E-4	16	18.194	28	8
65	3561002279674315	35265	15	515	1.9280645054629098	1.8127634456751736	-4.25531914893617E-4	18	18.226	29	8
66	3561543845405472	35798	15	515	1.9284487454475752	1.756688356662591	-4.25531914893617E-4	20	17.986	29	8
67	3562085011904514	36329	15	515	1.9303139984665516	1.7776930157569264	-4.25531914893617E-4	15	18.206	29	8
68	3562678185882991	36873	15	515	1.9323829930994825	1.8335494612013377	0.020115008625646986	18	18.608	28	8
69	3563191010098000	37393	16	515	1.928575076672417	1.8227662413617916	-4.25531914893617E-4	18	18.57	29	8
70	3563769490778613	37937	16	516	1.928915964155645	1.8169402881122094	-4.25531914893617E-4	18	19.218	29	8
71	3564312379642680	38465	15	516	1.9286111644623347	1.8179602829672818	-4.25531914893617E-4	16	19.094	28	8
72	3564847652395732	38989	15	515	1.9296924602261838	1.8131280839469917	-4.25531914893617E-4	20	18.942	29	8
73	3565345487759598	39509	16	515	1.9291725723595934	1.80329765603116	-4.25531914893617E-4	20	18.888	29	8
74	3565870194128701	40033	17	516	1.932825036419398	1.8144096762373456	-4.25531914893617E-4	20	19.152	30	8
75	3566423035172166	40565	16	517	1.9281410695802184	1.8024300813773153	-4.25531914893617E-4	20	19.074	30	8
76	3566958000497929	41086	16	516	1.9309415305731263	1.8283162738709764	-4.25531914893617E-4	21	19.522	31	8
77	3567539455675280	41621	16	516	1.9311081004408663	1.810613721935072	-4.25531914893617E-4	21	19.7	31	8
78	3568103083259166	42159	15	516	1.9300102156411731	1.789515415407367	-4.25531914893617E-4	19	19.478	31	8
79	3568619294770875	42676	15	515	1.9294926174046387	1.7979508335091958	-4.25531914893617E-4	19	19.74	30	8
80	3569200632175164	43217	15	515	1.9329677832087406	1.8045362663957079	-4.25531914893617E-4	18	19.882	30	8
81	3569744369370134	43744	16	515	1.9301996338892082	1.8037469772718389	-4.25531914893617E-4	18	19.898	30	8
82	3570310890143625	44276	16	516	1.9312080774391411	1.8290983049489375	-4.25531914893617E-4	18	19.568	29	8
83	3570878939882748	44811	15	516	1.931096390645965	1.8196659724079594	-4.25531914893617E-4	20	19.762	30	8
84	3571454544373146	45345	15	515	1.9312715209890743	1.8104156940026161	-4.25531914893617E-4	22	19.864	30	8
85	3572002047502569	45869	15	515	1.9306643885374737	1.7998807769353737	-4.25531914893617E-4	21	19.978	30	8
86	3572538291206525	46385	15	515	1.9325426030285606	1.8325849580292959	-4.25531914893617E-4	18	20.276	30	8
87	3573148036775537	46923	15	515	1.9338567241709794	1.8157762432060234	-4.25531914893617E-4	21	20.19	31	9
88	3573698087838472	47442	15	515	1.9314260159095267	1.8183716257771925	-4.25531914893617E-4	19	20.208	31	8
89	3574300228375823	47979	14	515	1.9322828090856814	1.8292137402852142	0.027615008625646927	19	20.072	31	8
90	3574861507603804	48501	15	514	1.9308981866973358	1.811746483766033	-4.25531914893617E-4	19	20.048	31	8
91	3575412216978380	49016	15	515	1.9300783592102742	1.8236958650881823	-4.25531914893617E-4	20	20.152	32	8
92	3575987883715943	49544	14	515	1.932422035652674	1.8181244158901722	-4.25531914893617E-4	20	20.052	32	8
93	3576559359692305	50062	13	514	1.9321019580218515	1.8244442823838412	-4.25531914893617E-4	21	20.772	33	8
94	3577134713792467	50587	13	513	1.9324250019168105	1.7894436694084903	-4.25531914893617E-4	19	20.714	34	8
95	3577695286674715	51101	13	513	1.9292082307839755	1.8190880269295049	0.015813206823845103	20	20.88	33	8
96	3578293344799837	51626	12	513	1.9311663810619129	1.8210320094357142	-4.25531914893617E-4	18	21.056	34	8
97	3578890201421540	52150	12	512	1.9312424678934255	1.7615237741229843	-4.25531914893617E-4	22	21.226	34	8
98	3579458292095573	52663	12	512	1.9305445945945945	1.8008308136036637	-4.25531914893617E-4	18	21.768	34	8
99	3580046964600081	53181	12	512	1.9299021497028945	1.7879887529126532	-4.25531914893617E-4	19	21.908	34	8
100	3580632444121876	53695	12	512	1.9303883486678166	1.7936030989733083	-4.25531914893617E-4	19	22.004	34	9
101	3581281683376342	54226	13	512	1.932116104082806	1.7755441297924002	-4.25531914893617E-4	20	22.728	34	8
102	3581944778808464	54758	13	513	1.929825860647882	1.7788406509009944	-4.25531914893617E-4	20	23.04	34	8
103	3582529984054792	55271	13	513	1.9321660427448726	1.8029241052437281	-4.25531914893617E-4	20	22.982	34	8
104	3583154235254280	55793	12	513	1.9309484109641555	1.8317651575053968	-4.25531914893617E-4	21	23.094	34	8
105	3583766300664690	56310	12	512	1.9314726969522713	1.7922935018741315	-4.25531914893617E-4	22	23.252	34	8
106	3584404242116173	56829	12	512	1.9305104111558369	1.7944912864456048	-4.25531914893617E-4	19	23.348	35	8
107	3585025796925223	57345	12	512	1.9314350383362084	1.8131026175075924	-4.25531914893617E-4	20	23.652	36	8
108	3585653978213705	57868	12	512	1.9292597517730496	1.8270861681948738	-4.25531914893617E-4	18	23.964	36	9
109	3586275305673673	58391	13	512	1.933114999041595	1.7929417021445062	-4.25531914893617E-4	22	23.034	37	8
110	3586899646056290	58916	12	513	1.9326639141268929	1.810028576090088	-4.25531914893617E-4	22	23.588	37	8
