**********************************
*   Optimizing GRN with GRNEAT   *
**********************************

---- Evolution parameters ----
Folder name:                        NMSarsa_Maze/run_3536341600670629
Evaluator name:                     NMSarsa_Maze
Random seed:                        444
GREAT activated:                    true
Max iterations:                     150
Population size:                    500
Save Population:                    false
Representative method:              1
Species size adjusting methods:     2
Dynamics coeff for genome distance: true
GREAT initialization                true
Number of CPUs                      4
Speciation threshold:               0.15
Species min size:                   15
Initial duplicates:                 19
Tournament size:                    3
Crossover rate:                     0.2
Mutation rate:                      0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3536681060969922	480	24	480	1.8692201552616445	0.22777725304093985	-4.25531914893617E-4	8	7.68	8	8
1	3537100214611057	1086	7	519	1.8734649204523672	1.101332450675371	-4.25531914893617E-4	8	8.794	11	8
2	3537402813205200	1620	8	507	1.8897619359785316	1.202821959522786	-4.25531914893617E-4	8	8.884	12	8
3	3537667471408338	2136	10	508	1.896067448725321	1.2245223660119327	-4.25531914893617E-4	9	9.182	12	8
4	3537912709998760	2664	10	510	1.8928012603028561	1.4057125387778266	-4.25531914893617E-4	9	9.398	13	8
5	3538142350583131	3182	13	510	1.8951510216599579	1.523313531710058	-4.25531914893617E-4	10	9.53	13	8
6	3538375343245244	3702	13	513	1.897464354034886	1.626175353851425	-4.25531914893617E-4	11	9.668	13	8
7	3538643829793163	4224	13	513	1.8994587387387387	1.6872288751685616	-4.25531914893617E-4	9	9.836	13	8
8	3538978102358452	4781	12	513	1.9006538269120183	1.6945797856497782	-4.25531914893617E-4	8	9.794	13	8
9	3539293275210148	5310	12	512	1.9005839735480161	1.701523849872562	-4.25531914893617E-4	8	9.788	14	8
10	3539640557163248	5853	12	512	1.8988843712861798	1.711488033730622	-4.25531914893617E-4	11	9.874	14	8
11	3539965460746277	6388	13	512	1.9022498179030092	1.7215835436433775	-4.25531914893617E-4	10	9.92	15	8
12	3540299193337382	6929	13	513	1.9036812535940195	1.7228097346749511	-4.25531914893617E-4	9	9.988	15	8
13	3540597609840557	7450	13	513	1.9034804724937704	1.7483178140215618	-4.25531914893617E-4	9	10.154	16	8
14	3540894450066167	7965	15	513	1.901719790109258	1.749069869017954	-4.25531914893617E-4	12	10.128	16	8
15	3541283704446122	8509	14	515	1.9044261376269886	1.7296094634996495	-4.25531914893617E-4	9	10.322	16	8
16	3541679494045694	9062	13	514	1.9163385173471343	1.7346161350874014	-4.25531914893617E-4	8	10.39	15	8
17	3542063031812872	9604	12	513	1.9148981311098332	1.7637377970579764	-4.25531914893617E-4	9	10.476	15	8
18	3542419659050305	10130	13	512	1.9173570596128044	1.752142484890143	-4.25531914893617E-4	9	10.412	15	8
19	3542835744585285	10678	12	513	1.9179380429365533	1.7221250385305051	-4.25531914893617E-4	8	10.49	15	8
20	3543272445522855	11224	11	512	1.9164123921794136	1.756132850136124	-4.25531914893617E-4	10	10.506	15	8
21	3543704161999131	11771	11	511	1.9175163120567376	1.7632217471895846	-4.25531914893617E-4	9	10.768	15	8
22	3544149473261923	12319	12	511	1.9177883687943262	1.7566062759468049	-4.25531914893617E-4	9	10.7	16	8
23	3544626699433824	12877	11	512	1.9189928924669353	1.7494015851966078	-4.25531914893617E-4	10	10.666	15	8
24	3545123247018627	13438	11	511	1.9178876902434348	1.804735939238985	-4.25531914893617E-4	10	10.826	15	8
25	3545568379647937	13980	12	511	1.9176121487444893	1.7645275075969085	-4.25531914893617E-4	9	11.072	16	8
26	3546021450470264	14529	11	512	1.9182515890358443	1.7531763337575028	-4.25531914893617E-4	8	11.06	15	8
27	3546419855762302	15042	14	511	1.9185094680851065	1.7668017717930278	-4.25531914893617E-4	10	11.372	16	8
28	3546846277718335	15574	13	514	1.9180255482077824	1.7661468635779167	-4.25531914893617E-4	10	11.688	16	8
29	3547296993243202	16110	12	513	1.9183272723787619	1.7607868641990252	-4.25531914893617E-4	11	11.92	16	8
30	3547736247960725	16632	12	512	1.917888955338317	1.755578745747077	-4.25531914893617E-4	10	12.024	17	8
31	3548200609468861	17163	12	512	1.9167028867165037	1.7905257852165246	-4.25531914893617E-4	11	12.1	16	8
32	3548632535363382	17677	12	512	1.9194348265286563	1.8104096093038684	-4.25531914893617E-4	9	12.344	17	8
33	3549083771634037	18205	12	512	1.91913262315507	1.771126485339021	-4.25531914893617E-4	11	12.648	17	8
34	3549547061373357	18724	12	512	1.9213793262411347	1.7857956636637886	-4.25531914893617E-4	12	12.884	17	8
35	3550053690514336	19261	12	512	1.9213772905884607	1.7906349877428958	-4.25531914893617E-4	10	13.104	18	8
36	3550507707179270	19773	12	512	1.9188782767874257	1.803164897096856	-4.25531914893617E-4	10	13.25	18	8
37	3551048651853064	20326	10	512	1.9197920184013801	1.7885418949299619	-4.25531914893617E-4	13	13.268	18	8
38	3551507180904881	20842	11	510	1.9197180467701744	1.7913109280782658	-4.25531914893617E-4	8	13.022	19	8
39	3552002061536754	21369	12	511	1.919540799309948	1.7741412416861628	-4.25531914893617E-4	15	13.298	19	8
40	3552536075698926	21913	11	512	1.9195327736246885	1.7633692023897236	-4.25531914893617E-4	11	13.742	19	8
41	3553032591625934	22445	13	511	1.9206717193789533	1.7996527735946795	-4.25531914893617E-4	14	13.928	19	8
42	3553499198261818	22970	13	513	1.9197942390262601	1.7921045642861972	-4.25531914893617E-4	16	13.544	19	8
43	3553942424749601	23483	13	513	1.9221738901667627	1.7766979344144442	-4.25531914893617E-4	9	13.598	20	8
44	3554461153184329	24024	12	513	1.920470511788384	1.7373849318243217	-4.25531914893617E-4	15	13.716	20	8
45	3554922205863177	24545	12	512	1.9190772982557025	1.7997678015195213	-4.25531914893617E-4	9	13.488	21	8
46	3555381349958918	25060	14	512	1.9199427372052904	1.7724196025744412	-4.25531914893617E-4	10	13.584	20	8
47	3555874345986718	25589	13	514	1.9206576969522717	1.7601981147218497	-4.25531914893617E-4	9	13.246	21	8
48	3556338165749169	26102	14	513	1.9206766273720528	1.7436814719945777	-4.25531914893617E-4	15	13.474	21	8
49	3556964502134818	26671	12	514	1.9235745677592488	1.7861426657686743	-4.25531914893617E-4	9	13.966	20	8
50	3557578366521508	27234	11	512	1.9199243118650566	1.7902739309663718	-4.25531914893617E-4	10	14.422	21	8
51	3558070910684799	27750	12	511	1.9218068228867164	1.7914450935354727	-4.25531914893617E-4	17	14.64	21	8
52	3558648973415857	28295	12	512	1.9205384550507953	1.7918609602134548	-4.25531914893617E-4	9	15.054	22	8
53	3559200671659293	28824	11	512	1.9207011136668584	1.7936664912747686	-4.25531914893617E-4	14	14.85	22	8
54	3559814893640412	29371	12	511	1.9206472570442783	1.779966597927819	-4.25531914893617E-4	9	14.768	24	8
55	3560326983947116	29890	12	512	1.9208771142419012	1.8117780483556611	-4.25531914893617E-4	10	14.628	23	8
56	3560882516388416	30429	14	512	1.9198710465784936	1.7714559667126402	-4.25531914893617E-4	9	14.602	23	8
57	3561395240242322	30951	14	514	1.9204823020893236	1.8024576101606615	-4.25531914893617E-4	9	15.004	24	8
58	3561911103884420	31471	15	514	1.9205554964539007	1.7918320510337722	-4.25531914893617E-4	8	15.144	24	8
59	3562486777719163	32012	13	515	1.920167327966264	1.806612689852629	-4.25531914893617E-4	17	15.192	22	8
60	3563009930822038	32537	12	513	1.9215403574851448	1.8000536270723875	-4.25531914893617E-4	9	15.596	23	8
61	3563567715384807	33069	13	512	1.9216235844354994	1.8381174320318485	-4.25531914893617E-4	20	15.816	24	8
62	3564107973342769	33592	13	513	1.9220173279662642	1.7822149312059357	-4.25531914893617E-4	9	15.808	23	8
63	3564622285386096	34109	13	513	1.9218966082039486	1.7870779985920975	-4.25531914893617E-4	16	15.894	24	8
64	3565159023568306	34633	14	513	1.9214216714586927	1.7977686166289475	-4.25531914893617E-4	10	15.67	23	8
65	3565669348660618	35151	14	514	1.9202796128042938	1.806382792520561	-4.25531914893617E-4	12	15.86	23	8
66	3566249864996637	35687	14	514	1.9192562718037185	1.7868687487702954	-4.25531914893617E-4	17	16.22	23	8
67	3566800397132614	36215	14	514	1.9212879039677975	1.793753118128477	-4.25531914893617E-4	22	16.038	23	8
68	3567342382204373	36740	15	514	1.9206865804101974	1.8090271342565343	-4.25531914893617E-4	18	15.814	24	8
69	3567893380622270	37269	15	515	1.9220685576001535	1.8113590420805026	-4.25531914893617E-4	17	15.522	24	8
70	3568463019214586	37807	16	515	1.9215638240368027	1.7785690192872068	-4.25531914893617E-4	12	15.38	23	8
71	3569077044298980	38363	15	516	1.9214758156028369	1.8315946545302104	-4.25531914893617E-4	17	15.534	24	8
72	3569648864017048	38901	15	515	1.9216913724362659	1.7967138416565709	-4.25531914893617E-4	12	15.808	25	8
73	3570162235694571	39420	15	515	1.9220417251293846	1.7833618029928295	-4.25531914893617E-4	8	15.718	24	8
74	3570704367864605	39940	15	515	1.9207062622196664	1.8192048814480666	-4.25531914893617E-4	9	15.74	25	8
75	3571242797821258	40468	14	515	1.923247390262603	1.8076819130084432	-4.25531914893617E-4	17	15.856	26	8
76	3571811345150546	41005	14	514	1.92158022426682	1.7973262839105768	-4.25531914893617E-4	22	15.548	26	8
77	3572341510967862	41522	15	514	1.921840013417673	1.8104959421645341	-4.25531914893617E-4	9	15.858	27	8
78	3572927889339531	42057	16	515	1.9211984675100633	1.778211576861307	-4.25531914893617E-4	17	16.41	28	8
79	3573525470709349	42600	16	516	1.9209985825186888	1.7748929829935083	-4.25531914893617E-4	9	16.58	28	8
80	3574090535333390	43133	16	516	1.9216062976806594	1.7990429943253496	-4.25531914893617E-4	17	16.348	28	8
81	3574682073853497	43671	15	516	1.9217168928502972	1.7654597959024088	-4.25531914893617E-4	9	16.436	28	8
82	3575321877699429	44219	16	515	1.92229024631014	1.8043830803757692	-4.25531914893617E-4	9	16.806	29	8
83	3575928126039984	44765	16	516	1.9211419148936169	1.7749034771219765	-4.25531914893617E-4	10	16.526	30	8
84	3576467974970238	45285	16	516	1.9233518228867166	1.7944022588236428	-4.25531914893617E-4	9	16.67	31	8
85	3577115984674829	45838	16	516	1.9224239735480162	1.8015838007174667	-4.25531914893617E-4	26	16.62	29	8
86	3577745331901164	46383	16	516	1.9215720691968565	1.8052411437136051	-4.25531914893617E-4	25	16.824	28	8
87	3578354338846578	46922	16	516	1.9247859286946523	1.8031295059755448	-4.25531914893617E-4	25	17.264	29	8
88	3578998050316761	47474	16	516	1.925100019168104	1.8235623954595368	-4.25531914893617E-4	10	17.09	29	8
89	3579614521811197	48013	15	516	1.9269245370902817	1.8160644815900764	-4.25531914893617E-4	27	17.426	30	8
90	3580191104257544	48542	14	515	1.9269812948054437	1.8023529428920764	-4.25531914893617E-4	26	17.43	28	8
91	3580764434820526	49076	14	514	1.9253296655165806	1.7774159920743247	-4.25531914893617E-4	26	17.046	29	8
92	3581362708459208	49617	14	514	1.927151775924861	1.7999397531043753	-4.25531914893617E-4	27	17.104	30	8
93	3581911142599974	50139	15	514	1.9290684406747172	1.7816485465691705	-4.25531914893617E-4	29	16.99	30	8
94	3582514943041534	50677	14	515	1.929070385278896	1.7678090907209625	-4.25531914893617E-4	26	17.396	31	8
95	3583070189055343	51202	14	514	1.9284206124209318	1.7846017787404094	-4.25531914893617E-4	30	17.226	32	8
96	3583612484164092	51724	14	514	1.9293643741613957	1.7693427298531663	-4.25531914893617E-4	31	17.216	31	8
97	3584198827211562	52254	13	514	1.9293074448917003	1.785712430593935	-4.25531914893617E-4	25	17.894	32	8
98	3584735570477029	52768	14	513	1.9305994009967413	1.796223556355908	-4.25531914893617E-4	28	17.792	31	8
99	3585277856587282	53283	14	514	1.928647596319724	1.768226302235881	-4.25531914893617E-4	27	17.858	32	8
100	3585879775141570	53814	15	514	1.9303894412497602	1.7916547556551503	-4.25531914893617E-4	28	18.258	33	8
101	3586468803429771	54344	15	515	1.930575412114242	1.769572374367964	-4.25531914893617E-4	24	18.34	32	9
102	3587061782553076	54875	14	515	1.9294950747556068	1.7919275012831468	-4.25531914893617E-4	28	18.594	31	8
103	3587686906601990	55411	13	514	1.9312480458117691	1.8036456760411372	-4.25531914893617E-4	28	19.358	31	8
104	3588252954226292	55931	13	513	1.9320841815219474	1.792962812269156	-4.25531914893617E-4	28	19.276	31	9
105	3588926842765517	56477	13	513	1.9293725493578684	1.7922600939573392	-4.25531914893617E-4	31	19.26	32	8
106	3589488406413529	56996	13	513	1.9300172963388924	1.7877055688742116	-4.25531914893617E-4	27	19.152	32	8
107	3590130565002026	57537	12	513	1.929154296530573	1.8109958157280088	-4.25531914893617E-4	27	19.224	33	9
108	3590707909529508	58061	12	512	1.9303277027027028	1.8034926962147488	-4.25531914893617E-4	26	19.056	33	8
109	3591294419912939	58583	12	512	1.9307048763657275	1.7916258225306838	-4.25531914893617E-4	26	19.192	33	8
110	3591895368246217	59109	11	512	1.9304576509488212	1.8123075275972034	-4.25531914893617E-4	25	19.176	31	8
111	3592515138703464	59638	11	511	1.9297163580601877	1.826905314345657	-4.25531914893617E-4	31	19.526	32	8
112	3593096030585785	60159	11	511	1.9303746540157178	1.7681241799858736	-4.25531914893617E-4	30	19.182	31	8
113	3593647171980247	60670	11	511	1.9305676145294228	1.8015782345238185	-4.25531914893617E-4	24	19.798	32	8
114	3594202653214735	61182	11	511	1.9311904830362279	1.8205514557499995	-4.25531914893617E-4	26	19.574	31	9
115	3594833983203010	61713	11	511	1.9304415257811	1.8013840820822486	-4.25531914893617E-4	26	19.53	31	8
116	3595404256817252	62227	11	511	1.929773802951888	1.8287203887336565	-4.25531914893617E-4	23	19.88	31	9
117	3596007146092716	62751	11	511	1.929519703852789	1.820444627848067	-4.25531914893617E-4	25	19.964	30	10
118	3596593011342842	63267	11	511	1.9303635192639448	1.7978042298135668	-4.25531914893617E-4	22	20.248	30	9
119	3597162486170528	63780	12	511	1.9314344402913552	1.8144820735987686	-4.25531914893617E-4	25	20.376	31	8
120	3597784157369072	64305	13	512	1.9299620193597855	1.8361282897726932	-4.25531914893617E-4	22	20.706	31	8
121	3598463718640521	64851	11	513	1.9306696329308033	1.7823026301049092	-4.25531914893617E-4	28	20.242	32	9
122	3599050804190918	65369	11	511	1.9300026576576577	1.7830824348518897	-4.25531914893617E-4	28	20.23	31	8
123	3599694366743083	65900	10	511	1.9321749290780144	1.8302718672734444	-4.25531914893617E-4	28	20.054	32	8
124	3600276819528089	66417	10	510	1.931600515622005	1.8140473215524662	-4.25531914893617E-4	23	19.464	32	8
125	3600836948612606	66927	10	510	1.931477627947096	1.7922548909992593	-4.25531914893617E-4	29	19.562	32	8
126	3601452403038543	67457	10	510	1.9301055587502396	1.800027188627301	-4.25531914893617E-4	29	19.574	32	8
127	3602015474927088	67971	9	510	1.932329166187464	1.7871187762311749	-4.25531914893617E-4	24	19.012	32	8
128	3602588659939297	68483	10	509	1.9328946655165806	1.7870588899370465	-4.25531914893617E-4	30	19.922	33	8
129	3603156380504075	68999	10	510	1.9318431282346176	1.768742230947468	-4.25531914893617E-4	27	19.132	33	8
130	3603705796269555	69509	12	510	1.9325043981215257	1.8373847019961134	-4.25531914893617E-4	30	19.586	33	8
131	3604286099637503	70023	12	512	1.9326353153153155	1.7898156774876608	-4.25531914893617E-4	31	19.716	32	8
132	3604903108147574	70546	13	512	1.931081667625072	1.7999564999322375	-4.25531914893617E-4	29	19.648	32	8
133	3605507759479661	71072	13	513	1.9320362373011308	1.7938342195368193	-4.25531914893617E-4	31	18.852	33	8
134	3606116167884037	71601	12	513	1.9336264356910102	1.7904382479754857	-4.25531914893617E-4	28	19.252	33	8
135	3606679283860145	72117	13	512	1.9334957322215833	1.8026229723365317	-4.25531914893617E-4	21	19.58	33	8
136	3607325590878652	72655	12	513	1.934312319340617	1.8113344953277275	-4.25531914893617E-4	21	19.188	33	8
137	3607890943258539	73167	14	512	1.9323548361127085	1.8110157512736307	-4.25531914893617E-4	32	19.936	34	8
138	3608564932245175	73712	14	514	1.936540416906268	1.7432171758259625	-4.25531914893617E-4	30	18.6	33	8
139	3609169176834275	74247	14	514	1.9322748619896493	1.783572688203561	-4.25531914893617E-4	32	18.432	34	8
140	3609801907450128	74783	13	514	1.9319803459842821	1.7558017916975257	-4.25531914893617E-4	33	18.942	34	8
