alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 666
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2784175491884484
Random seed:          666
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2786535090893266	997	1	499	-211.65760000000003	-2177.075745090182	-2501.0	10	9.114	12	8
1	2787849730778206	1499	1	501	-202.86880000000002	-1903.3633980039917	-2501.0	10	9.29	13	8
2	2789311248958382	2015	1	501	-196.84	-1569.6525668662687	-2501.0	11	9.492	13	8
3	2791195500502818	2528	3	501	-194.10559999999998	-1223.6572870259486	-2501.0	8	9.636	14	8
4	2793686977019525	3043	4	503	-195.74400000000003	-856.0934775347913	-2501.0	9	9.456	14	8
5	2796061306721315	3551	6	504	-190.4784	-587.324231746032	-2501.0	9	9.404	14	8
6	2798435657052765	4057	7	506	-190.528	-539.6021217391303	-2501.0	8	9.544	13	8
7	2800826215621974	4572	7	507	-190.8656	-544.0038721893492	-2501.0	8	9.59	14	8
8	2803211810919602	5079	8	507	-191.46239999999997	-516.4338429980276	-2501.0	8	9.548	15	8
9	2805530423377527	5590	7	508	-192.0016	-455.83914330708666	-2501.0	9	9.534	15	8
10	2807759000719676	6105	7	507	-191.11360000000002	-536.947042209073	-2501.0	8	9.44	14	8
11	2810102592048917	6638	6	507	-192.64480000000006	-506.99306666666666	-2501.0	8	9.7	14	8
12	2812293414242747	7147	8	506	-187.9968	-531.7121517786561	-2501.0	8	9.746	14	8
13	2814722664667687	7678	7	508	-188.2048	-482.46829606299195	-2501.0	8	9.982	15	8
14	2817049035111864	8207	6	507	-189.68480000000002	-461.7359147928993	-2501.0	8	9.778	16	8
15	2819238288762551	8720	6	506	-189.30720000000005	-453.08995415019757	-2501.0	9	10.042	15	8
