**********************************
*   Optimizing GRN with GRNEAT   *
**********************************

---- Evolution parameters ----
Folder name:                        NMSarsa_ActorCriticPendulum/run_3563368990560025
Evaluator name:                     NMSarsa_ActorCriticPendulum
Random seed:                        222
GREAT activated:                    true
Max iterations:                     150
Population size:                    500
Save Population:                    false
Representative method:              1
Species size adjusting methods:     2
Dynamics coeff for genome distance: true
GREAT initialization                true
Number of CPUs                      16
Speciation threshold:               0.15
Species min size:                   15
Initial duplicates:                 19
Tournament size:                    3
Crossover rate:                     0.2
Mutation rate:                      0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
52	3575288702042665	29522	9	509	342.15508241260943	-194.89936082089912	-940.1022798915823	11	9.622	15	8
53	3575512371068733	30053	9	509	346.64410533145804	-174.20747539227332	-927.7555927449085	11	9.816	15	8
54	3575771006246645	30645	9	570	352.9317517255802	-173.30868143844054	-932.2238361218267	12	11.032	16	8
55	3575927591173553	31236	8	558	321.28259080655147	-239.29092386294843	-981.9644180479986	9	10.57	14	8
56	3576069922689932	31789	10	520	345.3340192902869	-246.41885966879082	-946.6093854692978	9	9.982	13	8
57	3576247112457091	32350	7	510	354.94960552403916	-207.07082351166721	-963.0925919871336	8	9.868	13	8
58	3576420204712081	32889	9	507	353.83313716850597	-204.11523997017548	-932.1138208743432	9	9.834	14	8
59	3576579326872242	33420	7	514	348.73525031286505	-218.56572772616278	-951.670234459369	9	9.912	15	8
60	3576742813483031	33945	8	507	354.0372890616385	-200.00454078726688	-951.0329573627524	8	9.968	15	8
61	3576916118469978	34491	11	516	354.36723238349623	-199.87121758909024	-917.0617690356419	9	10.252	16	8
62	3577086275895688	35031	13	521	350.2026606516018	-199.47487213966406	-950.15046495396	8	10.098	15	8
63	3577249943613760	35554	12	512	354.85495983665487	-164.14865906373225	-932.896545950455	9	9.818	15	8
64	3577442955609744	36084	11	519	318.9915997208187	-166.1834621527954	-925.1889039012269	9	10.09	16	8
65	3577669692368148	36609	10	511	328.9405976839962	-169.839933209865	-961.5882114855624	9	9.862	14	8
66	3577955485622800	37166	10	528	345.282207039913	-124.7876530741966	-952.4628169147975	9	10.094	13	8
67	3578234078056782	37725	9	524	334.5006204440219	-174.9521474476701	-939.8698587586767	8	10.246	14	8
68	3578471238175694	38271	7	509	333.54624248935266	-165.85320940491223	-948.2736775909449	11	10.122	14	8
69	3578622783129844	38823	9	552	328.7289053529693	-164.46680313998834	-922.8705050807155	14	10.958	15	8
70	3578844440919721	39366	6	516	325.78850166200925	-170.13592640017433	-920.8005858914996	11	9.958	16	8
71	3579012097857482	39883	9	508	327.59278630100454	-153.73958312573578	-949.6630801670267	13	9.822	17	8
72	3579191561314515	40427	7	509	320.68017681129425	-182.96149225758575	-923.807624525253	9	9.31	14	8
73	3579358880366431	40979	7	528	301.92080761391	-169.89516982352558	-948.5917236870207	9	9.56	14	8
74	3579529812147179	41495	11	507	307.4978582378887	-148.34176479540557	-947.1254378924884	9	9.348	13	8
75	3579780559130162	42062	9	511	352.5312024143051	-121.62380473830993	-936.4362553780635	11	9.482	13	8
76	3580051370582477	42609	9	518	353.20881858678905	-114.62772307154499	-945.864167027218	11	9.54	13	8
77	3580260277293188	43266	10	618	307.93881577550843	-210.31141299133526	-935.0305500806608	11	11.228	13	8
78	3580405779244304	43838	9	538	326.19668555752804	-245.89511122257736	-951.8628194347428	11	10.002	14	8
79	3580564712318748	44360	10	511	327.0118135121217	-185.397347519617	-928.7386164623539	11	9.438	13	8
80	3580737045127150	44913	8	531	323.2904629543265	-192.12787900865126	-933.6060815509722	10	10.224	14	8
81	3580940781543167	45451	9	514	357.5586212704533	-186.16256104963176	-932.9185014470517	10	9.812	14	8
82	3581106584368416	46054	7	557	275.40212987552417	-207.4300198227951	-941.8616835540371	9	11.026	15	8
83	3581252076519759	46580	7	507	313.14470272666506	-193.96965818041136	-941.4443492683383	10	9.922	15	8
84	3581440840951609	47105	9	507	321.7063610288021	-190.524866106088	-914.7396314797076	9	9.964	15	8
85	3581629257745370	47634	11	510	314.64642494529323	-188.81200751566374	-915.5716191887208	8	9.838	16	8
86	3581771129788666	48158	10	516	307.4663664710278	-163.47631093343466	-921.6531514210575	11	10.184	16	8
87	3581935355519135	48676	11	510	342.20970393273353	-202.96851822918185	-932.7089700320001	11	9.57	17	8
88	3582170592636249	49233	10	517	338.337810028236	-169.45927080658248	-935.2165655138308	11	10.194	16	8
89	3582403339678999	49767	7	510	332.58716326840255	-188.27556249384702	-931.3093360515355	11	9.524	16	8
90	3582571848757313	50303	8	523	321.84624974924066	-175.48552806540226	-956.587293129572	9	9.684	14	8
91	3582725297533181	50865	9	542	329.7866449131394	-223.04073674584285	-964.4012231144587	9	10.338	15	8
92	3582877317417473	51374	9	509	325.15364697964026	-200.64324101371102	-944.423987996619	9	9.802	15	8
93	3583135928650688	51941	9	532	328.9795313794012	-166.1708094070537	-946.7482683458435	8	10.36	15	8
94	3583380955718980	52457	10	509	329.5393883908174	-79.45160761642093	-929.9354628763277	9	9.726	15	8
95	3583754400613513	53114	8	634	326.89212380336284	-91.43054836080925	-953.5752883650564	8	12.214	14	8
96	3584159552180282	53858	11	711	336.2964981344152	-61.09260103284046	-943.617056857332	10	14.458	14	8
97	3584557490603102	54615	9	753	345.74985248101245	-54.1547764861907	-948.5087751128663	10	14.192	15	8
98	3585023633985444	55457	9	825	346.71567688056047	-74.96963178547816	-944.1922273915127	10	16.432	16	8
99	3585295490097158	56140	7	635	345.0600030846304	-180.26277083353543	-959.986507196138	10	11.836	15	8
100	3585496075200847	56691	7	524	346.86094383574607	-223.16018119348988	-945.150607843301	9	9.592	13	8
101	3585713770254482	57234	7	507	348.04734752795156	-193.81096019782362	-922.8874762181125	9	9.486	14	8
102	3586022699751489	57793	7	507	347.55599589612734	-142.27973253829438	-937.016450600891	9	9.722	15	8
103	3586331307446460	58353	7	533	354.3612893315403	-159.0454697393587	-980.3086527525095	8	10.0	15	8
104	3586516208312462	58933	9	580	361.8284455115836	-205.75166965772956	-948.7433781286476	8	11.158	16	8
105	3586713209298194	59452	8	508	355.9394123044508	-199.15063803338572	-964.5564108988652	9	9.68	17	8
106	3587050147411162	59979	9	508	354.35341634455347	-130.80184801982958	-952.5957895582361	10	9.644	18	8
107	3587240970904837	60535	9	548	357.9602099337686	-210.18915632136859	-933.568044915635	9	10.02	15	8
108	3587495734074644	61093	6	519	353.7342958968596	-185.25727238826607	-941.6286798848232	10	9.878	17	8
109	3587743444227640	61609	6	506	357.28192168426256	-113.33087133172478	-964.4179761146214	9	9.792	18	8
110	3588146246762737	62188	8	562	357.1707728649336	-95.10593310230574	-947.7958338096979	8	10.488	18	8
111	3588620797671009	62756	8	548	355.2519829812186	-24.369125234794232	-922.2562084189117	8	10.384	19	8
112	3589536457013120	64190	12	1415	332.29055666148224	-58.58911142633227	-939.1771694410671	9	30.31	20	8
113	3589806228592968	64793	8	582	324.42001958372856	-163.399984034675	-920.3290955706034	10	10.884	17	8
114	3590015812100826	65353	7	540	302.8747334739246	-149.949234936803	-949.0771226523062	8	10.476	17	8
115	3590354896390188	65889	6	507	334.98111226515084	-70.25335184705195	-956.9551087026774	11	9.98	18	8
116	3590622446918715	66399	9	506	327.34612296714806	-10.707112207151257	-917.4625568932901	12	11.18	19	8
117	3591086420949025	67428	6	1009	309.50273722410924	-41.67872110369946	-935.4520715450492	9	20.278	13	8
118	3591480567889400	68068	5	614	313.5876699854983	7.78411877195442	-929.437983870351	11	12.392	14	8
119	3592609584066868	69122	3	1049	317.1818723600583	57.54523833802332	-920.0584036201469	11	19.622	13	8
120	3617583574966474	89332	8	20197	358.44364175400295	89.46255515370576	-966.4912837779877	11	393.56	14	8
