alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 888
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2784175395852460
Random seed:          888
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2786778305662854	997	1	499	-224.40799999999996	-1504.454970741482	-2501.0	9	10.216	16	8
1	2788621537530444	1512	2	501	-215.87359999999998	-1153.4464383233535	-2501.0	12	10.938	17	8
2	2790128356395418	2014	2	502	-217.37759999999994	-1162.9444047808772	-2501.0	12	9.912	16	8
3	2791862568871778	2520	2	502	-203.4336	-959.273972908367	-2501.0	11	10.344	17	8
4	2793818725131660	3022	2	502	-206.2672	-851.5167203187247	-2501.0	10	10.764	18	8
5	2795725155119870	3528	6	502	-211.7504	-1002.8765227091629	-2501.0	11	10.178	19	8
6	2797657275243457	4035	7	506	-202.616	-755.0679841897233	-2501.0	14	10.31	16	8
7	2799753213949670	4543	8	507	-207.65920000000003	-589.0294879684419	-2501.0	10	10.658	17	8
8	2801966288471721	5059	7	508	-201.59999999999997	-593.5487874015748	-2501.0	9	10.546	17	8
9	2804164847061767	5566	7	507	-197.67520000000005	-574.8844938856016	-2501.0	12	10.648	16	8
10	2806434275668032	6082	6	507	-199.6128	-495.7403644970415	-2501.0	12	10.868	17	8
11	2808612626626427	6588	6	506	-194.792	-511.94998577075097	-2501.0	10	10.988	18	8
12	2810681658806847	7106	6	506	-195.8384	-510.63191462450584	-2501.0	11	11.218	18	8
13	2812786653177329	7612	7	506	-195.5216	-481.0336063241107	-2501.0	12	11.178	18	8
14	2814804594058317	8124	7	507	-197.7248	-459.6774343195266	-2501.0	14	11.82	19	8
15	2816909007444486	8631	7	507	-196.58559999999997	-486.90231163708097	-2501.0	12	11.78	19	8
16	2819006705382071	9149	7	507	-195.34720000000002	-447.54174358974365	-2501.0	14	11.708	19	8
17	2821074470624257	9664	7	507	-190.43039999999996	-428.9906714003945	-2501.0	14	12.122	19	8
18	2823113751338875	10173	8	507	-187.95200000000006	-495.3813617357002	-2501.0	14	12.596	19	8
19	2825130428149383	10681	8	508	-186.84959999999998	-487.6881007874016	-2501.0	10	11.972	20	8
20	2827129815795430	11190	8	508	-188.75999999999996	-465.5709858267717	-2501.0	13	12.098	21	8
21	2829292604019505	11714	7	508	-186.11039999999997	-409.5902047244095	-2501.0	13	12.544	20	8
22	2831414523019522	12233	9	507	-184.9504	-378.5788560157791	-2501.0	10	11.874	19	8
23	2833621305512150	12771	8	509	-183.93280000000001	-464.281445972495	-2501.0	13	11.784	19	8
24	2835753288935857	13290	8	508	-185.97920000000002	-464.9854173228346	-2501.0	13	11.518	19	8
25	2837915768283281	13814	8	508	-187.11360000000005	-404.90744251968505	-2501.0	10	11.788	19	8
26	2839957433661452	14329	9	508	-186.18240000000003	-417.09568818897645	-2501.0	12	12.006	19	8
27	2842024292243730	14852	8	509	-185.77759999999995	-399.00644086444	-2501.0	13	11.754	20	8
28	2844123385862485	15368	8	508	-182.5968	-440.1613700787403	-2501.0	13	12.038	20	8
29	2846218374508645	15885	8	508	-186.55679999999995	-429.54036220472443	-2501.0	12	12.01	21	8
30	2848290607207079	16402	9	508	-183.504	-447.83949921259847	-2501.0	12	11.946	20	8
31	2850363492879810	16922	8	509	-183.56479999999996	-546.0345430255403	-2501.0	10	11.492	19	8
32	2852447343114768	17439	8	508	-185.46399999999997	-428.2577952755905	-2501.0	11	11.452	19	8
33	2854551336643341	17962	7	508	-183.6688	-403.58822992125994	-2501.0	11	11.358	19	8
34	2856781191187945	18487	7	507	-183.29120000000003	-517.9078469428009	-2501.0	11	10.942	19	8
35	2858970130997127	19039	7	507	-183.19839999999996	-543.5224426035503	-2501.0	11	10.46	20	8
36	2860973583676775	19546	7	507	-182.7008	-404.98384220907303	-2501.0	13	11.124	21	8
37	2863200872390767	20097	8	507	-183.2704	-472.1543226824457	-2501.0	11	11.53	21	8
38	2865262406200104	20628	8	508	-182.83200000000005	-481.96136692913393	-2501.0	11	11.048	22	8
39	2867275808082692	21140	8	508	-183.65760000000003	-534.9215968503938	-2501.0	11	11.308	23	8
40	2869322641663185	21648	8	508	-180.36000000000004	-528.3194897637794	-2501.0	10	11.254	24	8
41	2871449445475549	22181	9	508	-179.87999999999997	-517.8154362204724	-2501.0	10	11.126	23	8
