alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1313
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2784148543192971
Random seed:          1313
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2784550027284272	997	1	499	-105.8	-1125.7719438877748	-3000.0	11	9.866	14	8
1	2784697442186589	1510	2	501	-100.6	-1076.081168330006	-3000.0	13	10.468	15	8
2	2784835878550700	2020	3	502	-101.7	-1044.4880531208503	-3000.0	11	10.188	16	8
3	2784947797954147	2532	3	503	-100.33333333333333	-823.2257654075546	-3000.0	14	9.956	15	8
4	2785054611278729	3042	3	503	-91.56666666666668	-792.3186136514248	-3000.0	8	9.85	16	8
5	2785180714829774	3546	4	503	-89.62800000000001	-839.755628893307	-3000.0	9	10.446	17	8
6	2785298207979460	4055	4	504	-86.70933333333332	-651.2886190476188	-3000.0	8	10.858	17	8
7	2785432720367995	4576	4	504	-87.3853333333333	-615.5737645502649	-3000.0	8	10.154	18	8
8	2785551661726654	5089	5	504	-88.19466666666665	-714.26105026455	-3000.0	8	10.008	19	8
9	2785672326713976	5608	6	505	-87.29333333333334	-688.4395432343234	-3000.0	11	10.33	18	8
10	2785785972850328	6140	6	506	-86.756	-604.4125612648221	-3000.0	9	10.412	18	8
11	2785902033637653	6651	8	506	-87.07200000000003	-602.7104216073781	-3000.0	9	10.492	17	8
12	2786018816938859	7163	8	508	-86.14	-530.8476797900262	-3000.0	11	11.48	18	8
13	2786138607224653	7688	8	508	-88.132	-592.2768425196851	-3000.0	9	11.24	18	8
14	2786240432307196	8221	8	508	-87.86266666666667	-434.7574068241469	-3000.0	10	11.7	18	8
15	2786352605936464	8743	7	508	-87.74533333333335	-517.7542650918635	-3000.0	9	11.612	18	8
16	2786484672086582	9250	9	507	-87.79333333333332	-424.1714950690337	-3000.0	12	11.906	19	8
17	2786605275174374	9759	9	509	-86.61466666666664	-353.9056319580878	-3000.0	16	11.564	20	8
18	2786719178505145	10268	9	509	-86.9	-399.2958847413228	-3000.0	13	11.062	20	8
19	2786851281885458	10796	9	509	-83.70666666666668	-429.9301427635887	-3000.0	13	11.424	21	8
20	2787003420635814	11319	10	509	-82.544	-456.8592036673216	-3000.0	13	11.494	22	8
21	2787190758691050	11836	10	510	-80.80666666666667	-497.62690457516334	-3000.0	13	11.87	22	8
22	2787375039934637	12358	10	510	-80.33733333333333	-410.69565228758165	-3000.0	16	11.608	20	8
23	2787560015842214	12879	11	510	-79.14133333333332	-354.05612810457524	-3000.0	15	10.828	18	8
24	2787775927323566	13437	8	511	-79.104	-555.2401513372472	-3000.0	17	11.024	19	8
25	2787968694539829	13960	8	508	-77.19866666666667	-420.80338845144354	-3000.0	16	11.132	20	8
26	2788187370634494	14489	6	508	-76.30666666666667	-413.65049343832027	-3000.0	15	10.936	20	8
27	2788413876501714	14995	7	506	-74.16799999999998	-452.9140816864295	-3000.0	14	11.558	20	8
28	2788645930088551	15502	7	507	-74.18666666666667	-325.53287310979624	-3000.0	14	12.09	19	8
29	2788862674424442	16013	7	507	-75.50533333333333	-392.48093885601577	-3000.0	14	11.348	18	8
30	2789116973945053	16520	7	507	-75.49333333333333	-347.9358763971072	-3000.0	15	12.212	19	8
31	2789355279701345	17027	7	507	-73.456	-330.06863642340556	-3000.0	14	12.166	20	8
32	2789598323283206	17534	7	507	-72.376	-363.92878106508874	-3000.0	14	11.996	21	8
33	2789843430699678	18041	7	507	-73.688	-446.82017357001973	-3000.0	13	12.246	22	8
34	2790085232670469	18548	7	507	-71.72666666666666	-554.3644049967128	-3000.0	17	11.454	23	8
35	2790351443105784	19055	7	507	-73.62533333333334	-473.1864904667981	-3000.0	16	12.14	20	8
36	2790574777600036	19568	6	507	-73.50266666666667	-378.2348086785009	-3000.0	16	11.412	20	8
37	2790850965677870	20082	5	506	-72.03066666666666	-465.3847747035573	-3000.0	16	11.742	21	8
38	2791109023642376	20590	5	505	-72.51866666666666	-332.3583287128713	-3000.0	16	11.626	21	8
39	2791380627276721	21095	5	505	-73.532	-397.87206864686465	-3000.0	18	11.756	19	8
40	2791633313168968	21600	5	505	-72.16666666666666	-346.4423603960395	-3000.0	17	11.49	19	8
41	2791896634346237	22105	7	505	-71.10666666666667	-432.34252937293735	-3000.0	16	11.06	19	8
42	2792203275798915	22630	6	507	-70.83466666666668	-340.7298040762656	-3000.0	17	12.076	20	8
43	2792545171260959	23146	6	506	-71.30666666666667	-359.28767061923594	-3000.0	18	12.982	20	8
44	2792906758429001	23652	6	506	-70.70133333333334	-353.45469301712785	-3000.0	17	13.49	20	8
45	2793217212173127	24158	6	506	-71.02933333333335	-428.0070513833992	-3000.0	8	12.168	21	8
46	2793511005843150	24666	6	506	-70.48933333333333	-493.39067984189717	-3000.0	17	12.324	22	8
47	2793828161659561	25172	6	506	-70.91733333333333	-498.11377865612644	-3000.0	8	12.686	23	8
48	2794140956263471	25678	7	506	-69.82800000000002	-366.44313833992084	-3000.0	20	11.99	22	8
49	2794482266149654	26185	7	507	-70.396	-490.51907166337935	-3000.0	17	13.108	22	8
50	2794805369726204	26692	7	507	-68.648	-381.9155213675215	-3000.0	18	12.73	22	8
51	2795130773838173	27199	7	507	-69.752	-425.60967784352397	-3000.0	8	12.854	23	8
52	2795462070911330	27706	7	507	-69.90133333333331	-409.4314950690334	-3000.0	22	12.58	24	8
53	2795790658492189	28213	7	507	-69.31866666666666	-343.8780775805392	-3000.0	18	12.892	23	8
54	2796138852556789	28728	6	507	-61.970666666666666	-422.55709401709424	-3000.0	9	13.176	23	8
55	2796470825501165	29242	5	506	-64.31733333333335	-365.29725164690376	-3000.0	9	12.578	24	8
56	2796820722386552	29750	5	505	-61.955999999999996	-399.7436646864686	-3000.0	8	13.568	25	8
57	2797182425594511	30258	5	505	-61.77600000000001	-518.0696026402641	-3000.0	8	13.832	25	8
58	2797546826476016	30772	5	505	-61.72266666666665	-461.48969240924094	-3000.0	9	13.488	23	8
59	2797946156715844	31277	5	505	-61.46133333333334	-375.92280660065995	-3000.0	10	15.032	24	8
60	2798331583156388	31783	6	505	-60.90266666666666	-440.4471445544554	-3000.0	8	14.516	23	8
61	2798671298471037	32291	6	506	-61.16533333333333	-578.9149960474306	-3000.0	9	13.058	24	8
62	2799080565351776	32804	6	506	-62.394666666666666	-526.7002608695652	-3000.0	11	14.736	25	8
63	2799436386601066	33316	7	506	-60.63333333333332	-568.0704558629777	-3000.0	8	13.264	26	8
64	2799729127157965	33849	6	507	-61.65200000000001	-628.0963182117025	-3000.0	8	12.226	26	8
65	2800002092359244	34360	8	506	-61.19733333333333	-542.5021686429511	-3000.0	8	11.808	27	8
66	2800313558883422	34874	7	508	-61.385333333333335	-583.8910734908136	-3000.0	9	13.11	25	8
67	2800590381858739	35410	7	507	-60.51600000000002	-591.8691886916502	-3000.0	9	11.57	25	8
68	2800827216287949	35917	7	507	-61.48533333333333	-576.1977278106508	-3000.0	9	10.476	23	8
69	2801096597606169	36431	7	507	-61.23599999999998	-578.7553846153846	-3000.0	8	10.88	22	8
70	2801374447823121	36938	7	507	-59.396	-571.424449704142	-3000.0	8	11.158	23	8
71	2801653563471238	37445	7	507	-61.429333333333325	-499.9648468113083	-3000.0	9	11.346	24	8
72	2801907586877044	37955	7	507	-60.12666666666667	-620.7003129520053	-3000.0	8	10.164	22	8
73	2802165612356224	38462	7	507	-61.08933333333332	-651.7544746877054	-3000.0	8	10.37	23	8
74	2802437466903933	38972	7	507	-60.59466666666667	-569.642006574622	-3000.0	8	11.128	23	8
75	2802699481853225	39479	7	507	-60.334666666666664	-572.0660512820515	-3000.0	8	10.43	21	8
76	2802965549094723	39986	7	507	-60.220000000000006	-645.9365733070347	-3000.0	8	10.374	22	8
77	2803243420759103	40501	7	507	-60.29333333333334	-625.5115634451018	-3000.0	8	10.728	23	8
78	2803528989654090	41008	7	507	-61.128000000000014	-569.1776988823143	-3000.0	9	11.03	23	8
79	2803802386839821	41515	7	507	-60.097333333333324	-557.4488178829716	-3000.0	9	10.696	24	8
80	2804083412843625	42027	6	507	-59.684	-608.3421827744903	-3000.0	9	10.438	23	8
81	2804367847841626	42553	4	506	-59.59600000000001	-596.1955731225295	-3000.0	8	10.744	22	8
82	2804682215296297	43088	5	504	-58.61200000000001	-546.7317142857142	-3000.0	9	11.568	23	8
83	2804993311392657	43622	5	505	-59.85066666666667	-602.3662442244225	-3000.0	8	11.41	24	8
84	2805295711079396	44138	6	505	-59.33999999999999	-569.9189122112211	-3000.0	9	11.446	24	8
85	2805580591547660	44653	6	506	-59.02266666666665	-714.8992305665349	-3000.0	8	10.932	24	8
86	2805861251329206	45160	7	506	-57.54266666666666	-713.8851198945981	-3000.0	8	10.038	22	8
87	2806137490109126	45679	6	507	-58.49066666666665	-635.7080078895464	-3000.0	9	10.404	23	8
