alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 555
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2784175382056389
Random seed:          555
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2787591287945548	997	1	499	-213.62239999999997	-415.2406765531059	-2501.0	11	10.066	15	8
1	2789913060999925	1498	1	501	-209.4704	-377.00302115768477	-2501.0	11	10.688	16	8
2	2792239026847796	1999	1	501	-205.04160000000005	-333.96586666666644	-2501.0	11	11.222	17	8
3	2794513494253072	2508	2	501	-199.53439999999998	-354.6807313373257	-2501.0	12	11.352	16	8
4	2796670546542256	3010	3	502	-200.70719999999994	-321.2470565737053	-2501.0	10	10.646	17	8
5	2798653977657077	3527	4	503	-200.18079999999995	-327.3085964214711	-2501.0	11	9.84	16	8
6	2800584974632057	4031	4	504	-200.11199999999997	-337.6476761904762	-2501.0	9	9.49	17	8
7	2802638243408358	4548	4	504	-200.83679999999995	-343.49515873015855	-2501.0	13	9.872	17	8
8	2804618974962305	5052	4	504	-201.57440000000003	-380.2213047619047	-2501.0	15	9.438	17	8
9	2806554288938198	5556	5	504	-199.30560000000003	-332.9229111111111	-2501.0	11	10.148	17	8
10	2808488975375804	6061	5	505	-198.1072	-339.6434217821782	-2501.0	10	10.022	17	8
11	2810423282322207	6566	5	505	-199.79360000000005	-327.066316039604	-2501.0	9	10.022	18	8
12	2812576595552326	7092	4	505	-199.91039999999998	-338.3175667326732	-2501.0	11	10.518	17	8
13	2814555487947906	7596	4	504	-195.888	-359.8649206349207	-2501.0	10	10.37	18	8
14	2816622545771521	8115	6	504	-195.02720000000002	-352.7528857142857	-2501.0	12	10.136	18	8
15	2818709823767137	8635	7	506	-195.49599999999998	-355.4393169960474	-2501.0	9	10.156	17	8
16	2820715090511001	9142	8	507	-194.75199999999998	-378.89825956607484	-2501.0	12	9.744	16	8
17	2822836761451036	9650	8	508	-194.54719999999995	-335.9422015748032	-2501.0	12	9.894	16	8
18	2824920306028681	10173	7	508	-194.61279999999996	-359.34171023622054	-2501.0	13	9.924	15	8
19	2826971885786485	10680	8	507	-197.2576	-359.91306035502953	-2501.0	12	9.974	16	8
20	2829058345926597	11188	8	508	-195.11680000000004	-349.8128818897637	-2501.0	12	10.172	17	8
21	2831211912894805	11701	8	508	-191.73280000000003	-313.14795905511806	-2501.0	12	10.46	15	8
22	2833298951326481	12212	8	508	-194.0192	-343.2789354330709	-2501.0	12	10.238	16	8
23	2835524905786242	12736	7	508	-192.31039999999996	-333.5153921259843	-2501.0	10	10.158	16	8
24	2837552683579785	13246	7	507	-192.39679999999996	-351.34096094674555	-2501.0	10	10.33	17	8
25	2839646709895412	13763	8	507	-192.43519999999998	-326.75152347140045	-2501.0	10	10.636	17	8
26	2841771585683843	14286	8	508	-192.792	-330.2451244094488	-2501.0	10	10.742	18	8
27	2843841554265445	14796	9	508	-195.47040000000004	-352.6435244094488	-2501.0	10	10.548	17	8
28	2845902764553709	15305	9	509	-193.4176	-366.9750978388998	-2501.0	9	10.73	18	8
29	2848157558980550	15842	8	509	-192.32800000000003	-373.60167229862475	-2501.0	11	10.774	19	8
30	2850223831623369	16350	10	508	-187.97760000000002	-328.3520913385826	-2501.0	15	10.86	19	8
31	2852348228310594	16865	10	510	-189.65120000000002	-315.81507764705884	-2501.0	11	11.152	19	8
32	2854530505607045	17405	10	510	-189.4528	-324.0458509803921	-2501.0	11	11.39	20	8
33	2856631030673882	17927	9	510	-190.25439999999998	-340.86339450980387	-2501.0	12	11.536	19	8
34	2858734731279230	18448	9	509	-187.6	-320.9582302554028	-2501.0	12	11.568	19	8
35	2860852114244558	18976	8	509	-190.73600000000002	-314.5973658153241	-2501.0	11	11.624	19	8
36	2862996960927843	19500	8	508	-189.63359999999997	-311.8464692913386	-2501.0	10	11.608	19	8
37	2865072727022173	20017	8	508	-191.91039999999998	-312.8152913385827	-2501.0	14	11.666	18	8
38	2867130521291250	20527	9	508	-188.64	-299.4194866141732	-2501.0	12	12.088	18	8
39	2869233871614107	21047	9	509	-191.42880000000005	-288.74693280943023	-2501.0	13	12.074	18	8
40	2871366294965552	21570	10	509	-191.4784	-372.2041021611002	-2501.0	15	12.414	18	8
41	2873476972666293	22098	11	510	-189.87040000000002	-293.6201945098039	-2501.0	13	12.324	19	8
42	2875679432684943	22616	9	511	-192.77280000000002	-282.91588258317023	-2501.0	11	12.474	20	8
43	2877818646126329	23133	9	509	-189.93439999999998	-295.40140510805503	-2501.0	13	12.746	19	8
44	2880048036655282	23653	10	509	-189.7376	-301.006110805501	-2501.0	14	12.948	19	8
45	2882172533804878	24168	11	510	-188.35039999999998	-356.6189333333333	-2501.0	10	12.372	20	8
46	2884360610622271	24689	11	511	-188.4031999999999	-351.51964618395306	-2501.0	12	12.214	20	8
47	2886540240402815	25208	10	511	-189.93919999999994	-339.4444305283758	-2501.0	9	12.15	18	8
48	2888728064063431	25731	10	510	-189.57440000000003	-328.7748172549019	-2501.0	13	12.084	18	8
49	2890848945507655	26248	10	510	-189.42239999999995	-304.62181647058827	-2501.0	12	11.79	19	8
50	2892983546179191	26783	9	510	-190.5504	-279.2005239215686	-2501.0	8	11.68	17	8
51	2895127812550292	27307	8	509	-188.69279999999998	-310.99991827111984	-2501.0	17	12.216	18	8
52	2897307274306766	27815	8	508	-190.1376	-309.9756409448819	-2501.0	11	12.202	17	8
53	2899405786119204	28334	7	508	-188.8992	-303.31424881889774	-2501.0	16	11.816	18	8
54	2901628691196792	28855	8	507	-189.7344	-286.7309349112426	-2501.0	14	12.32	19	8
55	2903858708908047	29394	7	508	-189.74079999999998	-303.9850551181102	-2501.0	9	12.202	20	8
56	2905953894803967	29915	7	507	-189.34720000000002	-323.71820433925046	-2501.0	10	11.882	21	8
57	2908064038106535	30426	8	507	-190.31359999999998	-345.30391163708083	-2501.0	14	12.36	21	8
58	2910077672611661	30934	8	508	-188.97760000000002	-289.1756755905512	-2501.0	10	11.74	19	8
59	2912250646514113	31476	7	508	-187.792	-288.93635590551185	-2501.0	14	12.762	20	8
60	2914237572410105	31983	8	507	-189.30559999999997	-319.2262816568047	-2501.0	13	12.03	19	8
61	2916285926019254	32496	9	508	-190.6976	-313.9916220472441	-2501.0	9	11.78	20	8
62	2918376443376347	33022	8	509	-185.1792	-323.1016518664047	-2501.0	12	11.892	19	8
63	2920443212296368	33540	7	508	-190.31680000000003	-334.69580472440947	-2501.0	12	12.032	20	8
64	2922522339702283	34054	7	507	-188.03839999999997	-317.0259408284024	-2501.0	12	12.348	20	8
65	2924520957985608	34565	6	507	-190.05599999999995	-314.4816441814595	-2501.0	12	12.042	20	8
66	2926531619131226	35091	6	506	-187.40959999999998	-348.37120948616604	-2501.0	13	11.75	18	8
67	2928684682864979	35624	7	506	-188.17600000000002	-329.3050782608696	-2501.0	11	11.458	18	8
68	2930611314765496	36131	10	507	-188.20159999999998	-381.72122761341234	-2501.0	14	11.188	19	8
69	2932575506865155	36654	9	510	-185.06079999999997	-412.53761254901957	-2501.0	10	10.964	19	8
70	2934625761775470	37179	10	509	-186.73120000000003	-351.4456487229862	-2501.0	10	11.382	19	8
71	2936632400644500	37701	9	510	-187.65279999999998	-328.88171294117643	-2501.0	13	11.676	19	8
72	2938709193900366	38219	9	509	-186.57120000000006	-346.3673210216111	-2501.0	9	11.52	20	8
73	2940748012615010	38728	9	509	-188.96159999999998	-354.5830946954814	-2501.0	14	11.596	19	8
74	2942812362275531	39241	9	509	-188.23840000000004	-320.27471277013757	-2501.0	10	11.634	20	8
75	2944890427460602	39755	9	509	-185.2464	-297.6993728880157	-2501.0	12	12.206	20	8
76	2946971169000622	40270	9	509	-189.27039999999997	-305.4113288801572	-2501.0	10	12.538	20	8
77	2949042304396369	40779	9	509	-188.82240000000002	-299.2980683693517	-2501.0	11	12.224	20	8
78	2951156954330501	41305	10	509	-187.95840000000004	-319.87392691552066	-2501.0	9	12.282	21	8
79	2953288290905543	41849	8	510	-184.0112	-323.486942745098	-2501.0	15	11.82	20	8
80	2955339070480706	42361	9	508	-188.76960000000003	-315.70688818897645	-2501.0	12	11.722	19	8
81	2957459192826147	42877	12	509	-187.16479999999996	-305.05942946954815	-2501.0	16	12.186	20	8
82	2959535490720587	43396	12	512	-187.85440000000003	-333.42377500000003	-2501.0	12	11.892	21	8
83	2961764245592629	43957	8	512	-187.92320000000004	-323.04454062499997	-2501.0	12	11.946	21	8
84	2963852230334648	44481	8	508	-188.65439999999995	-307.665105511811	-2501.0	15	12.254	20	8
85	2965928824474380	45008	9	508	-183.52800000000002	-309.52501417322827	-2501.0	17	12.62	20	8
86	2968036724652077	45529	10	509	-187.7856	-319.02000157170926	-2501.0	15	12.44	21	8
87	2970269549571475	46066	9	510	-186.22719999999998	-287.86761098039216	-2501.0	11	13.212	20	8
88	2972480613082407	46583	8	509	-186.05599999999998	-305.18671277013743	-2501.0	16	13.154	21	8
89	2974652833643007	47096	8	508	-187.6064	-292.87347401574795	-2501.0	14	13.058	21	8
90	2976664280455549	47615	8	508	-187.82079999999993	-297.58933228346456	-2501.0	18	12.394	21	8
91	2978770189427968	48127	10	508	-188.8368	-290.74654488188975	-2501.0	18	12.16	21	8
92	2980943654280737	48661	10	510	-187.28959999999998	-293.018591372549	-2501.0	17	12.914	21	8
93	2983094262207389	49186	9	510	-185.73120000000003	-296.5824909803921	-2501.0	19	13.062	21	8
94	2985295253948673	49710	9	509	-186.53439999999998	-300.8925233791748	-2501.0	16	13.288	21	8
95	2987441439733106	50238	9	509	-180.1952	-315.23152220039293	-2501.0	18	13.14	21	8
96	2989679815316616	50778	9	509	-186.43200000000002	-319.19684400785854	-2501.0	15	12.818	20	8
97	2991893962624865	51313	9	509	-185.74400000000003	-302.25882593320233	-2501.0	18	12.67	21	8
98	2994091772409873	51841	9	509	-185.83840000000004	-311.95013280943033	-2501.0	15	12.676	22	8
99	2996143485821603	52367	9	509	-187.60320000000004	-359.3391056974459	-2501.0	15	12.06	21	8
100	2998293417513163	52882	9	509	-184.63679999999997	-286.62657131630647	-2501.0	20	12.712	22	8
101	3000403083523197	53391	9	509	-184.49280000000002	-314.68634970530456	-2501.0	16	12.102	22	8
102	3002504782266173	53900	9	509	-185.29600000000002	-318.0570027504911	-2501.0	18	12.298	21	8
103	3004667575566073	54426	10	509	-184.23039999999997	-308.98379567779966	-2501.0	19	12.852	21	8
104	3006782571212122	54947	10	510	-185.74880000000002	-341.5295592156863	-2501.0	16	12.44	22	8
105	3008902817139234	55472	9	510	-180.58239999999995	-301.92496313725485	-2501.0	17	12.88	23	8
106	3011112504623523	55991	8	509	-180.5136	-295.0620007858547	-2501.0	18	13.368	22	8
107	3013220455261831	56508	9	508	-184.9968	-300.9791086614173	-2501.0	17	13.202	21	8
108	3015280999585965	57021	8	509	-182.53920000000002	-309.91398978389	-2501.0	17	12.654	21	8
109	3017370748467747	57552	8	508	-183.8416	-337.8830047244094	-2501.0	15	12.326	21	8
