alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1515
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2784148537315487
Random seed:          1515
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2784463301013279	997	1	499	-90.45599999999999	-522.92493253173	-3000.0	9	9.142	14	8
1	2784531988580921	1515	2	501	-89.12799999999999	-393.51888223552885	-3000.0	9	9.472	14	8
2	2784653992330992	2030	3	502	-77.472	-621.8077662682606	-3000.0	11	9.854	14	8
3	2784768879569647	2553	3	503	-77.896	-428.5776620278331	-3000.0	11	10.514	15	8
4	2784892353952995	3071	4	503	-76.096	-457.0709449966865	-3000.0	10	10.666	16	8
5	2785064309965050	3578	6	504	-76.17333333333335	-449.3173359788359	-3000.0	10	10.266	15	8
6	2785193808476503	4088	7	506	-73.96133333333333	-367.2112779973651	-3000.0	11	9.758	16	8
7	2785355708008313	4600	7	507	-73.54933333333332	-367.7054122287969	-3000.0	9	10.182	16	8
8	2785530364108827	5118	6	507	-72.59733333333334	-338.30003681788287	-3000.0	9	10.172	16	8
9	2785720243864791	5625	6	506	-74.50266666666664	-423.1215625823453	-3000.0	9	10.164	16	8
10	2785961411273431	6147	6	506	-72.496	-335.10392094861663	-3000.0	14	10.31	16	8
11	2786230830210127	6670	5	506	-71.45600000000002	-346.31530961791833	-3000.0	11	10.394	16	8
12	2786532931606376	7200	5	505	-72.09733333333335	-339.6979669966997	-3000.0	10	10.65	16	8
13	2786831026351730	7705	6	505	-71.92133333333334	-308.4210772277227	-3000.0	12	10.556	16	8
14	2787105562418607	8215	6	506	-71.20400000000001	-279.70279578392626	-3000.0	13	10.352	17	8
15	2787418733301648	8721	6	506	-66.71600000000001	-282.0335862977602	-3000.0	12	10.34	17	8
