alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 444
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2784148540720638
Random seed:          444
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2784434039965546	997	1	499	-100.6	-282.3467361389448	-3000.0	9	9.268	13	8
1	2784475686485283	1498	1	501	-101.23333333333333	-274.8411576846308	-3000.0	10	9.49	14	8
2	2784520278815278	2002	3	501	-89.81066666666666	-282.6933226879574	-3000.0	8	9.678	15	8
3	2784560707047974	2505	3	503	-91.66266666666665	-232.4412326043737	-3000.0	8	9.616	14	8
4	2784603354269115	3015	3	503	-90.63866666666667	-233.67848906560633	-3000.0	9	9.796	14	8
5	2784648662140779	3518	3	503	-91.25999999999998	-215.08175480450632	-3000.0	9	10.466	15	8
6	2784715234670886	4021	4	503	-88.01333333333332	-235.62023326706426	-3000.0	10	10.116	15	8
7	2784798621628019	4526	5	504	-85.64666666666668	-251.5724153439154	-3000.0	13	10.35	16	8
8	2784933643683157	5031	5	505	-87.52266666666667	-220.54081056105622	-3000.0	14	9.978	16	8
9	2785092427110560	5540	5	505	-85.59066666666669	-225.51161188118817	-2911.8333333333335	9	10.002	16	8
10	2785260590506692	6046	5	505	-85.91466666666668	-217.54358811881184	-3000.0	14	9.8	14	8
11	2785444307075707	6561	4	505	-84.14399999999999	-231.43342046204626	-2916.733333333333	9	9.928	15	8
12	2785682218266737	7078	4	504	-83.30533333333335	-208.28467460317455	-2911.9333333333334	9	10.048	16	8
13	2785919723623722	7582	4	504	-83.73066666666665	-192.18858465608463	-2907.6666666666665	10	10.93	17	8
14	2786151941291914	8095	4	504	-81.50533333333334	-225.08728042328036	-3000.0	9	10.934	17	8
15	2786394448710341	8599	6	504	-81.38266666666665	-215.04400793650785	-2912.2	10	11.032	17	8
16	2786669274640224	9105	6	506	-80.46799999999999	-217.41911198945982	-2908.4	12	11.394	17	8
17	2786928006471380	9611	6	506	-80.21199999999997	-216.48487747035574	-2918.1666666666665	13	11.314	17	8
18	2787168013502457	10117	6	506	-81.98	-197.01460869565216	-3000.0	10	10.974	18	8
19	2787439433505053	10623	7	506	-64.02799999999999	-189.3404005270092	-3000.0	11	11.162	17	8
20	2787716672531872	11130	7	507	-82.37466666666667	-214.73804339250492	-2963.4	10	10.788	17	8
21	2787991573419557	11641	7	507	-82.37199999999999	-176.13977120315582	-3000.0	11	10.738	18	8
