alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1414
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2784175485982005
Random seed:          1414
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	2786724863972726	997	1	499	-235.71680000000003	-2112.59876232465	-2501.0	10	9.214	14	8
1	2788543490808093	1498	6	501	-226.34879999999998	-1485.956100598802	-2501.0	11	9.266	14	8
2	2790621207436776	2016	5	506	-232.58559999999997	-1126.1338055335966	-2501.0	11	9.848	14	8
3	2792859329450841	2526	5	505	-229.74079999999998	-1181.1033314851486	-2501.0	10	10.052	15	8
4	2795262224041111	3031	6	505	-229.71359999999996	-1154.0854875247524	-2501.0	10	10.16	15	8
5	2797418422946720	3556	5	506	-218.1007999999999	-1413.0118418972334	-2501.0	8	10.508	14	8
6	2799503183199140	4066	5	505	-212.24480000000003	-1404.4196562376237	-2501.0	10	10.73	15	8
7	2801751848967670	4571	5	505	-232.71040000000005	-1281.6686289108911	-2501.0	8	10.86	16	8
8	2803874720885665	5103	5	505	-215.71040000000002	-1287.3808665346533	-2501.0	9	10.564	16	8
9	2805851454119232	5608	5	505	-210.7024	-1321.9714534653465	-2501.0	8	10.84	16	8
10	2807797388121866	6113	6	505	-204.32800000000006	-1268.0034756435643	-2501.0	8	11.032	16	8
11	2809412355201304	6619	6	506	-209.05119999999997	-1449.715772332016	-2501.0	8	11.516	16	8
12	2811100466769338	7125	6	506	-215.88	-1408.0744252964435	-2501.0	13	11.502	16	8
13	2813056762094892	7633	6	506	-204.2416	-1256.2469818181823	-2501.0	11	11.244	16	8
14	2815372446395604	8139	7	506	-201.2848	-971.2221312252964	-2501.0	8	10.924	15	8
15	2817924880590719	8646	7	507	-204.15039999999996	-748.4934153846157	-2501.0	12	10.67	16	8
16	2820406434157531	9153	7	507	-205.29280000000006	-665.4642998027615	-2501.0	11	10.618	15	8
17	2822999090113303	9669	6	507	-200.47519999999997	-536.6316370808678	-2501.0	11	10.976	16	8
18	2825521992692924	10175	6	506	-194.55359999999996	-498.2994403162056	-2501.0	10	11.062	17	8
19	2828045287739983	10681	6	506	-193.7552	-574.8303146245057	-2501.0	10	11.054	18	8
20	2830575697591934	11198	6	506	-195.4896	-489.36963794466413	-2501.0	11	11.294	19	8
21	2833069149022374	11704	6	506	-193.74240000000006	-442.0352980237154	-2501.0	11	11.782	18	8
22	2835426804641083	12210	6	506	-194.44320000000005	-486.90944189723325	-2501.0	10	11.796	17	8
23	2837795788125064	12728	5	506	-194.86720000000003	-482.8128537549408	-2501.0	9	11.97	17	8
24	2840267240041567	13242	4	505	-191.64960000000002	-416.846342970297	-2501.0	12	12.65	18	8
25	2842794646984095	13746	4	504	-193.0368	-435.3067555555555	-2501.0	13	12.596	18	8
26	2845159223235351	14251	4	504	-191.58880000000002	-472.882746031746	-2501.0	12	12.43	17	8
27	2847557739752071	14755	4	504	-193.03840000000002	-487.69412063492064	-2501.0	12	12.62	18	8
28	2850052050235643	15259	4	504	-192.54400000000004	-426.24881904761907	-2501.0	11	12.48	19	8
29	2852404570342799	15763	4	504	-192.64	-390.27228571428566	-2501.0	11	12.444	19	8
30	2854683151856141	16267	4	504	-186.2784	-395.9226793650794	-2501.0	11	12.678	19	8
31	2857027330414550	16771	4	504	-183.40960000000004	-404.4825523809523	-2501.0	11	12.706	19	8
32	2859574179542006	17276	4	504	-184.76160000000004	-361.94781269841275	-2501.0	12	12.596	19	8
33	2861803094836582	17780	4	504	-182.87520000000004	-434.964526984127	-2501.0	12	12.312	19	8
34	2863996599150522	18284	4	504	-183.04319999999996	-407.37305396825406	-2501.0	12	12.376	19	8
35	2866189865166959	18788	4	504	-183.3936	-432.60069841269836	-2501.0	12	12.42	19	8
36	2868412274129902	19295	4	504	-181.66080000000002	-443.1802222222223	-2501.0	11	11.804	20	8
37	2870645130970162	19799	4	504	-182.2432	-464.1813428571428	-2481.0	14	11.804	19	8
38	2872934671022255	20303	4	504	-181.21759999999998	-485.7680666666666	-2501.0	12	11.278	20	8
39	2875220751629411	20807	4	504	-182.5072	-400.5456825396825	-2501.0	9	12.04	21	8
40	2877491216403331	21311	4	504	-181.79360000000005	-437.69846349206347	-2501.0	9	11.484	21	8
41	2879674653520184	21815	4	504	-180.1984	-438.882926984127	-2501.0	11	11.836	21	8
42	2881871803507931	22319	4	504	-181.13119999999998	-488.2099428571428	-2501.0	10	11.824	21	8
43	2884150494305366	22823	4	504	-180.88480000000004	-406.9839206349207	-2501.0	11	12.326	22	8
44	2886412049181560	23331	4	504	-181.28959999999998	-412.93212698412697	-2501.0	14	12.898	23	8
45	2888752911481115	23835	4	504	-179.65599999999998	-486.39582857142864	-2501.0	10	12.36	23	8
46	2890876797130628	24339	4	504	-179.04800000000003	-487.990092063492	-2501.0	9	11.568	21	8
47	2893016138213952	24843	4	504	-180.05440000000002	-423.76010476190487	-2501.0	10	12.102	21	8
48	2895179130328289	25347	4	504	-179.50240000000002	-437.64514285714284	-2501.0	10	12.324	20	8
49	2897325855032244	25851	4	504	-179.71840000000003	-495.66498730158736	-2501.0	12	12.59	20	8
50	2899584984933148	26355	4	504	-179.0896	-449.3413079365079	-2501.0	13	12.542	21	8
51	2901772961620952	26859	4	504	-174.84480000000002	-443.808857142857	-2501.0	18	12.802	21	8
52	2903875213321513	27363	4	504	-174.74559999999997	-482.9172730158731	-2501.0	11	12.632	21	8
53	2906047879579341	27867	4	504	-172.69279999999998	-469.6396825396825	-2501.0	14	12.696	22	8
54	2908286447267344	28371	4	504	-174.84	-490.5820603174605	-2501.0	14	13.126	23	8
55	2910527351122519	28875	4	504	-172.18720000000002	-449.59249206349205	-2501.0	13	13.488	24	8
56	2912722230743176	29379	4	504	-179.2656	-442.2210476190475	-2501.0	13	13.118	22	8
57	2914886465835640	29883	4	504	-175.02239999999998	-454.99373015873016	-2501.0	13	12.324	22	8
58	2917304245870667	30387	4	504	-179.03039999999993	-412.9833650793651	-2501.0	13	13.602	23	8
59	2919571555559126	30891	4	504	-175.83359999999996	-431.5487619047619	-2501.0	13	13.67	22	8
60	2921770305724249	31395	4	504	-177.12	-457.19725079365077	-2501.0	13	13.806	23	8
61	2924143314503365	31899	4	504	-174.1808	-428.2597873015873	-2501.0	13	14.48	23	8
62	2926459686562229	32403	4	504	-174.9856	-434.41857142857157	-2501.0	12	14.382	23	8
63	2928853385759633	32907	4	504	-172.70879999999997	-480.70137142857146	-2501.0	17	14.932	24	8
64	2931185992511830	33411	4	504	-173.6672	-425.7778095238095	-2501.0	11	15.104	24	8
65	2933523361139850	33915	4	504	-175.01919999999998	-476.7606444444444	-2501.0	13	15.362	24	8
66	2935869193923448	34419	4	504	-173.6128	-453.0602349206351	-2501.0	13	15.786	24	8
67	2938136454785014	34923	4	504	-173.34399999999994	-507.43604761904754	-2501.0	17	16.004	24	9
68	2940452198442625	35427	4	504	-171.696	-437.9948888888889	-2501.0	15	15.868	24	9
69	2942768231322617	35931	4	504	-172.60479999999995	-460.98513968253974	-2501.0	15	16.146	25	9
70	2944954302017915	36435	4	504	-173.7184	-530.776634920635	-2501.0	14	15.134	25	8
71	2947391461372069	36939	4	504	-172.33599999999998	-485.4506888888888	-2501.0	12	16.438	26	8
72	2949691551133765	37443	4	504	-173.4816	-466.07112380952367	-2501.0	17	16.67	27	9
73	2951965381286831	37947	4	504	-175.296	-515.2612857142858	-2501.0	16	16.444	26	8
74	2954258173135960	38451	4	504	-173.2096	-478.8526	-2501.0	13	16.414	26	8
75	2956499367848743	38955	4	504	-173.55200000000002	-567.9064063492062	-2501.0	16	16.348	26	8
76	2958908149040996	39459	4	504	-175.056	-499.1996666666667	-2501.0	14	16.71	26	8
77	2961297829056615	39963	4	504	-176.576	-519.1721809523809	-2501.0	16	16.926	25	8
78	2963652769804064	40467	4	504	-176.47039999999998	-488.4752253968254	-2501.0	18	16.568	25	8
79	2966056018518559	40971	4	504	-175.5744	-548.4515301587302	-2501.0	18	16.642	26	8
80	2968473950083378	41480	3	504	-171.66879999999998	-494.6269396825392	-2501.0	18	16.728	27	8
81	2970815791716106	41983	3	503	-172.40319999999997	-476.9632159045725	-2501.0	18	16.238	26	8
82	2973005459037667	42486	3	503	-173.81119999999999	-495.8893836978131	-2501.0	18	15.574	27	8
83	2975286402180610	42989	3	503	-171.82559999999998	-463.7099546719683	-2501.0	18	15.318	26	8
84	2977456190210917	43492	3	503	-175.18400000000005	-508.7253980119284	-2501.0	18	15.236	27	8
85	2979645478696054	43995	3	503	-177.74239999999998	-460.86882226640176	-2501.0	23	14.848	27	8
86	2981800282607281	44498	3	503	-178.0896	-480.6482003976146	-2501.0	19	14.826	27	8
87	2983969437445178	45001	3	503	-178.5808	-477.0738703777336	-2501.0	18	14.75	27	8
88	2986044042758926	45504	3	503	-173.07199999999997	-542.1937526838963	-2501.0	21	15.478	28	8
89	2988230447988612	46007	3	503	-178.16639999999995	-547.3528842942344	-2501.0	17	14.44	27	8
90	2990375840972084	46510	3	503	-177.90079999999998	-525.1585940357852	-2501.0	20	14.92	28	8
91	2992739300544777	47013	3	503	-179.1936	-491.85365248508947	-2501.0	20	15.094	27	8
92	2994948143757370	47516	3	503	-176.83360000000002	-461.4448699801193	-2501.0	15	15.798	28	8
93	2997181906106386	48019	3	503	-174.15200000000002	-459.4727284294234	-2501.0	22	15.75	29	8
94	2999425261412058	48522	3	503	-177.99840000000003	-571.8947880715706	-2501.0	21	15.946	30	8
95	3001627904031019	49025	3	503	-177.0896	-484.9939976143141	-2501.0	20	15.886	31	8
96	3003863826620724	49528	3	503	-178.30720000000005	-491.281456858847	-2501.0	15	15.616	30	8
97	3006164874280447	50031	3	503	-172.472	-461.97499801192856	-2501.0	15	15.3	30	8
98	3008281090385010	50534	3	503	-176.36640000000003	-515.5121940357853	-2501.0	17	14.756	29	8
99	3010448112278715	51037	3	503	-178.91359999999997	-513.6213534791251	-2501.0	21	14.24	30	8
100	3012568765397891	51540	3	503	-178.23520000000005	-465.3653312127236	-2501.0	24	15.056	30	8
101	3014586771010276	52043	3	503	-177.69920000000002	-444.3716771371771	-2501.0	18	14.802	31	8
102	3016702322097779	52546	3	503	-176.2448	-515.2066958250497	-2501.0	13	14.724	29	8
103	3018856355118264	53049	3	503	-173.76479999999995	-454.5390059642147	-2501.0	16	14.69	26	8
104	3021006678760386	53552	3	503	-176.32319999999999	-547.9933264413519	-2501.0	20	14.932	25	8
105	3023175795614838	54055	3	503	-178.34079999999997	-486.8783809145129	-2501.0	14	15.498	25	8
106	3025384810319966	54558	3	503	-177.60160000000005	-445.1296667992046	-2501.0	15	15.246	25	8
