alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_ActorCriticPendulum/run_3036074546447962
Random seed:          111
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3037576580615465	997	1	499	365.883909448635	-163.29996967389994	-909.2933181197365	9	9.06	13	8
1	3039385911685672	1518	2	501	365.9012989451086	31.094987414511003	-910.6773587005423	9	9.414	13	8
2	3048748131103193	2806	4	1288	380.8345103104417	173.98503159529272	-914.3837360496162	8	25.272	14	8
3	3062947904227828	4290	5	1484	379.5489756422928	190.84056653218119	-914.6609560739228	11	28.844	14	8
4	3071305778358896	4800	5	505	373.76042143768666	220.55623610454225	-949.3698075185573	8	9.65	14	8
5	3079580409041115	5322	5	505	375.9933416430722	208.88235424746009	-912.689039352894	10	9.56	14	8
6	3088953905106328	5829	6	505	384.2887834518403	256.1318876289371	-942.2008313540639	12	9.87	15	8
7	3099014227620114	6346	6	506	385.50871647463146	277.0510831180436	-924.3456273344607	9	10.1	14	8
8	3109412864932678	6855	6	506	387.0942618179509	279.2296577183628	-939.9005333379312	8	10.534	15	8
9	3120399725264150	7365	6	506	395.12793349576253	298.02780598441853	-911.1813166028157	11	10.66	15	8
10	3131423369829810	7884	6	506	399.84399403337017	296.06963887146395	-916.6300032019146	14	10.788	15	8
11	3142035134257383	8390	6	506	399.82910066034174	288.19885320140145	-948.176705613862	14	10.716	16	8
12	3153068831524332	8896	7	506	410.2036258570271	297.34510353768036	-913.7983645280831	13	11.05	16	8
13	3164076295701785	9407	6	507	401.71705825390154	307.36150892777505	-916.3563112710144	16	11.286	16	8
14	3175217362513464	9913	6	506	409.4311692406853	304.340505597874	-914.5494713242939	12	11.488	17	8
15	3186582010980296	10419	6	506	415.1244292325927	306.1690964467667	-940.7722475502999	12	11.596	18	8
16	3198540988335111	10925	6	506	422.51233074603164	326.7115296410564	-916.2770018072523	12	11.762	18	8
17	3210110477222283	11431	6	506	417.5072649039757	310.85510331695866	-913.368741558074	12	12.382	18	8
18	3221624547240273	11937	6	506	417.6425007287165	320.87987255088154	-912.265682806629	15	12.208	18	8
19	3233890046867250	12456	6	506	425.08953684872154	336.4663563611881	-909.4922285782393	11	12.3	19	8
20	3245399292906317	12962	6	506	421.1157585399029	313.74216621687077	-916.706163786518	13	12.442	20	8
21	3257606761152134	13490	6	506	422.3639429405027	332.29626996890113	-920.0728344874157	10	12.308	20	8
22	3269552544847551	13996	6	506	423.27007751678	329.5915759431724	-938.6321238429035	13	12.696	20	8
