alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1616
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_ActorCriticPendulum/run_3036074542040242
Random seed:          1616
GREAT activated:      true
Max iterations:       500
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3037279025474306	997	1	499	299.73044545127516	-343.64989337006233	-950.6363359353795	13	9.164	13	8
1	3038122412071274	1498	2	501	313.4579884329235	-24.636056443842428	-913.3161230300938	11	9.902	14	8
2	3039319997558139	2042	4	544	346.2367900435191	-8.936376672668112	-960.5143979989364	9	9.346	11	8
3	3046731937593648	2702	5	657	345.8753626080568	168.74656772456626	-942.1501375689513	8	11.236	11	8
4	3053770907688334	3212	5	505	348.5905004043697	221.35913342892	-914.642223724124	8	8.896	11	8
5	3060380826665268	3728	5	505	362.01931779790425	228.94518862257155	-918.3264870469775	9	9.116	12	8
6	3067585560395205	4240	7	505	373.68336222350194	233.27068955443772	-933.4812857782248	10	9.298	13	8
7	3074731991020118	4760	6	507	376.7726301689041	245.47982063418885	-912.1171846152528	10	9.632	14	8
8	3084009697930791	5269	7	506	375.79645922299113	271.7207342318296	-964.7063664344146	11	9.858	15	8
9	3093428495165488	5784	9	506	378.54768320046446	273.36424511497063	-923.4522322542557	11	9.91	14	8
10	3102847153317687	6302	9	509	382.2709170291141	258.2166688679519	-971.0291989477926	11	9.92	14	8
11	3113423398816666	6811	9	509	385.6061299187022	291.87810314280915	-976.5047636307354	8	9.836	15	8
12	3124554983377790	7323	9	509	391.5264616979785	277.75987346833114	-974.7222766537311	10	9.694	15	8
13	3136590647322270	7864	7	509	389.36911519864856	294.96788543226097	-947.6748092233009	10	9.868	14	8
14	3148235537346149	8374	8	507	400.4106271638396	305.26719783521645	-918.859849819807	10	9.916	15	8
15	3159915877410721	8896	7	508	405.60288639345083	288.3123504790726	-915.8690797657432	10	9.93	15	8
16	3171583930436393	9403	7	507	419.5037483500595	295.80458740790647	-937.3863025837064	10	9.942	14	8
17	3183185246892121	9910	7	507	415.05777154897777	297.66965159607497	-953.7467901598719	10	10.206	14	8
18	3195011062259832	10417	7	507	415.5372783427832	295.1585865926838	-954.8545259102574	9	10.262	15	8
19	3206660606856913	10924	7	507	424.7681193365928	294.9141618595175	-959.7858074658474	8	10.32	16	8
20	3218924511658794	11440	8	507	426.11746213599514	323.7385227443919	-925.5329151612767	12	10.44	16	8
21	3231114300323376	11951	8	508	421.9584897324655	321.04472655692126	-967.4396756907049	11	10.618	15	8
22	3243252529491660	12459	8	508	432.10979051836955	345.235365274571	-942.2096597656945	9	10.658	16	8
23	3255169376618536	12976	7	508	431.1981197573107	309.5332389760135	-947.900994772583	8	10.696	17	8
24	3266979252248437	13483	7	507	429.74811179905635	319.99971376360617	-912.100372852111	10	10.934	17	8
