alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 555
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-Maze/run_735271360292140
Random seed:          555
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	739241328230392	997	1	(456:499[0.15],)	499	-325.84	-13229.918917835677	-15001.0	14	9.666	15	8	(0.08806525407517012,)
1	741195043752926	1498	4	(456:210[0.16],457:52[0.15],458:180[0.15],459:59[0.15],)	501	-297.5	-10335.774830339318	-15001.0	8	10.214	16	8	(0.07190571936699783,0.09692221236950362,0.09797983485112598,0.08594963873342716,)
2	742613434502454	2006	4	(456:182[0.15],457:97[0.16],458:144[0.13999999999999999],459:81[0.16],)	504	-294.35	-6925.029900793651	-15001.0	9	10.528	16	8	(0.07167234488343902,0.04128419943543847,0.040861979814335175,0.07184621454486122,)
3	743433987999705	2519	4	(456:159[0.13999999999999999],457:199[0.17],458:72[0.12999999999999998],459:74[0.17],)	504	-283.18	-3583.1501388888883	-15001.0	9	11.068	17	8	(0.07359190915162696,0.03582849813484014,0.07548229691599381,0.09016084453614158,)
4	743930853291657	3020	5	(456:155[0.12999999999999998],457:194[0.16],458:79[0.13999999999999999],459:53[0.18000000000000002],465:23[0.15],)	504	-269.59	-2266.179226190476	-15001.0	10	10.656	17	8	(0.08256032504034765,0.06853590962812725,0.08147873432670051,0.07610748425840709,0.11770918608312173,)
5	744216431057180	3521	5	(456:161[0.11999999999999998],457:154[0.15],458:29[0.15],459:52[0.19000000000000003],465:109[0.16],)	505	-265.03	-1309.37295049505	-14985.71	9	10.544	18	8	(0.06962780414796668,0.0647830269258682,0.08341409356370082,0.07333675165326886,0.041960552599189696,)
6	744466136700996	4021	5	(456:127[0.10999999999999999],457:122[0.13999999999999999],458:100[0.16],459:115[0.20000000000000004],465:41[0.15],)	505	-265.03	-1260.5336831683167	-15001.0	9	10.156	18	8	(0.05681307325165261,0.08292821307636247,0.08934780862917957,0.062481406350431826,0.056729775066492606,)
7	744697379780676	4532	5	(456:183[0.09999999999999999],457:108[0.12999999999999998],458:125[0.15],459:31[0.19000000000000003],465:58[0.16],)	505	-265.03	-1081.3960396039606	-14910.9	9	9.924	19	8	(0.05783103958933107,0.07822827742957855,0.06746980040073616,0.07358271046557767,0.06505833490758102,)
8	744916795464891	5039	7	(456:48[0.09],457:119[0.11999999999999998],458:25[0.13999999999999999],459:94[0.20000000000000004],465:124[0.17],470:79[0.15],471:16[0.15],)	505	-264.96	-1093.2542772277227	-15001.0	9	9.986	20	8	(0.0681543200538371,0.053704601441287775,0.05861930507595118,0.0647408801339235,0.07635159987443016,0.08248548327188383,0.07844150524159689,)
9	745169317020470	5546	6	(456:56[0.09999999999999999],457:35[0.10999999999999999],459:53[0.19000000000000003],465:148[0.16],470:169[0.13999999999999999],471:46[0.16],)	507	-264.96	-1169.2863708086784	-15001.0	9	10.174	19	8	(0.0698323248395842,0.06892956681219585,0.08897773847687142,0.08351106891388536,0.08010463407623275,0.08307512634862121,)
10	745455955401629	6046	6	(456:69[0.10999999999999999],457:159[0.11999999999999998],459:103[0.20000000000000004],465:54[0.15],470:47[0.12999999999999998],471:74[0.17],)	506	-264.96	-1433.1466798418976	-15001.0	9	9.812	17	8	(0.07800910799609069,0.07170016546072491,0.08910675042344897,0.09723788004438069,0.07810242750077383,0.08708685025709632,)
11	745746931005151	6546	8	(456:36[0.11999999999999998],457:67[0.10999999999999999],459:78[0.19000000000000003],465:49[0.16],470:199[0.13999999999999999],471:33[0.18000000000000002],475:19[0.15],476:25[0.15],)	506	-264.96	-1376.6972529644268	-15001.0	9	10.29	18	8	(0.06328094016071734,0.08502278883180153,0.0932146315594157,0.1019649649249851,0.06916108044245461,0.08000543454767871,0.054391631348587134,0.07710894174146665,)
12	746103341409808	7046	8	(456:102[0.12999999999999998],457:48[0.09999999999999999],459:70[0.18000000000000002],465:93[0.17],470:15[0.12999999999999998],471:57[0.19000000000000003],475:53[0.16],476:70[0.16],)	508	-255.03	-1641.6855708661415	-15001.0	13	10.858	18	8	(0.05127563831143537,0.06415899001316282,0.07130441006614237,0.053198862763183544,0.07456746293838398,0.07882296497285785,0.07553324612296558,0.07383302713889302,)
