alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 333
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-PuddleWorld/run_624517701784150
Random seed:          333
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
16	637958663880388	9408	9	(477:78[0.24000000000000007],479:22[0.15],482:108[0.20000000000000004],489:42[0.10999999999999999],494:83[0.18000000000000002],495:31[0.18000000000000002],497:22[0.20000000000000004],498:101[0.17],502:21[0.15],)	508	1322.0200000000218	-1665.3238681102366	-5101.0999999999985	10	9.792	15	8	(0.08989243671394839,0.05469703841960187,0.10686395411253236,0.06702930022051899,0.10968909655594333,0.0732970180093234,0.07737445023569536,0.09723811460913656,0.0983713693659449,)
17	638596247892161	9919	9	(477:42[0.23000000000000007],479:78[0.16],482:27[0.19000000000000003],489:72[0.11999999999999998],494:66[0.17],495:35[0.19000000000000003],497:64[0.21000000000000005],498:52[0.16],502:73[0.16],)	509	1322.0200000000218	-1187.919544204321	-5101.0999999999985	10	9.976	15	8	(0.082633038681191,0.08531885115257341,0.07251004099822046,0.05056020129227143,0.09458532951992238,0.09763074335767526,0.10218040852899017,0.11042848452904398,0.1169511872286322,)
18	639305546574408	10437	9	(477:40[0.24000000000000007],479:30[0.15],482:156[0.20000000000000004],489:26[0.10999999999999999],494:123[0.16],495:44[0.20000000000000004],497:32[0.20000000000000004],498:40[0.17],507:18[0.15],)	509	1322.0200000000218	-1525.6663222003917	-5101.0999999999985	10	9.872	15	8	(0.07665124607256121,0.05244425807812101,0.0777748552407167,0.04715001280181294,0.08097124683480678,0.12356320784348686,0.08863451380889055,0.08825786353016842,0.08967975418820831,)
19	640014011781168	10996	6	(477:21[0.25000000000000006],479:73[0.16],482:62[0.19000000000000003],494:74[0.15],498:148[0.18000000000000002],507:166[0.16],)	544	1322.0200000000218	-1250.6375919117652	-5101.0999999999985	10	10.922	16	8	(0.05583889487281433,0.09358903468993798,0.09617186570940403,0.08167815450660627,0.08969212979086053,0.08474818160878224,)
20	640676721335152	11510	6	(477:24[0.26000000000000006],479:76[0.17],482:85[0.20000000000000004],494:177[0.16],498:80[0.17],507:64[0.15],)	506	1322.0200000000218	-1517.3605731225305	-5101.0999999999985	10	9.712	14	8	(0.06889091807531476,0.08539312634268521,0.08418324347167724,0.08844816248679022,0.08364913616846394,0.055898409399323154,)
21	641285064594385	12035	10	(477:21[0.2700000000000001],479:86[0.18000000000000002],482:42[0.19000000000000003],494:72[0.15],498:104[0.18000000000000002],507:26[0.16],511:60[0.15],513:55[0.15],514:24[0.15],516:16[0.15],)	506	1325.3200000000218	-1305.1052173913044	-5101.0999999999985	8	9.492	14	8	(0.07234646949350461,0.09980743819922747,0.0995370671399544,0.08405564929132249,0.07243964242245547,0.041544840924881185,0.0995740663958513,0.09594515999014076,0.10720075298440784,0.0993725343168949,)
22	641982637286893	12569	8	(479:30[0.17],482:43[0.20000000000000004],494:88[0.13999999999999999],498:72[0.17],511:81[0.13999999999999999],513:33[0.13999999999999999],514:121[0.16],516:60[0.16],)	528	1325.3200000000218	-1772.875445075759	-5101.0999999999985	8	9.696	13	8	(0.0980551849914089,0.09436742865223467,0.08100802140239592,0.0873985530213279,0.07574006855261936,0.07961880558953927,0.07283546531588068,0.09573680828052863,)
23	642689552968938	13093	9	(479:105[0.18000000000000002],482:35[0.21000000000000005],494:42[0.12999999999999998],498:93[0.16],511:100[0.12999999999999998],513:52[0.15],514:17[0.15],516:22[0.17],520:42[0.15],)	508	1325.3200000000218	-1821.3399389763774	-5101.0999999999985	8	9.492	14	8	(0.09309598827705017,0.122042903486908,0.08256791823668759,0.0911386056574968,0.07190156325234336,0.08798616344779533,0.08128906800513398,0.05959466426467095,0.09258938676099863,)
24	643387123565991	13610	9	(479:60[0.17],482:40[0.22000000000000006],494:72[0.13999999999999999],498:93[0.15],511:32[0.11999999999999998],513:65[0.16],514:18[0.16],516:51[0.18000000000000002],520:78[0.16],)	509	1325.3200000000218	-1769.679166994106	-5101.0999999999985	8	9.55	15	8	(0.10588897737200975,0.09188314215549903,0.07548388486377228,0.08347176225607655,0.07281409384411164,0.09097936469691294,0.09776044794405972,0.09566833892364797,0.09654945126098999,)
25	644153969992815	14130	8	(479:46[0.16],482:21[0.23000000000000007],494:57[0.12999999999999998],511:87[0.12999999999999998],513:28[0.15],514:79[0.17],516:105[0.19000000000000003],520:86[0.15],)	509	1325.3200000000218	-1996.7021159135559	-5101.0999999999985	8	9.71	15	8	(0.11130396386500023,0.1241815140821764,0.07620848310850722,0.08244347387443365,0.07664442899291378,0.09509280893916583,0.09877783101587917,0.09692811742402196,)
26	644921231375473	14658	8	(479:53[0.17],494:21[0.13999999999999999],511:62[0.11999999999999998],513:65[0.16],516:94[0.18000000000000002],520:111[0.13999999999999999],530:29[0.15],531:73[0.15],)	508	1307.0700000000209	-2064.0437480314968	-5101.0999999999985	9	9.596	15	8	(0.10097169147370047,0.09033047579060034,0.08798121674296706,0.08571210504077256,0.08260988009021303,0.08668902121479084,0.08861733809233233,0.07838387376882286,)
27	645676134289088	15167	9	(494:26[0.15],511:37[0.10999999999999999],513:77[0.15],516:120[0.17],520:93[0.12999999999999998],530:41[0.16],531:58[0.13999999999999999],533:28[0.15],534:28[0.15],)	508	1307.0700000000209	-2133.7349035433085	-5101.0999999999985	9	9.448	16	8	(0.06470845996845619,0.061846721261832646,0.0917476548451889,0.09917706809362196,0.08673679755843357,0.09565744259165782,0.06376340364344425,0.08282481356736247,0.09588909827087844,)
28	646469522191631	15683	10	(494:20[0.16],511:32[0.11999999999999998],513:113[0.13999999999999999],516:33[0.16],520:84[0.11999999999999998],530:35[0.17],531:75[0.12999999999999998],533:41[0.16],534:22[0.16],539:54[0.15],)	509	1307.0700000000209	-2379.0089390962685	-5101.0999999999985	9	9.322	16	8	(0.06845102570316994,0.06776567833482787,0.07111163743060722,0.09958124680322,0.057499916432034955,0.07119562459653998,0.07073637706961965,0.07690564573900938,0.043077934386835465,0.07730566139148008,)
29	647297462139306	16183	11	(494:45[0.17],511:24[0.12999999999999998],513:63[0.12999999999999998],516:52[0.17],520:41[0.10999999999999999],530:21[0.18000000000000002],531:99[0.11999999999999998],533:19[0.17],534:63[0.17],539:68[0.13999999999999999],542:15[0.15],)	510	1317.6400000000217	-2577.1080686274536	-5101.0999999999985	11	9.408	17	8	(0.07262860658480795,0.08775514293514049,0.08155742012412275,0.095250528424363,0.058919230411259696,0.06665623115047539,0.07666450233236731,0.07473861445489709,0.05767725358017356,0.06736040780807656,0.03275373668769747,)
