alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 666
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_658664537304250
Random seed:          666
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
15	662414571979705	8676	12	(456:40[0.16],457:21[0.15],458:63[0.09],462:81[0.11999999999999998],466:37[0.17],469:27[0.16],475:53[0.15],479:30[0.15],480:36[0.15],484:41[0.16],491:40[0.15],495:41[0.15],)	510	1578.3300000000222	1046.8114960784355	-100.09999999999856	10	10.228	17	8	(0.07192838352470272,0.0971971107886452,0.06550438275156746,0.08356623391698473,0.09121403587348917,0.10693503933235762,0.07130532677339221,0.08437766529337797,0.0977164452002755,0.10539480257544027,0.10332563623640079,0.0912612900266563,)
16	662667336013856	9229	10	(457:28[0.16],458:33[0.08],462:48[0.10999999999999999],466:49[0.18000000000000002],469:21[0.17],480:118[0.16],484:54[0.15],491:77[0.16],495:51[0.13999999999999999],497:33[0.15],)	512	1578.3300000000222	1073.8093359375052	-100.09999999999856	10	10.358	17	8	(0.08768450690391087,0.0617839595754974,0.07492729365659657,0.0771037979612251,0.09318397071835093,0.09667388121973564,0.10758445758649324,0.07964897316198816,0.065297652562154,0.06689201291646465,)
17	662911846356802	9749	11	(457:40[0.17],458:26[0.09],462:56[0.11999999999999998],466:69[0.19000000000000003],469:52[0.18000000000000002],480:29[0.15],484:27[0.13999999999999999],491:63[0.15],495:46[0.12999999999999998],497:81[0.16],501:21[0.15],)	510	1578.3300000000222	1067.8565686274567	-100.09999999999856	10	10.504	18	8	(0.09814225524551504,0.07260673292880925,0.09127610917292765,0.0817687153487336,0.0724186661258246,0.09590860783457592,0.06205098056937472,0.0881667711787809,0.08216930205846187,0.09696873264076986,0.07090980499697198,)
18	663161898073304	10275	12	(457:56[0.18000000000000002],458:63[0.09999999999999999],462:50[0.10999999999999999],466:30[0.18000000000000002],469:42[0.17],480:40[0.16],484:27[0.15],491:18[0.13999999999999999],495:53[0.11999999999999998],497:48[0.15],501:66[0.16],504:18[0.15],)	511	1578.3300000000222	1070.7304892367958	-100.09999999999856	10	10.552	17	8	(0.07956952841303219,0.06362753109490087,0.07064137923250376,0.0918416666209808,0.08283853908039422,0.07957832378299179,0.0955185189855784,0.08459309660433749,0.07283072103923767,0.06176004142898481,0.09106998227912659,0.07259813156616986,)
19	663415119791984	10797	11	(457:46[0.17],462:50[0.09999999999999999],466:31[0.19000000000000003],469:23[0.16],480:20[0.17],484:87[0.16],491:113[0.15],495:19[0.10999999999999999],497:62[0.13999999999999999],501:38[0.15],504:23[0.16],)	512	1578.3300000000222	1086.280644531256	-100.09999999999856	10	10.782	18	8	(0.11341934750861747,0.05781455575329991,0.10552235926624494,0.059736118529845054,0.11681107739868526,0.07115912390282593,0.07670886859056382,0.08382719093485451,0.06754279705453686,0.06323894524848812,0.06286632241188135,)
20	663664210724604	11322	11	(457:52[0.16],462:46[0.09],466:24[0.20000000000000004],469:32[0.17],484:46[0.15],491:52[0.13999999999999999],495:77[0.11999999999999998],497:81[0.12999999999999998],501:31[0.16],504:52[0.17],511:18[0.15],)	511	1578.3300000000222	1122.7136594912004	-100.09999999999856	10	10.602	18	8	(0.07832642967872598,0.05989102575280102,0.12999930591478023,0.10200823862609058,0.115231317013825,0.08603051375096703,0.09569486404683468,0.0873751244602622,0.12643724569543915,0.058405320384949014,0.08552169623847145,)
21	663911337419358	11840	12	(457:67[0.15],462:40[0.08],466:25[0.21000000000000005],469:40[0.18000000000000002],484:21[0.13999999999999999],491:43[0.12999999999999998],495:41[0.10999999999999999],497:21[0.11999999999999998],501:42[0.17],504:51[0.16],511:100[0.16],516:20[0.15],)	511	1578.3300000000222	1086.0120156555827	-100.09999999999856	10	10.564	17	8	(0.08987097755310079,0.05368261129242069,0.08401739500851967,0.0782269239418915,0.08062098281257778,0.08829233965197446,0.0795551460806892,0.08608444646994655,0.07229214284741448,0.04993067316298941,0.09143019991144856,0.10262752039195153,)
22	664164997786688	12354	12	(457:47[0.13999999999999999],462:55[0.09],466:48[0.22000000000000006],469:63[0.19000000000000003],484:20[0.15],491:22[0.11999999999999998],495:19[0.09999999999999999],497:58[0.12999999999999998],501:34[0.16],504:62[0.15],511:23[0.15],516:61[0.16],)	512	1578.3300000000222	1068.8662890625044	-100.09999999999856	10	10.868	18	8	(0.0740050474604357,0.05213030103055708,0.11472472447047449,0.08449491975366669,0.08397971723968405,0.06605183167563247,0.06605815947300187,0.07035639891212006,0.07925479266041964,0.09038892255526619,0.11577302200002318,0.05925042556259437,)
23	664412055346798	12869	13	(457:22[0.12999999999999998],462:25[0.08],466:52[0.21000000000000005],469:43[0.18000000000000002],484:66[0.16],491:28[0.12999999999999998],495:35[0.10999999999999999],497:20[0.11999999999999998],501:24[0.17],504:39[0.13999999999999999],511:75[0.16],516:46[0.15],520:37[0.15],)	512	1579.290000000022	1089.3119531250052	-100.09999999999856	13	10.616	19	8	(0.07798391332618423,0.06279787348391212,0.10465340215709028,0.08627122153898165,0.05844330068903999,0.10207483518994932,0.08715558838326555,0.08247425694474866,0.10325630475373644,0.10270225791780038,0.07287515024966063,0.061319034222704426,0.08894410791079166,)
24	664658070569078	13380	12	(457:37[0.13999999999999999],462:49[0.09],466:37[0.20000000000000004],469:38[0.17],484:40[0.15],491:37[0.13999999999999999],497:40[0.12999999999999998],501:21[0.18000000000000002],504:32[0.12999999999999998],511:41[0.15],516:68[0.13999999999999999],520:73[0.16],)	513	1579.290000000022	1079.108401559459	-100.09999999999856	13	10.682	18	8	(0.08068864051881101,0.05076870986113838,0.08131893355831715,0.08269184904369797,0.0731090296599376,0.061064786915890616,0.0816135872554645,0.06687411790513242,0.061924355135216796,0.07299099598078901,0.0869851409565321,0.06351592965028441,)
