alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 333
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_437444184292609
Random seed:          333
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	438312786314180	997	1	(471:499[0.15],)	499	-150.85	-1126.1571943887784	-5001.0	8	9.338	13	8	(0.08394589057963009,)
1	438482718007629	1529	2	(471:441[0.16],472:60[0.15],)	501	-141.72	-761.062475049901	-5001.0	10	9.846	14	8	(0.06956072561849955,0.08776224619780665,)
2	438664999048421	2040	3	(471:125[0.15],472:352[0.16],476:25[0.15],)	502	-141.72	-897.7878884462154	-5001.0	10	9.85	14	8	(0.07076058467276919,0.058802491244806736,0.09143667429719926,)
3	438799619518087	2545	3	(471:147[0.16],472:175[0.15],476:181[0.16],)	503	-132.18	-631.8524850894634	-5001.0	14	10.52	15	8	(0.06895887503184747,0.061890575937681325,0.044121329192353884,)
4	438964972401520	3045	4	(471:147[0.17],472:104[0.13999999999999999],476:198[0.15],480:54[0.15],)	503	-132.18	-755.0474950298209	-5001.0	14	10.618	15	8	(0.056275733387137164,0.054531988524508565,0.06913312784625651,0.07241662175402312,)
5	439146384231133	3545	4	(471:131[0.16],472:50[0.15],476:103[0.13999999999999999],480:220[0.16],)	504	-132.18	-858.5165277777777	-5001.0	14	10.644	15	8	(0.044097512559109486,0.043495935049874195,0.07232697550741349,0.051349360607912606,)
6	439291615072569	4054	4	(471:122[0.15],472:211[0.16],476:79[0.15],480:92[0.15],)	504	-132.18	-666.5033333333332	-5001.0	14	10.31	16	8	(0.06779939055024413,0.05069998384532986,0.04822401133729563,0.06325426753472638,)
7	439463825150608	4554	5	(471:64[0.16],472:68[0.15],476:163[0.16],480:183[0.16],483:26[0.15],)	504	-131.8	-717.8237500000002	-5001.0	15	11.22	17	8	(0.051656761959035936,0.08475096372054719,0.059020771360380725,0.08432623407453532,0.08419582465623872,)
8	439617822185102	5056	6	(471:48[0.17],472:89[0.16],476:81[0.15],480:191[0.15],483:43[0.16],484:53[0.15],)	505	-131.8	-660.6296633663367	-5001.0	15	10.844	17	8	(0.05737244002915354,0.05443092416047478,0.101973114163057,0.06288429607361332,0.02445458352106158,0.07051023241691587,)
9	439752162456718	5569	5	(471:76[0.18000000000000002],472:159[0.15],476:101[0.16],480:96[0.13999999999999999],483:74[0.17],)	506	-131.8	-593.7290513833992	-5001.0	15	10.652	18	8	(0.06432669043615893,0.05602928418366521,0.048098017996131524,0.06787621117990474,0.06657843294859653,)
10	439906912856195	6083	4	(471:129[0.19000000000000003],476:85[0.15],480:64[0.15],483:227[0.18000000000000002],)	505	-131.8	-717.2356435643565	-5001.0	15	10.48	18	8	(0.0703083656782544,0.04425204348331241,0.06385290092376482,0.05528208070044716,)
11	440096476274299	6583	4	(471:144[0.18000000000000002],476:105[0.16],480:236[0.16],483:19[0.17],)	504	-131.8	-849.5609920634921	-5001.0	15	10.916	19	8	(0.07914450300031894,0.04676007565696168,0.07276037117454308,0.10270361731924604,)
12	440278102803992	7091	5	(471:68[0.17],476:80[0.17],480:134[0.15],483:202[0.18000000000000002],489:20[0.15],)	504	-131.8	-804.788253968254	-5001.0	15	10.534	20	8	(0.07800453569979612,0.05553619636345277,0.07543175440918466,0.06963805911648141,0.07855571752678575,)
13	440467559546574	7591	6	(471:70[0.18000000000000002],476:60[0.18000000000000002],480:110[0.13999999999999999],483:71[0.17],489:171[0.16],491:23[0.15],)	505	-131.8	-939.8840792079209	-5001.0	15	10.362	21	8	(0.06950709708810421,0.04582730396291132,0.07421091864043489,0.09731087005772066,0.06807543935023294,0.07414239804594765,)
