alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_407289236055128
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	408423634532213	997	1	(470:499[0.15],)	499	-41.6	-2349.9055711422848	-10000.0	13	10.076	14	8	(0.08027799403281925,)
1	408668110612535	1507	1	(470:501[0.16],)	501	-39.24	-1370.5398403193608	-10000.0	12	10.664	15	8	(0.05623042775196779,)
2	408858191777261	2007	1	(470:501[0.15],)	501	-37.68	-1037.5109580838327	-10000.0	15	11.052	15	8	(0.07045657103311477,)
3	409033751049501	2507	3	(470:112[0.13999999999999999],472:216[0.15],473:173[0.15],)	501	-37.68	-826.824810379242	-10000.0	15	11.692	16	8	(0.08351546943027818,0.07600956721270592,0.08662255689327245,)
4	409205257592678	3007	3	(470:373[0.15],472:46[0.13999999999999999],473:84[0.13999999999999999],)	503	-36.44	-683.8480715705766	-10000.0	13	12.214	17	8	(0.040982907535298964,0.04428680784729483,0.051667251768527024,)
5	409365228452796	3508	3	(470:132[0.13999999999999999],472:88[0.15],473:283[0.15],)	503	-36.32	-898.0195228628237	-10000.0	16	11.27	17	8	(0.046233795562739315,0.05043120220450297,0.040677437466354466,)
6	409578839426510	4008	3	(470:222[0.15],472:263[0.16],473:18[0.13999999999999999],)	503	-34.83	-1133.3096023856856	-10000.0	13	10.928	17	8	(0.07928607329361811,0.061168767857066646,0.07701075899790397,)
7	409787644336013	4508	3	(470:36[0.13999999999999999],472:248[0.15],473:219[0.15],)	503	-34.83	-1312.73421471173	-10000.0	13	9.67	17	8	(0.052466025150421036,0.05281102399167747,0.0321608173977601,)
8	409968090384256	5010	3	(470:245[0.15],472:135[0.13999999999999999],473:123[0.13999999999999999],)	503	-34.35	-919.0292842942346	-10000.0	11	11.316	18	8	(0.051375391428842995,0.05700306037374663,0.04668432400498938,)
9	410209402234072	5516	3	(470:82[0.13999999999999999],472:163[0.15],473:258[0.15],)	503	-34.06	-1443.6974950298213	-10000.0	15	10.044	19	8	(0.0630148303886133,0.07208897430170065,0.07759325906779557,)
