alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-Maze/run_414332969587624
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	417615876149221	997	1	(470:499[0.15],)	499	-363.42	-9894.606392785568	-15001.0	8	9.486	13	8	(0.07076137473704232,)
1	419157965611826	1531	2	(471:451[0.15],472:50[0.15],)	501	-352.35	-7441.280778443116	-15001.0	11	9.894	14	8	(0.07642401192539261,0.09659952995695681,)
2	420092348861984	2037	3	(471:391[0.13999999999999999],472:67[0.16],476:44[0.15],)	502	-334.36	-4537.053864541838	-15001.0	12	10.178	15	8	(0.0648892746619657,0.07627342514983558,0.07889452458228247,)
3	421045418438932	2537	4	(471:19[0.12999999999999998],472:342[0.17],476:114[0.16],477:28[0.15],)	503	-298.54999999999995	-4786.414691848906	-15001.0	13	10.176	16	8	(0.07210076836965072,0.08115656801089917,0.06363722990072655,0.09310838751004938,)
4	421739718323993	3037	4	(471:188[0.13999999999999999],472:197[0.16],476:86[0.17],477:33[0.16],)	504	-284.15	-3415.9450793650794	-15001.0	11	10.252	17	8	(0.04961614402043198,0.062397737948472955,0.07406281249620696,0.05845208733491181,)
5	422353362173377	3547	4	(471:152[0.12999999999999998],472:212[0.15],476:63[0.18000000000000002],477:77[0.17],)	504	-284.15	-2650.8195039682537	-15001.0	11	10.536	17	8	(0.0677165165490813,0.0822220347311338,0.08067444691260438,0.0992536518313051,)
6	422901218724825	4047	4	(471:114[0.11999999999999998],472:92[0.13999999999999999],476:151[0.19000000000000003],477:147[0.18000000000000002],)	504	-271.53	-2532.1255753968253	-15001.0	12	10.546	17	8	(0.0664650269155269,0.09265428525130377,0.08624657818078009,0.09517175300145178,)
7	423480980917965	4577	4	(472:228[0.15],476:98[0.18000000000000002],477:155[0.17],481:23[0.15],)	504	-270.24	-2484.081150793651	-15001.0	11	11.176	16	8	(0.07317388638237454,0.05754704380752603,0.0550937865077855,0.0808949871949852,)
8	424116375846285	5082	4	(472:48[0.13999999999999999],476:112[0.19000000000000003],477:216[0.16],481:128[0.16],)	504	-270.24	-2634.5610714285717	-15001.0	11	11.332	16	8	(0.0885409744126376,0.07764115929880981,0.06586914209889139,0.07374146479342401,)
9	424795973892681	5583	5	(472:147[0.15],476:44[0.20000000000000004],477:185[0.15],481:70[0.15],484:58[0.15],)	504	-264.71000000000004	-2889.593035714286	-15001.0	14	11.8	17	8	(0.055414289963735985,0.09152469809481588,0.08588993097424459,0.0751827320440267,0.09707122228699934,)
