alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 222
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze-ActorCriticPendulum/run_769851943476400
Random seed:          222
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
15	827244361486626	18374	6	(479:181[0.09],489:141[0.12999999999999998],497:27[0.15],499:122[0.13999999999999999],504:76[0.15],505:80[0.15],)	627	2345.8500605464856	-6896.383624892716	-14692.35325654297	13	11.234	14	8	(0.07145841314609225,0.0790973358602632,0.07543156007278788,0.057983734714026895,0.07808610965294936,0.09113534975358951,)
16	828868560827810	18888	5	(479:103[0.08],489:69[0.11999999999999998],499:55[0.12999999999999998],504:185[0.16],505:94[0.16],)	506	2297.3931286240468	-5131.749095157709	-14702.170811360338	9	9.228	13	8	(0.052846469029118416,0.06531868704359242,0.04625941363356571,0.051476233209064776,0.04989968608548073,)
17	830363014839813	19405	5	(479:38[0.07],489:60[0.12999999999999998],499:87[0.13999999999999999],504:281[0.15],505:39[0.17],)	505	2297.3931286240468	-2330.2798259597967	-14690.40775345168	9	9.612	14	8	(0.04738943486488282,0.06630719921743064,0.08823215872834737,0.07944820290865243,0.0847585128006299,)
18	831818685380586	19928	5	(479:158[0.08],489:114[0.13999999999999999],499:72[0.15],504:60[0.13999999999999999],505:101[0.18000000000000002],)	505	2322.0874022602366	-1018.6763763427319	-14689.39087622642	9	9.898	13	8	(0.05639796647281648,0.0803492339584382,0.0715698753721362,0.08273200894585199,0.09328588816880641,)
19	833310418230367	20485	6	(489:100[0.12999999999999998],499:216[0.16],504:24[0.15],505:116[0.17],515:64[0.15],516:17[0.15],)	537	2322.0874022602366	-642.9552895622616	-14690.535314356974	9	10.454	15	8	(0.09034811545830083,0.06094743016681927,0.10078001511040323,0.05846181402058191,0.09101525566529159,0.10422132209917208,)
20	835309905493622	21130	7	(489:67[0.11999999999999998],499:146[0.15],504:60[0.16],505:89[0.16],515:172[0.16],516:94[0.16],520:16[0.15],)	644	2322.0874022602366	-2112.797202641245	-14695.50871199368	9	12.904	16	8	(0.09978233908429561,0.0720352396536516,0.060952464541211636,0.060572727631832975,0.08793331688274564,0.06849348924835456,0.047308725958445756,)
21	837856011289063	21704	6	(489:49[0.12999999999999998],499:45[0.13999999999999999],504:17[0.17],515:20[0.15],516:421[0.15],520:25[0.16],)	577	2322.0874022602366	-10339.91553711283	-14694.162216238561	9	10.99	16	8	(0.0856603202919588,0.09124102686623294,0.06078479582656632,0.1007593979753664,0.05890396494004441,0.09849928175724675,)
22	839617630043260	22216	6	(489:72[0.13999999999999999],504:36[0.18000000000000002],515:23[0.16],516:83[0.13999999999999999],520:248[0.17],523:44[0.15],)	506	2322.0874022602366	-5729.594058954746	-14696.255237356712	9	9.504	12	8	(0.03530109126982137,0.0820449069528566,0.06968420043123831,0.06844423422562203,0.053726293324070896,0.05993379631393085,)
23	841247794924920	22716	6	(489:38[0.15],504:32[0.19000000000000003],515:39[0.17],516:78[0.12999999999999998],520:193[0.16],523:126[0.16],)	506	2330.0699734273435	-6147.489120012677	-14704.060230409425	10	9.156	13	8	(0.046403781488567636,0.0626893478862981,0.08697586505855519,0.06631778505224113,0.06917146218980405,0.05695742468163496,)
24	842951138448914	23217	7	(489:70[0.16],504:33[0.20000000000000004],515:40[0.18000000000000002],516:170[0.13999999999999999],520:114[0.15],523:40[0.15],524:39[0.15],)	506	2355.4623179306936	-6696.376694954179	-14698.459732454256	10	9.27	14	8	(0.05716473668406157,0.06269714002912807,0.03889059721926129,0.0569405839854746,0.0737797328206776,0.06711808434969692,0.09602046148752977,)
25	844894599787777	23781	4	(489:238[0.17],520:158[0.13999999999999999],523:32[0.16],524:103[0.16],)	531	2301.0756922526434	-6614.422846121106	-14693.108011225564	8	9.902	14	8	(0.07516077419340028,0.08205077015791687,0.07239877373049584,0.08574244024903864,)
26	846460212005788	24303	6	(489:38[0.16],520:219[0.12999999999999998],523:85[0.17],524:106[0.17],527:27[0.15],530:29[0.15],)	504	2301.0756922526434	-3191.5029266371353	-14695.918847306406	8	9.694	15	8	(0.06963658486080948,0.08908046828270116,0.08087740376488355,0.07796766768982749,0.0708405338369403,0.08402715149699913,)
27	847854592489260	24824	7	(489:24[0.17],520:156[0.11999999999999998],523:23[0.16],524:135[0.16],527:78[0.16],530:47[0.16],532:43[0.15],)	506	2301.0756922526434	-1431.8085489711852	-14694.07540161323	8	9.44	16	8	(0.1118328069343044,0.0855119811334,0.10703499818148564,0.08522527080496557,0.07408506948722808,0.08066832504992139,0.08666148610034098,)
