alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1010
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_740338157548679
Random seed:          1010
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	741246851078970	997	1	(468:499[0.15],)	499	-63.61	-501.24877755511	-9997.88	11	9.136	13	8	(0.1084517775588761,)
1	741295403540880	1508	2	(468:430[0.16],469:71[0.15],)	501	-55.09	-304.5679041916167	-10000.0	10	9.496	14	8	(0.058125887381660364,0.08184902839537742,)
2	741357910128199	2011	3	(468:154[0.15],469:329[0.16],471:19[0.15],)	502	-55.09	-424.38739043824717	-10000.0	10	9.17	15	8	(0.06734100089326676,0.09756025010509384,0.08828283644766759,)
3	741433658330769	2516	8	(468:84[0.16],469:58[0.15],471:86[0.16],473:43[0.15],474:112[0.15],476:21[0.15],477:20[0.15],478:79[0.15],)	503	-55.09	-499.98415506958247	-10000.0	10	9.1	15	8	(0.090298667176131,0.07255440758378677,0.09004712245035561,0.09647611579152757,0.09136564015976731,0.11856140703526223,0.08065730651826901,0.07452554904939479,)
4	741516326021124	3016	9	(468:54[0.15],469:24[0.16],471:146[0.15],473:48[0.16],474:41[0.13999999999999999],476:33[0.16],477:34[0.16],478:111[0.13999999999999999],479:17[0.15],)	508	-52.72	-578.9617322834646	-10000.0	11	9.346	14	8	(0.07707412947935285,0.07914946736291435,0.065550899673579,0.0650180873448697,0.05771006694562193,0.05030547038447506,0.03719347711843962,0.05685354110171053,0.09997231782606729,)
5	741590313917204	3516	9	(468:39[0.16],469:90[0.17],471:23[0.13999999999999999],473:127[0.17],474:18[0.15],476:32[0.17],477:25[0.17],478:83[0.12999999999999998],479:72[0.16],)	509	-52.38	-448.35803536345776	-10000.0	11	9.53	13	8	(0.07227565571985395,0.07673838811559024,0.06238677121099755,0.07521710959010154,0.06027722444791396,0.06340833963585278,0.04636005123686324,0.05838266336195028,0.027658272690175748,)
6	741664257923426	4016	10	(468:31[0.17],469:64[0.16],471:119[0.15],473:77[0.16],474:39[0.16],476:46[0.18000000000000002],477:30[0.18000000000000002],478:37[0.11999999999999998],479:41[0.15],480:25[0.15],)	509	-52.38	-477.3621218074656	-10000.0	11	9.56	14	8	(0.06055369847767153,0.07278433563321013,0.07433116529777063,0.06418797461572176,0.06367775378490527,0.08574211804767573,0.07172743993449592,0.06770505095213315,0.04621382474628281,0.09215481908364899,)
7	741722521280129	4527	9	(469:62[0.15],471:31[0.13999999999999999],473:79[0.15],474:38[0.17],476:17[0.19000000000000003],477:34[0.19000000000000003],478:198[0.12999999999999998],479:22[0.16],480:29[0.16],)	510	-52.38	-376.66156862745095	-9948.71	11	9.532	14	8	(0.07258572328982567,0.07582395950077321,0.07241012342496764,0.06983465913165379,0.08350865240906762,0.05963323686608645,0.06503967275457523,0.06912717785899264,0.07577607571468771,)
8	741823536337691	5056	6	(471:98[0.15],473:60[0.13999999999999999],477:80[0.20000000000000004],478:57[0.11999999999999998],479:141[0.17],480:73[0.17],)	509	-49.53	-600.788978388998	-10000.0	14	9.928	16	8	(0.04927840519185338,0.0759353739263253,0.06280203236483582,0.06299106853135823,0.05287138543001781,0.05745109478628893,)
9	741919135556973	5570	5	(471:130[0.13999999999999999],473:107[0.15],477:80[0.21000000000000005],478:84[0.12999999999999998],479:105[0.16],)	506	-49.21	-623.0202766798418	-10000.0	9	9.69	15	8	(0.04953540674483269,0.06889258575308999,0.04705780673879,0.07072146121238436,0.05208022778492323,)
10	742035878434474	6078	5	(471:240[0.12999999999999998],473:37[0.13999999999999999],477:149[0.22000000000000006],478:52[0.13999999999999999],482:27[0.15],)	505	-49.21	-772.8124158415843	-10000.0	9	9.45	16	8	(0.0689014843767497,0.086205792968743,0.08388302233409173,0.10015180637412212,0.05366649113160363,)
11	742148121454000	6578	5	(471:87[0.11999999999999998],473:25[0.15],477:111[0.21000000000000005],478:150[0.15],482:132[0.16],)	505	-49.2	-652.9008118811881	-10000.0	15	10.054	16	8	(0.07110061473645049,0.08925648670478802,0.09440046111215535,0.08461758189920188,0.07715566564128512,)
12	742313848261488	7078	5	(471:81[0.12999999999999998],473:143[0.16],477:152[0.20000000000000004],478:74[0.13999999999999999],482:55[0.15],)	505	-48.03	-1038.943188118812	-9993.93	14	9.858	16	8	(0.09247319078882892,0.07507523795388776,0.11456242281510738,0.07998563793174479,0.06771590053506188,)
13	742430831792115	7590	7	(471:65[0.13999999999999999],473:141[0.15],478:39[0.15],482:94[0.16],483:64[0.15],484:48[0.15],485:54[0.15],)	505	-47.42	-588.5819207920792	-9916.76	15	10.102	17	8	(0.09184989885704184,0.08043772284635788,0.075202838465619,0.06777748037200282,0.08905860356249663,0.09960447610552825,0.07457753701848084,)
14	742571537802446	8097	7	(471:70[0.15],473:18[0.13999999999999999],478:80[0.16],482:124[0.15],483:96[0.16],484:62[0.16],485:57[0.16],)	507	-47.42	-747.3267850098621	-10000.0	9	10.836	18	8	(0.04528125865024525,0.06525664095728177,0.07881911006473534,0.04257634903096968,0.03834569347997126,0.02400937886155569,0.049449643751181056,)
15	742773135359613	8603	6	(471:84[0.16],473:86[0.15],482:88[0.13999999999999999],483:184[0.15],484:34[0.17],485:31[0.17],)	507	-46.38	-1119.2660157790929	-10000.0	14	10.518	18	8	(0.041628470722826584,0.06930587824613647,0.04626918951599584,0.05958917283963734,0.04850691737941866,0.06104236394939654,)
16	742896936780602	9103	6	(471:66[0.15],473:28[0.13999999999999999],482:95[0.12999999999999998],483:124[0.13999999999999999],484:68[0.18000000000000002],485:125[0.18000000000000002],)	506	-46.38	-717.8468577075099	-10000.0	14	10.27	19	8	(0.06474475899818256,0.09007843897533627,0.05435986395436102,0.06194512012394752,0.049206459326714636,0.06413727257996972,)
17	743007052924501	9621	5	(471:39[0.16],473:76[0.15],482:51[0.11999999999999998],484:281[0.19000000000000003],485:59[0.17],)	506	-44.9	-619.8154347826089	-10000.0	12	10.48	19	8	(0.06013477322183287,0.07136601456285083,0.04007011980935899,0.06593320218967547,0.06956797536826397,)
18	743144186908000	10121	5	(471:145[0.17],473:66[0.16],482:63[0.12999999999999998],484:131[0.18000000000000002],485:100[0.18000000000000002],)	505	-44.9	-796.4364158415842	-10000.0	12	10.254	19	8	(0.08662197804862296,0.06693348946010848,0.050693110558484016,0.06495169043854478,0.07278768444654714,)
19	743298359252385	10629	5	(471:42[0.16],473:58[0.17],482:90[0.13999999999999999],484:223[0.17],485:92[0.17],)	505	-44.9	-806.3078613861388	-10000.0	12	11.038	19	8	(0.08827789026969529,0.07186619758351856,0.0741903849604527,0.05930122223280512,0.07315659384953535,)
20	743483047023386	11132	7	(471:69[0.17],473:132[0.18000000000000002],482:92[0.15],484:20[0.16],485:128[0.18000000000000002],493:44[0.15],494:20[0.15],)	505	-44.9	-829.9597425742573	-10000.0	12	11.308	19	8	(0.032942488910859095,0.05737237648303112,0.0572195369312496,0.0964641405862707,0.08889635901342294,0.0904079945163745,0.10207187659203287,)
21	743655768944643	11664	5	(471:112[0.18000000000000002],482:60[0.13999999999999999],485:95[0.17],493:55[0.16],494:185[0.16],)	507	-44.9	-698.4111834319526	-10000.0	12	11.752	19	8	(0.044427397554232355,0.038538504499147114,0.054260543239853305,0.0572951730664389,0.04538788794894929,)
22	743813725170064	12164	5	(471:128[0.17],482:80[0.15],485:188[0.18000000000000002],493:45[0.17],494:64[0.15],)	505	-44.9	-760.9400594059406	-10000.0	12	11.93	20	8	(0.04424240331854509,0.04360969148431823,0.059271443979958524,0.060281085159694846,0.050212378905986385,)
23	743981184942096	12672	5	(471:80[0.16],482:52[0.16],485:64[0.17],493:116[0.18000000000000002],494:193[0.16],)	505	-44.9	-771.3694257425743	-10000.0	12	11.072	19	8	(0.06590494043694034,0.0719696044873032,0.06946665039090895,0.07868659359328824,0.05727295186477308,)
24	744199805307402	13172	5	(471:63[0.17],482:137[0.17],485:125[0.18000000000000002],493:80[0.17],494:100[0.15],)	505	-44.9	-1053.4448910891088	-10000.0	12	11.34	19	8	(0.055265207653799324,0.049888000715528576,0.07223872934020016,0.07411410914017282,0.07923763323716676,)
25	744387130624284	13675	5	(471:39[0.18000000000000002],482:145[0.16],485:144[0.17],493:83[0.18000000000000002],494:94[0.13999999999999999],)	505	-44.85	-971.5090693069307	-10000.0	8	11.13	20	8	(0.07037318505522712,0.07190638499351888,0.07555590841914145,0.08274510289188931,0.08651022065674041,)
26	744572977205680	14184	4	(482:85[0.15],485:97[0.16],493:43[0.19000000000000003],494:280[0.15],)	505	-44.85	-994.163089108911	-10000.0	8	10.476	19	8	(0.06704488415952607,0.06958738449257035,0.07112644737405151,0.07243516512688368,)
27	744753966515243	14695	3	(482:140[0.16],485:191[0.17],494:173[0.13999999999999999],)	504	-44.85	-1134.2553174603174	-10000.0	8	10.37	20	8	(0.07562743458747127,0.07948052200497527,0.06712592804205395,)
28	744898630358961	15201	7	(482:79[0.17],485:129[0.16],494:131[0.12999999999999998],503:60[0.15],504:59[0.15],505:25[0.15],507:20[0.15],)	503	-44.85	-812.0222266401591	-10000.0	8	10.06	20	8	(0.10094785976706092,0.08868876989959826,0.07598734767812,0.08627574984038379,0.07196487622935084,0.08635534166567067,0.05649468327350219,)
29	745105877011296	15732	7	(482:81[0.16],494:111[0.11999999999999998],503:27[0.16],504:45[0.16],505:66[0.16],507:143[0.16],509:34[0.15],)	507	-44.85	-1324.6907100591716	-10000.0	8	9.77	21	8	(0.09334921233362564,0.07743413559264364,0.0658361709576209,0.10119734935445705,0.0856675003942015,0.08948280540388914,0.1026829967193723,)
30	745483644037259	16249	6	(494:68[0.10999999999999999],503:26[0.17],504:163[0.17],505:24[0.17],507:120[0.15],509:106[0.16],)	507	-44.85	-2678.5927810650887	-10000.0	8	9.326	13	8	(0.05657175369798798,0.08783385190064469,0.05811446831373101,0.06386432359457664,0.07400885246895697,0.061470643217544044,)
31	745754606483854	16780	6	(494:49[0.11999999999999998],503:85[0.18000000000000002],504:198[0.16],505:68[0.18000000000000002],509:40[0.15],515:66[0.15],)	506	-44.85	-1719.1502173913043	-10000.0	8	9.448	14	8	(0.061305527256715536,0.06928756596925426,0.06870587863859796,0.10114799635690225,0.06938715239517912,0.09870654444853086,)
32	746050090723721	17312	7	(494:38[0.12999999999999998],504:172[0.15],505:19[0.19000000000000003],509:174[0.16],515:27[0.16],521:25[0.15],522:51[0.15],)	506	-44.94	-1904.7027272727278	-10000.0	9	9.674	15	8	(0.08288680132394353,0.04527541138926743,0.07192292373947842,0.0666049661875094,0.06791769281078879,0.08470492470220606,0.08163453172494402,)
33	746230488132433	17812	8	(494:22[0.13999999999999999],504:29[0.13999999999999999],505:89[0.20000000000000004],509:137[0.15],515:100[0.17],521:30[0.16],522:73[0.16],524:27[0.15],)	507	-44.94	-1140.4910059171596	-10000.0	9	9.842	16	8	(0.06299111060099925,0.06860620260556347,0.07320175686463193,0.09126723674698689,0.06476953792148062,0.05498006177627609,0.07806382125585332,0.10525467659898274,)
