alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1212
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_821643908689472
Random seed:          1212
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	823361452964638	997	1	(470:499[0.15],)	499	-64.23	-6170.835931863726	-10000.0	8	9.574	13	8	(0.08478377391939633,)
1	823904135312909	1502	2	(470:308[0.16],471:193[0.15],)	501	-63.04	-3420.6565269461066	-10000.0	10	10.082	13	8	(0.07476179226857117,0.0743058845659234,)
2	824233274321645	2002	2	(470:81[0.15],471:421[0.16],)	502	-60.85	-2104.580577689243	-10000.0	9	10.184	14	8	(0.06649360458651517,0.07024959270482102,)
3	824490785801936	2502	2	(470:273[0.16],471:229[0.15],)	502	-59.77	-1805.2814541832672	-10000.0	11	9.702	14	8	(0.061997411312109174,0.0613943873091004,)
4	824713712384036	3002	2	(470:423[0.15],471:79[0.16],)	502	-53.29	-1576.7531673306764	-10000.0	12	9.518	14	8	(0.05313334510436569,0.06032043380508974,)
5	824978453106968	3502	3	(470:46[0.13999999999999999],471:421[0.17],473:35[0.15],)	502	-48.03	-1683.0653187250998	-10000.0	10	10.244	14	8	(0.061523619163725896,0.06313540851519593,0.08553122291779744,)
6	825223654410543	4008	3	(470:315[0.15],471:77[0.16],473:111[0.16],)	503	-48.03	-1540.3279721669971	-10000.0	10	9.984	14	8	(0.06293115929461554,0.07238525638304166,0.0739861435452492,)
7	825414911011947	4512	5	(470:121[0.13999999999999999],471:22[0.17],473:296[0.17],475:42[0.15],477:22[0.15],)	503	-48.0	-1258.330477137177	-10000.0	9	9.732	15	8	(0.08598057915469572,0.051976592466047244,0.059809043185604295,0.08434189725853414,0.08720462778432501,)
8	825623961778349	5012	5	(470:44[0.12999999999999998],471:49[0.18000000000000002],473:35[0.16],475:188[0.16],477:189[0.16],)	505	-46.08	-1256.416495049505	-10000.0	10	10.236	15	8	(0.06085209200408466,0.04313096615386269,0.07554118587482601,0.06513393915531075,0.06348665491995256,)
9	825892384598599	5512	5	(470:93[0.13999999999999999],471:65[0.19000000000000003],473:221[0.17],475:91[0.15],477:35[0.15],)	505	-46.08	-1796.0468910891086	-10000.0	10	9.854	14	8	(0.0795201834729809,0.06808153467957029,0.056680666335229966,0.07329586252971643,0.06966592888261834,)
