alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 111
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_ActorCriticPendulum-PuddlWorld/run_351998610794536
Random seed:          111
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
22	389991813161409	12442	4	(471:133[0.03],473:109[0.20000000000000004],475:231[0.16],481:30[0.15],)	503	2944.6800559004982	2103.2116521364396	-4692.043540732757	15	12.638	19	8	(0.01773201581783132,0.1041030139065849,0.09216341077917109,0.1045504061057808,)
23	391900888460243	12948	5	(471:107[0.03],473:57[0.21000000000000005],475:196[0.15],481:86[0.16],482:58[0.15],)	504	2944.6800559004982	2031.963647086045	-4688.514649461187	15	12.446	19	8	(0.020996712065915583,0.11200872940108617,0.09045091318895682,0.10013381015290888,0.09402810544276408,)
24	393844421498853	13448	5	(471:130[0.03],473:94[0.22000000000000006],475:97[0.13999999999999999],481:95[0.17],482:89[0.16],)	505	2944.6800559004982	2178.701037622499	-4695.432272275576	15	12.726	19	8	(0.020007438199023186,0.09552525136450028,0.09895939577475815,0.05321813893599671,0.09735266290593357,)
25	395831477022666	13948	5	(471:58[0.03],473:255[0.23000000000000007],475:30[0.15],481:97[0.18000000000000002],482:65[0.17],)	505	2944.6800559004982	2161.685422149004	-4911.121800322431	15	13.104	20	8	(0.022586156688621985,0.07049137301321536,0.07473383324995395,0.06995958630454982,0.08314269471705717,)
26	397964152443430	14448	5	(471:130[0.04],473:141[0.22000000000000006],475:75[0.16],481:30[0.19000000000000003],482:129[0.18000000000000002],)	505	2944.6800559004982	2250.234937678227	-4685.780506345507	15	13.922	20	8	(0.031004152676180022,0.09386022706787944,0.04626357817163284,0.10276170177319707,0.08141872498780563,)
27	400075447807489	14957	4	(471:95[0.03],473:115[0.21000000000000005],475:164[0.17],482:131[0.17],)	505	2944.6800559004982	2172.8876134778106	-4687.482416142985	15	13.542	20	8	(0.020088729081255464,0.08390033344650243,0.06747586288840259,0.09096877627245004,)
28	402211787101974	15457	4	(471:142[0.04],473:107[0.22000000000000006],475:155[0.16],482:100[0.16],)	504	2944.6800559004982	2205.348754087931	-4697.475415526886	15	13.784	21	8	(0.027386908956341473,0.07085474115927647,0.08285623222347964,0.09261884678313978,)
29	404379299942341	15957	4	(471:24[0.03],473:89[0.23000000000000007],475:356[0.15],482:35[0.17],)	504	2944.6800559004982	2266.422881183755	-4689.425159124925	15	14.012	22	8	(0.023284716236761052,0.07820217557884128,0.06278380780747081,0.08077832439502372,)
30	406452914579399	16466	3	(471:71[0.04],473:136[0.24000000000000007],475:297[0.13999999999999999],)	504	2944.6800559004982	2105.4862320406887	-4754.1745849936115	15	13.344	23	8	(0.023149358746291402,0.07294143789997316,0.07350298129755581,)
31	408448487745850	16966	4	(471:219[0.05],473:158[0.25000000000000006],475:111[0.12999999999999998],484:15[0.15],)	503	2944.6800559004982	2052.6573527321298	-4819.003253902514	15	13.106	24	8	(0.02586424532780734,0.09456843514459391,0.07276249108316395,0.08183815466702932,)
32	410677366763499	17466	4	(471:92[0.04],473:81[0.24000000000000005],475:175[0.13999999999999999],484:156[0.16],)	504	2944.6800559004982	2148.83011099097	-4690.049057001649	15	14.11	23	8	(0.023520664781550567,0.09987818400620191,0.08695701519843818,0.06528877807566565,)
33	412898182519590	17966	4	(471:125[0.05],473:148[0.25000000000000006],475:98[0.12999999999999998],484:133[0.15],)	504	2944.6800559004982	2153.8899895590766	-4697.9035434063	15	14.304	23	8	(0.03328169205816362,0.09275051882579016,0.0904205273344522,0.07065883666312675,)
34	415154824805637	18467	6	(471:88[0.04],473:31[0.24000000000000005],475:228[0.13999999999999999],484:120[0.13999999999999999],485:17[0.15],486:20[0.15],)	504	2944.6800559004982	2258.986033083147	-4689.754006793279	15	14.61	21	9	(0.027926411171722884,0.09705838395194295,0.08574991837125379,0.05753707320428676,0.08396504066261257,0.06989793611744832,)
35	417327593096320	18967	6	(471:100[0.03],473:38[0.25000000000000006],475:110[0.12999999999999998],484:101[0.12999999999999998],485:28[0.16],486:129[0.16],)	506	2978.989494139017	2208.7169841644886	-4699.2317515304485	20	14.162	22	8	(0.01815363856279002,0.06513150854092067,0.05513574351306803,0.06470260993088521,0.08163633857195048,0.06333113257918992,)
36	419510973515404	19467	6	(471:66[0.03],473:111[0.26000000000000006],475:72[0.11999999999999998],484:74[0.11999999999999998],485:110[0.17],486:73[0.15],)	506	2978.989494139017	2097.9703736170013	-4694.620837243148	20	14.274	22	8	(0.02131956299974144,0.06633803769124443,0.054044632765921204,0.053722679244442795,0.0720975527141698,0.08516246134903453,)
