alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1414
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_898018548859462
Random seed:          1414
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	898799573298034	997	1	(473:499[0.15],)	499	-149.9	-636.4163527054108	-5001.0	10	9.842	14	8	(0.07056850036901227,)
1	898912498735458	1506	3	(473:436[0.16],474:29[0.15],475:36[0.15],)	501	-148.49	-560.5916966067865	-5001.0	12	10.016	15	8	(0.07511243413491493,0.08754661271384077,0.06702547465969985,)
2	899163780236200	2011	4	(473:235[0.15],474:95[0.16],475:149[0.16],479:24[0.15],)	503	-139.37	-1364.7444731610335	-5001.0	8	9.158	16	8	(0.055116647668702334,0.0451969388545003,0.07807962289788149,0.07673034992321529,)
3	899560490768705	2518	4	(473:156[0.13999999999999999],474:108[0.17],475:22[0.15],479:218[0.16],)	504	-139.37	-2185.146349206349	-5001.0	8	9.206	17	8	(0.06546788287814281,0.06489235820641158,0.10041899069914365,0.0363590731364532,)
4	899978397695762	3018	4	(473:72[0.12999999999999998],474:168[0.18000000000000002],475:47[0.16],479:217[0.15],)	504	-137.44	-2228.3306746031753	-5001.0	10	9.408	18	8	(0.07727251381595837,0.06469352887191333,0.0749153842279262,0.034944154856591664,)
5	900344377624817	3525	4	(473:66[0.13999999999999999],474:125[0.17],475:123[0.17],479:190[0.13999999999999999],)	504	-137.44	-1877.5197619047615	-5001.0	10	9.654	17	8	(0.09249512455204408,0.08526449956670593,0.08314561849491356,0.06614337645712919,)
6	900584472247274	4025	4	(473:135[0.15],474:94[0.16],475:174[0.18000000000000002],479:101[0.12999999999999998],)	504	-137.44	-1228.5854166666668	-5001.0	10	9.716	17	8	(0.08008256844887145,0.08537750970281857,0.0739866295693211,0.07490303957831392,)
7	900795808291204	4530	5	(473:147[0.13999999999999999],474:71[0.17],475:164[0.17],479:83[0.13999999999999999],483:39[0.15],)	504	-137.44	-1089.9420039682536	-5001.0	10	9.566	16	8	(0.0696779180700807,0.06333313649662106,0.07327345982479963,0.08847430431801206,0.0865658412845047,)
8	900973597335975	5049	6	(473:96[0.12999999999999998],474:63[0.18000000000000002],475:65[0.16],479:129[0.15],483:93[0.16],486:59[0.15],)	505	-137.06	-952.3143564356437	-5001.0	9	9.298	15	8	(0.0871790070834688,0.0729613720834275,0.07686523026834682,0.07090069805270063,0.06283689535914821,0.10001046567027264,)
9	901088995789928	5549	6	(473:119[0.11999999999999998],474:20[0.19000000000000003],475:209[0.17],479:111[0.13999999999999999],483:15[0.15],486:32[0.16],)	506	-137.06	-595.731976284585	-5001.0	9	9.434	14	8	(0.07607319685557738,0.07320138108868064,0.06596052282374426,0.06702691845217647,0.07268968064974222,0.06804685804283372,)
10	901241884728094	6049	6	(473:51[0.10999999999999999],474:139[0.20000000000000004],475:122[0.16],479:20[0.12999999999999998],483:74[0.16],486:100[0.17],)	506	-137.06	-814.6945256916996	-5001.0	9	9.59	14	8	(0.06564155319456222,0.07748206528972496,0.07405799085661145,0.0629419871327521,0.07798158048937551,0.06508893074952693,)
11	901389924919669	6564	6	(473:37[0.11999999999999998],474:55[0.19000000000000003],475:233[0.15],479:28[0.13999999999999999],483:134[0.17],488:19[0.15],)	506	-131.99	-765.815256916996	-5001.0	11	9.562	14	8	(0.07575001729991676,0.0485466674354731,0.07687571676284577,0.09076619373232994,0.042866503391273326,0.1137827748230701,)
12	901521243140615	7081	5	(474:131[0.20000000000000004],479:134[0.15],483:148[0.16],488:65[0.16],493:28[0.15],)	506	-131.99	-635.2751383399209	-5001.0	11	9.524	14	8	(0.10299911199362556,0.07549363762105987,0.05839041524605193,0.08637476290416345,0.1125365787697754,)
13	901647892859578	7592	7	(474:47[0.19000000000000003],479:75[0.13999999999999999],483:123[0.15],488:100[0.17],493:59[0.16],494:66[0.15],496:35[0.15],)	505	-131.99	-643.021405940594	-5001.0	11	9.612	14	8	(0.09927188515578177,0.0723749568552765,0.0901126328510083,0.10361484272587466,0.06051783943398961,0.09188515662705554,0.08169629714053846,)
14	901749115434272	8100	7	(474:31[0.20000000000000004],479:59[0.12999999999999998],483:52[0.13999999999999999],488:44[0.16],493:101[0.17],494:137[0.16],496:83[0.16],)	507	-131.99	-488.907731755424	-5001.0	11	9.696	15	8	(0.08504469929299242,0.06075471725771983,0.07947180670635534,0.06097568611103665,0.054748988039339495,0.06464664215819645,0.06565250703899633,)
