alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 555
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-PuddleWorld/run_848128652760689
Random seed:          555
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	850098582721460	997	1	(456:499[0.15],)	499	1105.5100000000123	-3828.3993006011947	-5101.0999999999985	10	9.084	13	8	(0.06747756124828479,)
1	851160437715386	1497	4	(456:330[0.16],457:130[0.15],458:18[0.15],459:23[0.15],)	501	1105.5100000000123	-3193.7636706586754	-5101.0999999999985	10	9.504	14	8	(0.07618378877434223,0.09364825928298548,0.10101151363739845,0.08236592495264429,)
2	852196560849762	2000	4	(456:295[0.15],457:73[0.13999999999999999],458:67[0.16],459:69[0.16],)	504	1254.0600000000209	-2912.9811547618956	-5101.0999999999985	10	9.648	15	8	(0.058562778116298675,0.08267390351202522,0.08045578495782689,0.06350776519916844,)
3	853132181678824	2500	4	(456:80[0.13999999999999999],457:183[0.15],458:80[0.17],459:161[0.17],)	504	1263.9400000000212	-2534.5210178571333	-5101.0999999999985	9	9.492	14	8	(0.07354645837490813,0.0720481118671864,0.051537164405747946,0.0670816126108553,)
4	854063178670664	3025	5	(456:96[0.15],457:79[0.13999999999999999],458:157[0.18000000000000002],459:133[0.16],463:39[0.15],)	504	1286.7800000000211	-2235.425696428565	-5101.0999999999985	9	9.696	15	8	(0.0819375245161299,0.0697402110542653,0.047801919189954745,0.0713679242152913,0.07331421820123196,)
5	854848620243128	3554	5	(456:42[0.16],457:82[0.15],458:128[0.17],459:103[0.15],463:150[0.16],)	505	1296.2500000000214	-1662.1962871287064	-5101.0999999999985	9	9.572	14	8	(0.08677122060550332,0.07230979921583952,0.07857514618580203,0.08323258270287744,0.06145337155743614,)
6	855417603798131	4058	6	(456:153[0.17],457:113[0.16],458:49[0.16],459:18[0.13999999999999999],463:152[0.15],468:20[0.15],)	505	1307.170000000022	-651.5626019801928	-5101.0999999999985	8	9.86	14	8	(0.08114564858206638,0.08805743593900532,0.10712134353490016,0.07801968907779312,0.07386430133321492,0.09572358858337636,)
7	855910316660514	4585	6	(457:65[0.15],458:174[0.17],459:167[0.15],463:35[0.13999999999999999],468:33[0.16],472:32[0.15],)	506	1307.170000000022	-348.7306739130402	-5101.0999999999985	8	9.618	14	8	(0.09506903009644446,0.06739946400431764,0.08697024859499536,0.06847839335967205,0.08351319569364182,0.0614270368101994,)
8	856436619134563	5182	5	(457:67[0.16],458:49[0.16],468:371[0.17],472:63[0.16],473:39[0.15],)	589	1317.680000000022	-401.89296604413977	-5101.0999999999985	11	10.754	14	8	(0.09608035734544063,0.07006952663857165,0.052597371172079334,0.07514423592694006,0.0938476887397063,)
9	856912120567364	5748	6	(457:133[0.17],458:130[0.17],468:189[0.16],472:26[0.17],473:67[0.16],475:25[0.15],)	570	1323.8100000000218	-299.3489298245608	-5101.0999999999985	12	10.618	14	8	(0.0996022221759221,0.061371568729555376,0.06067403611872087,0.10757585309706055,0.06452315373589158,0.07852896823176049,)
