alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 999
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_822420453139839
Random seed:          999
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	822798402706354	997	1	(474:499[0.15],)	499	1030.6500000000085	794.3602404809559	-100.09999999999856	9	8.966	12	8	(0.04248337647723539,)
1	823004163105694	1497	5	(474:308[0.16],475:17[0.15],476:73[0.15],477:50[0.15],478:53[0.15],)	501	1236.8700000000104	817.4184031936072	-100.09999999999856	10	9.126	12	8	(0.09938480910422902,0.07282401080505162,0.0944659587006226,0.08440886411162087,0.09344615774679187,)
2	823212269212224	2005	5	(474:120[0.15],476:145[0.16],477:148[0.16],478:33[0.16],479:59[0.15],)	505	1251.4000000000083	820.5171683168259	-100.09999999999856	9	9.194	13	8	(0.06200330470076804,0.06404561969503314,0.05340752777177518,0.06109753564536252,0.04981172198343885,)
3	823417949932298	2505	6	(474:75[0.13999999999999999],476:115[0.15],477:167[0.15],478:82[0.17],479:39[0.16],482:27[0.15],)	505	1402.1600000000167	823.453089108905	-100.09999999999856	9	9.216	13	8	(0.05189597645774676,0.06506603959040018,0.059611229611913945,0.0658353678779959,0.05570963757231246,0.06128032629229627,)
4	823619876671727	3005	6	(474:28[0.15],476:100[0.13999999999999999],477:43[0.13999999999999999],478:104[0.18000000000000002],479:134[0.17],482:97[0.16],)	506	1402.1600000000167	823.7252173912987	-100.09999999999856	9	9.126	14	8	(0.05051474033066765,0.04503198193561314,0.07396907015191512,0.06166842699829737,0.07674366570638969,0.05231704673439335,)
5	823828051960681	3505	6	(474:41[0.16],476:26[0.12999999999999998],477:147[0.15],478:144[0.17],479:74[0.16],482:74[0.15],)	506	1402.1600000000167	840.2123517786516	-100.09999999999856	9	9.294	15	8	(0.07158296920895206,0.08229431063880349,0.06404031329719334,0.062257596882305,0.06390938275116805,0.05473614964904297,)
6	824037838392937	4011	7	(474:74[0.17],476:76[0.13999999999999999],477:101[0.13999999999999999],478:102[0.16],479:82[0.17],482:51[0.16],483:20[0.15],)	506	1402.1600000000167	820.2233399209439	-100.09999999999856	9	9.272	15	8	(0.06205189654451024,0.07479733921440494,0.06698116501964924,0.06118878128589208,0.07017802259154234,0.08393710298652693,0.09186676244482093,)
7	824263030336795	4545	7	(474:94[0.16],476:101[0.12999999999999998],477:58[0.12999999999999998],478:67[0.15],479:78[0.16],482:47[0.17],483:62[0.16],)	507	1402.1600000000167	814.8932544378657	-100.09999999999856	9	9.5	16	8	(0.0826557769102429,0.07804450452255915,0.072638556214024,0.07543466374261813,0.0698966428548258,0.07255043083080191,0.05932089386134137,)
8	824484249473880	5047	7	(474:60[0.15],476:77[0.11999999999999998],477:89[0.13999999999999999],478:75[0.16],479:87[0.15],482:79[0.18000000000000002],483:40[0.17],)	507	1402.1600000000167	832.3302761341185	-100.09999999999856	9	9.778	16	8	(0.09729041131594947,0.089699713160834,0.08685951844642477,0.08572553938857629,0.07869499169940768,0.0827968352446871,0.07407112004094625,)
9	824708044438223	5549	8	(474:39[0.16],476:42[0.10999999999999999],477:131[0.12999999999999998],478:28[0.15],479:76[0.13999999999999999],482:76[0.17],483:90[0.18000000000000002],491:25[0.15],)	507	1416.470000000017	873.3374556212999	-100.09999999999856	10	9.814	15	8	(0.08106601038394753,0.06660393586154914,0.07474439172979835,0.08249803431158911,0.07490724964888078,0.08408843103288681,0.0603426385507208,0.0953273404159323,)
10	824942983502088	6074	11	(474:41[0.17],476:28[0.11999999999999998],477:39[0.11999999999999998],478:68[0.16],479:61[0.12999999999999998],482:38[0.16],483:16[0.17],491:70[0.16],494:58[0.15],497:49[0.15],502:40[0.15],)	508	1512.3700000000204	868.939389763778	-100.09999999999856	10	9.972	16	8	(0.08978128600605512,0.0917392979062618,0.08427524777832397,0.0731327905601454,0.07886843604024388,0.08583399374257725,0.11826332704650303,0.09495059370228846,0.09114414916376565,0.10410894283750462,0.08888267547103432,)
11	825170691149742	6575	11	(474:29[0.18000000000000002],476:17[0.12999999999999998],477:33[0.12999999999999998],478:20[0.15],479:69[0.11999999999999998],482:47[0.17],483:69[0.18000000000000002],491:38[0.15],494:27[0.13999999999999999],497:110[0.13999999999999999],502:52[0.16],)	511	1512.3700000000204	877.365029354207	-100.09999999999856	10	10.094	15	8	(0.08900393425479164,0.05217359544280491,0.06845964231057201,0.06651810190735999,0.0807821759044576,0.09114134430847742,0.06475266964628287,0.06248601779331662,0.08011855847656885,0.06723256456360362,0.05580830606922747,)
12	825408543792497	7123	9	(476:46[0.13999999999999999],477:67[0.13999999999999999],478:41[0.16],479:63[0.10999999999999999],482:69[0.16],483:23[0.17],491:61[0.16],497:32[0.12999999999999998],502:109[0.15],)	511	1550.1500000000206	893.5000782778869	-100.09999999999856	9	9.794	15	8	(0.04103582469552547,0.0778595312828506,0.08194830134059186,0.06874597369575919,0.0767770162214867,0.12203908571825828,0.0745062486206832,0.0594851719200619,0.06324620122850477,)
13	825633956490098	7632	10	(476:81[0.15],477:35[0.12999999999999998],478:63[0.17],479:32[0.09999999999999999],482:130[0.15],483:18[0.18000000000000002],491:50[0.15],497:18[0.13999999999999999],502:61[0.13999999999999999],512:21[0.15],)	509	1564.2800000000213	893.0550687622796	-100.09999999999856	10	9.822	15	8	(0.0728042404414644,0.07256669375412879,0.09283811003418566,0.07050705047554007,0.07737403609106036,0.09900362221838295,0.07850388848943875,0.07636400599788158,0.08323806825084828,0.11526421539753219,)
14	825883513217074	8196	7	(476:59[0.13999999999999999],477:98[0.13999999999999999],478:63[0.16],479:94[0.10999999999999999],483:61[0.19000000000000003],497:75[0.15],512:60[0.16],)	510	1564.2800000000213	898.9413333333342	-100.09999999999856	10	9.866	16	8	(0.07030620543177296,0.07385002765099889,0.09566404160018761,0.07688646798545792,0.09128784938704673,0.07593913687677385,0.03748618759430479,)
15	826113728524321	8712	8	(476:57[0.15],477:22[0.12999999999999998],478:97[0.17],479:45[0.09999999999999999],483:106[0.20000000000000004],497:83[0.13999999999999999],512:72[0.17],521:25[0.15],)	507	1564.2800000000213	868.2708481262343	-100.09999999999856	10	9.876	17	8	(0.06681687431328166,0.0596024769893086,0.10618420325332768,0.0649134722939404,0.10782704717755837,0.06504557161042669,0.04044507752936892,0.10196692230177538,)
16	826335936101153	9220	9	(476:72[0.16],477:31[0.13999999999999999],478:68[0.16],479:75[0.10999999999999999],483:17[0.19000000000000003],497:85[0.12999999999999998],512:63[0.16],521:58[0.16],524:39[0.15],)	508	1564.2800000000213	892.9571456692927	-100.09999999999856	10	9.74	15	8	(0.06910221744869954,0.08566730670234252,0.08863596517277796,0.0629970671881131,0.07992227331530853,0.06479563513467862,0.04938973037424604,0.10761993810679,0.08396427695063756,)
17	826565925520678	9729	10	(476:26[0.15],477:57[0.15],478:47[0.15],479:39[0.09999999999999999],483:69[0.20000000000000004],497:28[0.11999999999999998],512:58[0.15],521:84[0.15],524:72[0.16],526:29[0.15],)	509	1564.2800000000213	934.6433791748553	-100.09999999999856	10	9.982	16	8	(0.1030271880862197,0.09537928237194605,0.09360962383541985,0.056128530125707204,0.08988482022483657,0.0765343401127617,0.05242155225266455,0.0723174956701145,0.08478325984194444,0.10161125473085197,)
18	826808498983922	10276	10	(476:51[0.16],477:32[0.13999999999999999],478:28[0.16],479:73[0.10999999999999999],483:41[0.19000000000000003],497:113[0.12999999999999998],512:44[0.13999999999999999],521:51[0.13999999999999999],524:46[0.15],526:31[0.16],)	510	1564.2800000000213	905.7061372549041	-100.09999999999856	10	9.846	14	8	(0.06548533034039349,0.05933017405230236,0.08517469162528148,0.047739295395825776,0.06812098266446391,0.07541671019210622,0.069900155858979,0.07209469311010938,0.09370748129296222,0.06523474966479609,)
19	827035773736724	10778	11	(476:21[0.15],477:39[0.15],478:38[0.17],479:65[0.09999999999999999],483:55[0.20000000000000004],497:34[0.11999999999999998],512:52[0.15],521:39[0.12999999999999998],524:69[0.16],526:73[0.17],536:25[0.15],)	510	1564.2800000000213	908.6932941176493	-100.09999999999856	10	10.046	15	8	(0.09625168858481244,0.09091213951346165,0.08373646528378456,0.04817113341804246,0.08225554387092733,0.07700943247432648,0.05850656586699162,0.09753062647379215,0.07030948008846254,0.07991803589393548,0.08294057114099805,)
20	827263870436840	11289	12	(476:75[0.16],477:62[0.16],478:54[0.18000000000000002],479:32[0.09],483:33[0.19000000000000003],497:35[0.12999999999999998],512:37[0.13999999999999999],521:38[0.13999999999999999],524:42[0.15],536:55[0.16],538:18[0.15],539:30[0.15],)	511	1564.2800000000213	896.5304696673209	-100.09999999999856	10	10.006	14	8	(0.07840876854834194,0.09201854232284118,0.08725541343081354,0.044453759834910206,0.10518312111885497,0.0831903154713984,0.08793317054785593,0.09299166720113623,0.08586559345374749,0.08097281372887011,0.07202603623679513,0.07568096309542277,)
21	827516612285132	11817	11	(476:56[0.15],477:24[0.15],478:52[0.17],479:54[0.09999999999999999],483:58[0.20000000000000004],497:55[0.13999999999999999],512:35[0.15],521:18[0.15],536:73[0.15],538:44[0.16],539:43[0.16],)	512	1564.2800000000213	908.5061132812529	-100.09999999999856	10	10.548	14	8	(0.09378125265403832,0.05460989888389165,0.08556534671561636,0.055705318899977346,0.09479799829865744,0.09141766298794635,0.07113332841953655,0.09024476480742935,0.0756472017454046,0.055112254592585536,0.06822465184311362,)
22	827777225663017	12353	11	(476:35[0.13999999999999999],477:43[0.16],478:106[0.16],479:28[0.09],483:42[0.19000000000000003],497:38[0.12999999999999998],512:57[0.16],536:45[0.13999999999999999],538:49[0.17],539:38[0.17],545:30[0.15],)	511	1564.2800000000213	960.6092759295537	-100.09999999999856	10	10.692	15	8	(0.11335292764522838,0.05613529591648257,0.08518372437257422,0.04442867881748676,0.07438246320017464,0.09136230396722178,0.06592646684976886,0.0907184530049971,0.06390384118800738,0.06697644503303017,0.08311456483049245,)
23	828030946273753	12867	9	(476:34[0.15],477:85[0.17],478:21[0.15],479:29[0.09999999999999999],483:83[0.20000000000000004],512:116[0.15],538:52[0.16],539:34[0.18000000000000002],545:57[0.16],)	511	1564.2800000000213	969.1575342465793	-100.09999999999856	10	10.7	15	8	(0.08907177637643612,0.081194278861155,0.09249074136517861,0.03592189997465777,0.10368696746867674,0.07812532616351463,0.03654475678570008,0.08407184414197419,0.07281589277978086,)
