alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 888
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar-Maze/run_930433795742655
Random seed:          888
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
20	940878208045126	11166	7	(471:54[0.15],472:122[0.09999999999999999],483:22[0.16],494:46[0.19000000000000003],500:23[0.13999999999999999],505:123[0.16],506:118[0.16],)	508	-253.91000000000003	-2282.563543307087	-15001.0	12	10.316	17	8	(0.071383839849848,0.047528450091767295,0.06458318076003532,0.03445076819063022,0.10230032040518493,0.0691571775885448,0.09553416915339821,)
21	941346783294231	11671	7	(471:60[0.16],472:131[0.09],483:24[0.17],494:36[0.20000000000000004],500:127[0.15],505:70[0.15],506:59[0.15],)	507	-252.83	-2542.139842209074	-15001.0	11	10.08	18	8	(0.046800918969384715,0.057616151046007,0.08882438468760696,0.06106152166065829,0.05789162838137108,0.06042492161479048,0.07924966764895823,)
22	941784246900571	12190	7	(472:60[0.08],483:131[0.18000000000000002],494:51[0.21000000000000005],500:103[0.13999999999999999],505:72[0.16],506:60[0.16],512:30[0.15],)	507	-252.83	-2223.2537278106506	-15001.0	11	9.982	18	8	(0.05690278490566945,0.07091265898419896,0.07850302861989787,0.0607992316838958,0.08322205107125107,0.06197900166336481,0.08832564772923415,)
23	942262356662281	12699	7	(472:98[0.09],483:64[0.17],494:40[0.22000000000000006],500:93[0.12999999999999998],505:86[0.15],506:36[0.17],512:90[0.16],)	507	-251.35	-2539.4442209072977	-15001.0	11	10.218	17	8	(0.05557974077872935,0.0811230346033083,0.05706447991273308,0.07028941545570175,0.06339908039093735,0.07381724196359261,0.04611948642145125,)
24	942786492508138	13220	6	(472:71[0.08],483:33[0.18000000000000002],500:53[0.11999999999999998],505:123[0.13999999999999999],506:130[0.18000000000000002],512:97[0.15],)	507	-250.98000000000002	-2714.484339250493	-15001.0	13	9.994	16	8	(0.056095681976079226,0.09588889526836834,0.08068457306956804,0.0771553458534792,0.06996668507946359,0.05854757760279554,)
25	943321343688670	13730	9	(472:134[0.09],483:89[0.19000000000000003],500:29[0.12999999999999998],505:19[0.12999999999999998],506:96[0.17],512:48[0.13999999999999999],520:49[0.15],521:18[0.15],522:24[0.15],)	506	-250.98000000000002	-2666.753774703557	-15001.0	13	10.252	15	8	(0.054269950673706616,0.08460248867206463,0.08782341408223389,0.07746066514375408,0.07900183939300917,0.07410685852435098,0.06929279069427564,0.06043793967670979,0.0744620098907392,)
26	943868036367694	14256	7	(472:43[0.08],505:76[0.13999999999999999],506:76[0.16],512:86[0.15],520:69[0.16],521:119[0.16],522:40[0.16],)	509	-250.98000000000002	-2501.9121414538313	-15001.0	13	10.828	16	8	(0.06016323464582135,0.0522751405822943,0.08316906736554266,0.05633075066561698,0.07826450094655282,0.05535914989913854,0.05929590180176765,)
27	944294571488577	14756	8	(472:54[0.09],505:84[0.12999999999999998],506:80[0.15],512:63[0.13999999999999999],520:80[0.17],521:77[0.15],522:51[0.17],525:18[0.15],)	507	-248.52	-1915.7584812623275	-15001.0	12	11.084	16	8	(0.04231956948578053,0.07688005867031843,0.08397007923960832,0.059606012130502775,0.053421201057170006,0.0793239401733674,0.060935399293641467,0.06903347453214953,)
28	944801616032505	15264	7	(472:51[0.09999999999999999],506:41[0.13999999999999999],512:42[0.12999999999999998],520:63[0.16],521:79[0.13999999999999999],522:163[0.18000000000000002],525:69[0.16],)	508	-248.52	-2110.1485826771655	-15001.0	12	11.438	16	8	(0.044568690358493486,0.0637793150621389,0.037703632034538824,0.06914492095481155,0.07403556174545675,0.05071491676661413,0.04936518102297463,)
29	945280993046708	15787	8	(472:92[0.10999999999999999],506:47[0.15],512:40[0.13999999999999999],520:59[0.17],521:99[0.12999999999999998],522:77[0.17],525:71[0.17],530:22[0.15],)	507	-248.52	-2001.3840039447734	-15001.0	12	11.258	16	8	(0.06248548816816162,0.07257344248637249,0.033760739120773944,0.10342409397769664,0.07539245907049712,0.059035054099861956,0.06780811311802852,0.07190762503686492,)
30	945776076796018	16308	8	(472:70[0.09999999999999999],506:57[0.16],512:75[0.15],520:131[0.18000000000000002],521:47[0.11999999999999998],522:43[0.16],525:20[0.16],530:65[0.16],)	508	-244.01	-2074.4073622047244	-15001.0	11	11.048	16	8	(0.06161650763497376,0.07197248240825169,0.058317649587175474,0.07026476309535658,0.07557713244537806,0.07105400041003652,0.07125079495068032,0.060757768452868906,)
31	946258181648830	16822	8	(472:33[0.09],506:129[0.17],512:64[0.13999999999999999],520:66[0.17],521:40[0.12999999999999998],522:54[0.17],525:62[0.17],530:60[0.15],)	508	-244.01	-2053.5417322834646	-15001.0	11	11.31	15	8	(0.07136339037634166,0.07978706452170582,0.07303950471909473,0.08523450772120093,0.07786480047211622,0.07941469533437191,0.08121476738996021,0.05695685755506111,)
32	946741830542580	17342	8	(472:108[0.09999999999999999],506:53[0.16],512:65[0.12999999999999998],520:106[0.16],521:38[0.13999999999999999],522:61[0.18000000000000002],525:27[0.16],530:50[0.16],)	508	-244.01	-2136.6576181102364	-15001.0	11	11.044	15	8	(0.05153343812282807,0.09124861794460545,0.06653862100833927,0.055228475974070275,0.0735376355356363,0.0670900412837145,0.07130919270196985,0.07476084055295656,)
33	947201610772112	17846	8	(472:111[0.09],506:51[0.17],512:66[0.11999999999999998],520:38[0.15],521:59[0.15],522:70[0.19000000000000003],525:62[0.17],530:51[0.17],)	508	-244.01	-2062.079527559055	-15001.0	11	11.17	16	8	(0.054753451857253374,0.07169606057782162,0.0721021564331943,0.09336180263227077,0.0746431849682719,0.05844012428681448,0.06405816400447611,0.06358112555347778,)
34	947674323245651	18351	10	(472:21[0.08],506:53[0.18000000000000002],512:34[0.10999999999999999],520:25[0.16],521:43[0.16],522:77[0.18000000000000002],525:117[0.16],530:49[0.18000000000000002],541:39[0.15],542:50[0.15],)	508	-244.01	-2120.5268503937004	-15001.0	11	11.178	16	8	(0.05624773299672489,0.10012568570185414,0.07754208253004985,0.08654051629856484,0.10939754063742235,0.09155001612816173,0.09181416511785602,0.10365018631139511,0.11123117141306973,0.08502406118552631,)
35	948237049479083	18851	10	(472:22[0.09],506:140[0.17],512:35[0.11999999999999998],520:37[0.17],521:36[0.17],522:40[0.17],525:37[0.15],530:21[0.19000000000000003],541:88[0.16],542:54[0.13999999999999999],)	510	-244.01	-2724.0851764705885	-15001.0	11	10.732	17	8	(0.07141865714070435,0.07427213798211119,0.09366922786808335,0.07396032762955623,0.08188078469943444,0.09536903270102365,0.08820305429581937,0.059528272598856236,0.0753317811881002,0.055971160055926644,)
36	948719918011739	19370	9	(472:35[0.09999999999999999],506:27[0.16],512:53[0.12999999999999998],520:73[0.18000000000000002],522:42[0.18000000000000002],525:59[0.16],530:46[0.20000000000000004],541:104[0.15],542:71[0.12999999999999998],)	510	-244.01	-2223.724568627451	-15001.0	11	10.604	18	8	(0.06470055311420207,0.10511000958041881,0.07743714104753258,0.0760732059875943,0.08345769428673463,0.07965044475649051,0.059480987779995255,0.07462855105741178,0.09416507043571971,)
37	949297399023612	19877	9	(472:45[0.10999999999999999],506:64[0.17],512:117[0.13999999999999999],520:58[0.17],522:30[0.19000000000000003],525:37[0.15],530:75[0.21000000000000005],541:47[0.13999999999999999],542:36[0.11999999999999998],)	509	-244.01	-2823.739194499018	-15001.0	11	10.348	16	8	(0.04143901788412918,0.07696844963805875,0.07345376889045514,0.06990467476789802,0.11176836790212342,0.09333259903806392,0.06347213309708406,0.062345977607847894,0.06256471724758744,)
38	949876792256839	20400	8	(472:88[0.11999999999999998],512:43[0.12999999999999998],520:80[0.16],522:31[0.20000000000000004],525:37[0.16],530:62[0.20000000000000004],541:37[0.15],542:131[0.12999999999999998],)	509	-244.01	-2661.7197249508836	-15001.0	11	10.524	16	8	(0.0701173607146061,0.08144476871691805,0.0703816250392248,0.08538095959361185,0.04786754707168671,0.04555464559943698,0.06345838274284599,0.0750219639734735,)
