alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 777
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_PuddleWorld/run_709085533739319
Random seed:          777
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	709476591853818	997	1	(466:499[0.15],)	499	1543.5900000000222	441.873406813623	-100.09999999999856	10	9.56	14	8	(0.08508896211066627,)
1	709708497799577	1497	4	(466:186[0.16],467:53[0.15],468:133[0.15],469:129[0.15],)	501	1573.490000000022	632.3005988023904	-100.09999999999856	11	10.186	14	8	(0.07737331684081628,0.07382714292040118,0.09067627900474093,0.05517737192564304,)
2	709946568334206	1997	4	(466:24[0.15],467:147[0.16],468:317[0.13999999999999999],469:16[0.13999999999999999],)	504	1573.490000000022	754.7832142857096	-100.09999999999856	11	10.46	15	8	(0.08220912204099722,0.04388583887985382,0.05881440285800646,0.060334857244199645,)
3	710177777241577	2509	4	(466:17[0.16],467:171[0.15],468:186[0.12999999999999998],469:130[0.15],)	504	1573.490000000022	727.9127857142826	-100.09999999999856	11	9.95	15	8	(0.09415778354481132,0.05454179852535313,0.06296102576359534,0.07496649626141942,)
4	710420537462751	3034	5	(466:122[0.17],467:143[0.13999999999999999],468:75[0.11999999999999998],469:100[0.13999999999999999],476:64[0.15],)	504	1573.490000000022	763.6502579365051	-100.09999999999856	11	10.182	16	8	(0.053407842192353186,0.06352614278155559,0.07012786157790497,0.07612497269930021,0.07287224226790123,)
5	710679715875841	3548	5	(466:107[0.16],468:22[0.12999999999999998],469:76[0.12999999999999998],476:197[0.16],478:103[0.15],)	505	1573.490000000022	841.7545544554449	-100.09999999999856	11	10.92	17	8	(0.08584783764447906,0.06605127023934738,0.05978340172292127,0.06145355835535162,0.08217121117528119,)
6	710940820902599	4070	7	(466:108[0.15],468:150[0.13999999999999999],469:68[0.13999999999999999],476:33[0.15],480:23[0.15],482:16[0.15],484:107[0.15],)	505	1573.490000000022	854.4717425742577	-100.09999999999856	11	10.796	17	8	(0.06782732827296693,0.08218294391660207,0.0830889725868285,0.07692230313817429,0.08515199222270871,0.07001018135456331,0.060720509358124584,)
7	711178306679413	4574	7	(466:106[0.13999999999999999],468:99[0.12999999999999998],469:49[0.15],476:46[0.16],480:88[0.16],482:35[0.16],484:84[0.13999999999999999],)	507	1573.490000000022	968.4760611439862	-100.09999999999856	11	10.188	17	8	(0.04891395162306241,0.0656175401434175,0.07523862733378456,0.07807693657505003,0.08867708399434604,0.04992576203650125,0.06845862844913882,)
8	711412359906731	5084	7	(466:67[0.12999999999999998],468:61[0.11999999999999998],469:53[0.16],476:56[0.17],480:125[0.15],482:67[0.17],484:78[0.12999999999999998],)	507	1573.490000000022	1014.3017909270259	-100.09999999999856	11	10.014	16	8	(0.05153119653004307,0.07076085529514722,0.05707240467400635,0.08305733303984508,0.0691271732596784,0.06759287931709602,0.0628647913725518,)
9	711662073283520	5613	7	(466:47[0.13999999999999999],468:67[0.12999999999999998],469:102[0.17],476:70[0.18000000000000002],480:67[0.13999999999999999],482:84[0.18000000000000002],484:70[0.11999999999999998],)	507	1573.490000000022	998.885023668643	-100.09999999999856	11	10.252	17	8	(0.049927473171716835,0.0733655423464507,0.07399636920395877,0.07645697281741566,0.06866442147632834,0.07167413935394866,0.05519035209717277,)
