alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1010
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_MountainCar/run_2686839430902485
Random seed:          1010
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=10, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2699388775630487	997	1	(494:499[0.15],)	499	-164.1	-3577.402464929861	-5001.0	10	11.11	14	10	(0.09344866064726197,)
1	2705344105636453	1513	3	(494:171[0.16],495:269[0.15],496:61[0.15],)	501	-147.72	-3466.7455089820373	-5001.0	12	11.34	15	10	(0.09301600172147356,0.09314610229966944,0.10099109504619816,)
2	2710340733129847	2016	3	(494:107[0.15],495:184[0.13999999999999999],496:212[0.16],)	503	-160.91	-2943.9586878727637	-5001.0	12	11.402	16	10	(0.06873912930922642,0.07255411254897445,0.053463518275619897,)
3	2714956101170468	2524	3	(494:202[0.16],495:96[0.12999999999999998],496:205[0.15],)	503	-155.13	-2741.963896620279	-5001.0	11	11.498	17	10	(0.05241127924918663,0.06695188264796446,0.062495075164598526,)
4	2718739103339140	3036	3	(494:183[0.15],495:74[0.13999999999999999],496:246[0.13999999999999999],)	503	-141.62	-2249.251411530814	-5001.0	12	11.516	17	10	(0.06784505518112434,0.06526945921807552,0.06382943715162663,)
5	2722230154836651	3556	3	(494:202[0.13999999999999999],495:157[0.15],496:144[0.12999999999999998],)	503	-139.21	-1961.4380119284294	-5001.0	15	11.84	16	10	(0.07536526839876599,0.08877559256452383,0.08061587453421228,)
6	2725071377587760	4072	3	(494:169[0.12999999999999998],495:166[0.16],496:168[0.13999999999999999],)	503	-137.29	-1669.1954075546719	-5001.0	11	12.066	17	10	(0.06221259822012364,0.043083706127113486,0.06699916052757043,)
7	2727308241637147	4593	3	(494:151[0.11999999999999998],495:147[0.15],496:205[0.12999999999999998],)	503	-136.93	-1207.9326838966203	-5001.0	12	12.308	17	10	(0.07003572183138292,0.0732602067484447,0.06562058427127371,)
8	2729484117473558	5097	3	(494:215[0.12999999999999998],495:95[0.16],496:193[0.11999999999999998],)	503	-136.25	-1263.7135188866794	-5001.0	13	12.424	18	10	(0.04322020169143123,0.07870917561635352,0.03787981917857715,)
9	2731637751916185	5604	4	(494:203[0.11999999999999998],495:52[0.17],496:182[0.10999999999999999],510:66[0.15],)	503	-134.92	-1262.3743936381707	-5001.0	12	12.53	18	10	(0.041946148559152734,0.09478845260463921,0.06964122798252753,0.08926609607835921,)
10	2733514126314147	6111	5	(494:52[0.10999999999999999],495:52[0.18000000000000002],496:239[0.09999999999999999],510:136[0.16],513:25[0.15],)	504	-136.15	-1064.387281746032	-5001.0	10	12.442	18	10	(0.0764331422132588,0.08399590924044774,0.051605926011965585,0.06970969220534795,0.0771441267567706,)
11	2735278865178939	6628	5	(494:104[0.11999999999999998],495:113[0.19000000000000003],496:49[0.09],510:98[0.15],513:141[0.16],)	505	-134.14	-994.6327524752476	-5001.0	11	11.97	17	10	(0.05782328970029357,0.06780868028677461,0.06850879417785002,0.06679097562863273,0.04210159615453375,)
12	2737062813713924	7135	5	(494:103[0.10999999999999999],495:84[0.18000000000000002],496:126[0.09999999999999999],510:100[0.16],513:92[0.15],)	505	-135.86	-1032.5373069306931	-5001.0	15	12.406	18	10	(0.06046918031328204,0.05844753857218559,0.05047875599786499,0.06659459536609486,0.03190447442817145,)
13	2738884352039436	7653	5	(494:126[0.09999999999999999],495:76[0.19000000000000003],496:56[0.09],510:137[0.15],513:110[0.16],)	505	-136.66	-1029.6257029702974	-5001.0	13	12.344	19	10	(0.06010417281112609,0.08115045544223866,0.06125509382945281,0.07183725781919613,0.05141205343275852,)
14	2740964281832566	8171	5	(494:73[0.09],495:74[0.20000000000000004],496:177[0.09999999999999999],510:129[0.13999999999999999],513:52[0.15],)	505	-133.87	-1186.3020396039599	-5001.0	15	12.65	19	10	(0.04670262312513088,0.10050401850484307,0.05588439914098796,0.07799770965701538,0.03977446812067147,)
15	2742941877428761	8676	6	(494:19[0.09999999999999999],495:86[0.21000000000000005],496:114[0.09],510:85[0.12999999999999998],513:134[0.16],519:67[0.15],)	505	-133.79	-1146.68699009901	-5001.0	13	12.808	20	10	(0.05510516266011802,0.09870145062199932,0.04839120058576076,0.07525482792991803,0.06020036954746127,0.06654083067674939,)
16	2744874055300539	9182	7	(494:44[0.10999999999999999],495:71[0.20000000000000004],496:16[0.08],510:60[0.11999999999999998],513:79[0.15],519:218[0.16],520:18[0.15],)	506	-135.49	-1113.487233201581	-5001.0	13	13.532	20	10	(0.06085006917014688,0.09697659006643464,0.0693398753064662,0.08790645793498034,0.08755130462149886,0.05827734756370192,0.0744951400601433,)
17	2746941852173453	9708	7	(494:71[0.11999999999999998],495:67[0.19000000000000003],496:157[0.09],510:51[0.12999999999999998],513:70[0.13999999999999999],519:35[0.15],520:56[0.16],)	507	-134.28	-1089.4737278106509	-5001.0	14	12.948	19	10	(0.04222911250536045,0.08796066998614882,0.04787393402045046,0.08337560972419811,0.06880205271504236,0.0819395062310059,0.04805849183222644,)
18	2748506838379829	10215	7	(494:77[0.10999999999999999],495:81[0.20000000000000004],496:77[0.08],510:97[0.13999999999999999],513:84[0.15],519:30[0.16],520:61[0.17],)	507	-136.93	-928.3962919132151	-5001.0	14	13.16	20	10	(0.07429942567999007,0.08349704599796136,0.050073490978678886,0.07972452589374533,0.06411883334313917,0.061929985899204176,0.07912144820573982,)
19	2750513778854047	10741	8	(494:108[0.09999999999999999],495:65[0.19000000000000003],510:41[0.12999999999999998],513:96[0.13999999999999999],519:74[0.17],520:36[0.18000000000000002],524:31[0.15],525:56[0.15],)	507	-136.31	-1079.35224852071	-5001.0	11	13.392	21	10	(0.06125588566816535,0.08724430428928726,0.09424205015809316,0.05328435766128361,0.07458194631321712,0.08143501437507501,0.09329288123442216,0.08549076132479912,)
20	2752385298876558	11274	9	(494:21[0.09],510:55[0.13999999999999999],513:67[0.12999999999999998],519:112[0.16],520:48[0.19000000000000003],524:44[0.16],525:107[0.16],527:30[0.15],528:24[0.15],)	508	-131.38	-993.423405511811	-5001.0	13	13.386	21	10	(0.08342983819909633,0.094509843050751,0.0647912836309728,0.0705429821315161,0.09487135389220136,0.08564144230563558,0.07441837103066318,0.09748286832655244,0.06635296593626504,)
