alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1616
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2686830050132524
Random seed:          1616
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=10, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2690470328897798	997	1	(488:499[0.15],)	499	-56.85	-4266.702004008018	-10000.0	12	10.732	14	10	(0.09949240931903738,)
1	2691450794402881	1498	4	(488:158[0.16],489:162[0.15],490:135[0.15],491:46[0.15],)	501	-58.12	-2409.168103792415	-10000.0	11	11.088	14	10	(0.07420425632473424,0.049672422429554434,0.07124085869457733,0.08833716712058359,)
2	2692047513218887	2036	4	(488:79[0.15],490:248[0.13999999999999999],491:94[0.16],493:83[0.15],)	504	-56.57	-1347.1680952380952	-10000.0	12	11.088	14	10	(0.062138108394579276,0.04258208755864976,0.036938450093367374,0.06256297032488985,)
3	2692389184992928	2540	4	(488:248[0.16],490:150[0.12999999999999998],491:40[0.17],493:66[0.16],)	504	-54.46	-851.5276984126987	-10000.0	10	11.07	15	10	(0.05905380782087968,0.052304207397281983,0.04525785096756067,0.08532951692274,)
4	2692732736981189	3044	4	(488:64[0.15],490:44[0.11999999999999998],491:233[0.18000000000000002],493:163[0.17],)	504	-53.87	-818.7730555555555	-10000.0	12	11.124	16	10	(0.058020426896078205,0.06159050334392659,0.057175078929593906,0.08170041956300712,)
5	2693167504301685	3562	6	(488:116[0.16],490:121[0.12999999999999998],491:115[0.17],493:74[0.16],495:27[0.15],496:51[0.15],)	504	-50.59	-963.7823412698411	-10000.0	12	11.384	16	10	(0.08935734485408982,0.0712131505557986,0.08594715855001162,0.07234610595884397,0.09461166093052817,0.07283923839172837,)
6	2693484766595695	4075	5	(488:43[0.15],490:218[0.11999999999999998],491:32[0.16],493:88[0.17],495:125[0.16],)	506	-49.69	-695.7896245059289	-10000.0	13	12.006	16	10	(0.05587952144893886,0.05412920657498764,0.06447537109230869,0.04224334636028632,0.04580806242826319,)
7	2693779257572598	4580	5	(488:40[0.16],490:45[0.10999999999999999],491:115[0.17],493:108[0.18000000000000002],495:197[0.15],)	505	-49.23	-682.4311881188117	-10000.0	12	11.544	17	10	(0.06561474260042553,0.0788199753857659,0.0692672123728768,0.03838084125479311,0.059925638679610746,)
8	2694099137307599	5085	5	(488:100[0.17],490:29[0.11999999999999998],491:62[0.16],493:95[0.17],495:219[0.13999999999999999],)	505	-50.27	-753.8413267326736	-10000.0	13	11.324	15	10	(0.043161564338925915,0.06571355480384496,0.0632675993925455,0.06869311679228583,0.06259802490606459,)
9	2694464143921708	5593	4	(488:134[0.16],491:70[0.17],493:73[0.18000000000000002],495:228[0.12999999999999998],)	505	-49.25	-870.4217623762376	-10000.0	13	11.24	16	10	(0.061707192162677046,0.04594472974335121,0.04526471498717323,0.04842235392228435,)
10	2694784858176019	6097	4	(488:218[0.15],491:226[0.18000000000000002],493:33[0.19000000000000003],495:27[0.11999999999999998],)	504	-49.27	-730.9400396825392	-10000.0	13	11.172	16	10	(0.06515911444150621,0.059355314476404235,0.058225828151968057,0.05572503896443039,)
11	2695177006395491	6609	4	(488:207[0.13999999999999999],491:129[0.17],493:17[0.20000000000000004],495:151[0.12999999999999998],)	504	-40.75	-941.2035515873013	-10000.0	11	11.016	16	10	(0.08346623283561164,0.08783784501123627,0.07889039312274278,0.08794127334153445,)
12	2695538151690973	7113	4	(488:110[0.12999999999999998],491:124[0.16],493:195[0.21000000000000005],495:75[0.11999999999999998],)	504	-45.48	-835.4069047619049	-10000.0	12	11.776	17	10	(0.0684191693744478,0.08744640417265867,0.05964233308207881,0.08196020823560131,)
13	2695956425240779	7641	3	(488:140[0.13999999999999999],493:85[0.20000000000000004],495:279[0.12999999999999998],)	504	-44.27	-934.6516269841272	-10000.0	10	11.468	17	10	(0.07449035184941757,0.0696656080095663,0.06868409148127018,)
14	2696435589494830	8144	5	(488:171[0.15],493:142[0.21000000000000005],495:21[0.11999999999999998],502:138[0.15],503:31[0.15],)	503	-37.71	-1053.3960238568593	-10000.0	11	11.924	17	10	(0.0877266277691575,0.07637118146009046,0.1036173667437909,0.08383685971748388,0.07839914686219401,)
15	2696936142129944	8651	5	(488:117[0.13999999999999999],493:101[0.20000000000000004],495:94[0.12999999999999998],502:35[0.13999999999999999],503:158[0.16],)	505	-35.6	-1120.4104356435646	-10000.0	13	11.878	17	10	(0.0653157704518015,0.08083186246153415,0.058092708435853,0.06717242747675962,0.042849948436659124,)
16	2697453159639106	9185	4	(488:83[0.12999999999999998],495:130[0.13999999999999999],502:26[0.15],503:266[0.15],)	505	-37.37	-1090.489326732674	-10000.0	11	11.784	16	10	(0.05563286825386712,0.06619771479202718,0.05817276082835991,0.05781731979555492,)
17	2697993082040137	9689	4	(488:70[0.13999999999999999],495:125[0.12999999999999998],502:124[0.16],503:185[0.13999999999999999],)	504	-36.49	-1242.407400793651	-10000.0	10	11.746	16	10	(0.06826061568455978,0.06686898894276896,0.06488587247701473,0.06758662050257686,)
18	2698441326400676	10193	4	(488:87[0.15],495:32[0.11999999999999998],502:241[0.17],503:144[0.12999999999999998],)	504	-35.81	-962.7177182539682	-10000.0	10	12.1	17	10	(0.06826724977372921,0.06948058092260966,0.06900499332817348,0.07150321766211082,)
19	2698932116072151	10697	4	(488:324[0.16],495:31[0.12999999999999998],502:76[0.16],503:73[0.11999999999999998],)	504	-33.5	-1059.9236507936507	-10000.0	10	11.772	17	10	(0.06748709443533736,0.05631212714905294,0.06465419183498716,0.07876021025904949,)
20	2699370368271008	11203	4	(488:97[0.15],495:186[0.13999999999999999],502:142[0.17],503:79[0.12999999999999998],)	504	-35.42	-885.0485515873015	-10000.0	11	12.144	17	10	(0.05925844321082246,0.07378140194893743,0.08061395394327485,0.05415987516481662,)
21	2699900230783880	11717	5	(488:80[0.16],495:219[0.12999999999999998],502:66[0.16],503:110[0.13999999999999999],510:29[0.15],)	504	-35.64	-1056.9580158730157	-10000.0	14	12.238	17	10	(0.06914652053009543,0.07700836344317698,0.06974499454350294,0.061070296907366116,0.07669844585552596,)
22	2700247131569748	12227	5	(488:119[0.17],495:35[0.11999999999999998],502:137[0.17],503:19[0.12999999999999998],510:195[0.16],)	505	-34.03	-708.0404950495049	-10000.0	12	12.7	18	10	(0.068817540781092,0.08420617116418307,0.07225980402333547,0.07209698488495592,0.07143456100232537,)
23	2700643921725237	12732	5	(488:91[0.16],495:50[0.12999999999999998],502:101[0.16],503:150[0.13999999999999999],510:113[0.15],)	505	-33.26	-887.7664356435644	-10000.0	16	12.178	17	10	(0.06838489772126982,0.07144123953830815,0.06869174824314524,0.07668478967277331,0.054045274757380975,)
24	2701097411152707	13237	5	(488:72[0.17],495:131[0.13999999999999999],502:158[0.15],503:60[0.12999999999999998],510:84[0.13999999999999999],)	505	-34.43	-957.7622574257427	-10000.0	11	12.162	17	10	(0.07142462653281695,0.062468805022746994,0.07790747568080805,0.058220549861019,0.05945837430815389,)
25	2701444913705626	13742	5	(488:72[0.18000000000000002],495:133[0.12999999999999998],502:116[0.13999999999999999],503:59[0.13999999999999999],510:125[0.15],)	505	-34.7	-740.2254455445546	-10000.0	15	12.218	17	10	(0.0799126774538468,0.05698906213887534,0.07907146285261422,0.05554598539638353,0.06037772205006372,)
26	2701727963692376	14247	5	(488:146[0.19000000000000003],495:50[0.11999999999999998],502:90[0.12999999999999998],503:201[0.15],510:18[0.13999999999999999],)	505	-33.46	-599.0377623762373	-10000.0	13	12.132	17	10	(0.08764220817055345,0.08452265798285233,0.09381271399371192,0.06878331124129115,0.07803640212861593,)
27	2702125829121189	14752	5	(488:76[0.18000000000000002],495:94[0.12999999999999998],502:216[0.13999999999999999],503:95[0.13999999999999999],510:24[0.15],)	505	-30.82	-787.9728118811882	-10000.0	11	12.606	18	10	(0.08146630459800917,0.07202079518916488,0.07375279791085552,0.061147474303486965,0.0829305554885509,)
28	2702546484714461	15259	6	(488:22[0.19000000000000003],495:140[0.13999999999999999],502:116[0.12999999999999998],503:95[0.15],510:77[0.16],514:55[0.15],)	505	-33.57	-851.6658811881189	-10000.0	10	12.308	19	10	(0.10314960795292932,0.08088794999333805,0.07970146759380929,0.0827119653506771,0.07620016264953175,0.08309991772294766,)
29	2702906872270481	15765	7	(488:22[0.20000000000000004],495:121[0.12999999999999998],502:84[0.11999999999999998],503:120[0.13999999999999999],510:34[0.17],514:109[0.16],515:16[0.15],)	506	-33.38	-737.7508300395257	-10000.0	17	12.496	20	10	(0.09650077460261702,0.07568360664238294,0.08482620869845872,0.07183880394787544,0.07333625887660197,0.08557895473327966,0.09912135071887092,)
30	2703453282495021	16277	7	(488:22[0.21000000000000005],495:88[0.11999999999999998],502:84[0.10999999999999999],503:53[0.12999999999999998],510:76[0.18000000000000002],514:56[0.15],515:128[0.16],)	507	-32.35	-1082.0013609467458	-10000.0	13	12.69	19	10	(0.10180856580977088,0.08043560454190062,0.07607106822460127,0.07782397811825444,0.08106174355065178,0.07929619383878184,0.07573478238289497,)
31	2703807365433932	16784	8	(488:34[0.22000000000000006],495:86[0.10999999999999999],502:37[0.09999999999999999],503:41[0.13999999999999999],510:105[0.17],514:93[0.16],515:96[0.15],518:15[0.15],)	507	-33.72	-725.180177514793	-10000.0	11	12.2	19	10	(0.10072995096077687,0.07020432348837363,0.0816859628230432,0.06557849882414757,0.08724244571139318,0.08460677871514935,0.08897153624935224,0.049778720001304635,)
32	2704163023312084	17304	8	(488:106[0.23000000000000007],495:41[0.09999999999999999],502:40[0.10999999999999999],503:86[0.15],510:36[0.16],514:31[0.15],518:144[0.16],519:24[0.15],)	508	-30.78	-738.7379133858268	-10000.0	11	12.06	19	10	(0.09701799569392806,0.06398126112543909,0.07005278858879878,0.10138117153028388,0.10034096653367269,0.10490343590578563,0.05732252625300152,0.08552162395143252,)
33	2704544524209182	17825	7	(488:65[0.22000000000000006],495:33[0.10999999999999999],502:100[0.11999999999999998],510:22[0.17],514:66[0.16],518:153[0.15],519:69[0.16],)	508	-33.05	-806.9738976377953	-10000.0	10	12.022	20	10	(0.08663080378063633,0.07939761976448549,0.08412562870204883,0.1030046402739382,0.08237247841651991,0.060470236184479095,0.07445439993473887,)
34	2704979724571161	18344	9	(488:23[0.23000000000000007],495:23[0.11999999999999998],502:56[0.10999999999999999],510:30[0.18000000000000002],514:45[0.17],518:97[0.13999999999999999],519:147[0.17],520:26[0.15],522:60[0.15],)	507	-33.94	-900.7572386587772	-10000.0	10	11.86	19	10	(0.1432898790183902,0.09016816390176353,0.0845456308630164,0.10316797420785326,0.13424581153748363,0.08059936162256028,0.11152471850366652,0.09752319922144582,0.08915117429506327,)
