alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 777
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2686830103231363
Random seed:          777
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=10, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2689257030060056	997	1	(493:499[0.15],)	499	-49.74	-751.620501002004	-9917.35	11	11.042	15	10	(0.07181113199408305,)
1	2689467167653882	1498	2	(493:451[0.16],494:50[0.15],)	501	-49.02	-444.9108582834335	-10000.0	11	11.282	15	10	(0.05859891795315255,0.08365051168544432,)
2	2689612184711460	2005	3	(493:225[0.15],494:259[0.16],495:18[0.15],)	502	-47.0	-294.5165139442231	-10000.0	11	11.196	15	10	(0.07943840273444239,0.054377836502207594,0.07538184812283356,)
3	2689772443848937	2517	5	(493:268[0.13999999999999999],494:71[0.15],495:81[0.16],497:66[0.15],498:17[0.15],)	503	-46.15	-291.12041749502976	-10000.0	11	11.748	16	10	(0.06782882487477153,0.060403889011621664,0.07242637299541083,0.08321546135370544,0.08030181399174766,)
4	2689878184219084	3022	5	(493:69[0.12999999999999998],494:37[0.16],495:96[0.17],497:71[0.16],498:232[0.16],)	505	-41.34	-233.48386138613859	-10000.0	11	11.398	16	10	(0.0900868278710422,0.0780479667296045,0.08865457443130885,0.09239199670658824,0.09156610057353404,)
5	2690115821673546	3550	3	(493:309[0.13999999999999999],494:79[0.17],498:117[0.15],)	505	-45.86	-454.83683168316816	-10000.0	10	11.806	16	10	(0.07362887216058372,0.07545273145327507,0.057486923519442436,)
6	2690392190758203	4075	3	(493:129[0.12999999999999998],494:171[0.18000000000000002],498:203[0.16],)	503	-43.02	-547.8694433399604	-10000.0	11	11.598	16	10	(0.07512812836879285,0.06565507372665741,0.07730453033192454,)
7	2690640240769155	4594	3	(493:195[0.13999999999999999],494:172[0.17],498:136[0.15],)	503	-42.66	-490.734333996024	-10000.0	11	11.638	15	10	(0.07383917120592348,0.053870538228461724,0.08048180611713245,)
8	2690930432211376	5097	4	(493:17[0.12999999999999998],494:198[0.16],498:255[0.16],505:33[0.15],)	503	-40.21	-551.4995825049701	-10000.0	10	11.706	16	10	(0.09173847514382398,0.0758454533703099,0.09362210695150036,0.09508800140412388,)
9	2691108182829865	5601	5	(493:39[0.13999999999999999],494:201[0.15],498:19[0.15],505:198[0.16],506:47[0.15],)	504	-39.68	-352.6849007936507	-10000.0	11	11.802	17	10	(0.07642571597699128,0.07474083076034096,0.10431205877189006,0.09872818900078931,0.09022073681183419,)
10	2691341524568731	6106	5	(493:151[0.15],494:141[0.13999999999999999],498:102[0.16],505:85[0.15],506:26[0.16],)	505	-41.58	-450.2071485148514	-10000.0	11	11.954	18	10	(0.05379009684588182,0.06645499620372444,0.06077439067552638,0.07340456866038476,0.0581734968639993,)
11	2691646991152737	6620	4	(493:252[0.13999999999999999],494:44[0.12999999999999998],498:118[0.15],506:91[0.17],)	505	-40.41	-600.7964158415841	-9966.86	10	11.922	17	10	(0.07585893700674358,0.0663847807742968,0.07141931590124773,0.03812086242138122,)
12	2691868874287094	7129	4	(493:104[0.12999999999999998],494:84[0.13999999999999999],498:118[0.16],506:198[0.18000000000000002],)	504	-40.36	-402.1475595238094	-9958.22	11	11.998	17	10	(0.07081310371820973,0.05121222812798054,0.07844462997570747,0.0544317284265115,)
13	2692193218695512	7644	4	(493:104[0.13999999999999999],494:125[0.15],498:194[0.17],506:81[0.17],)	504	-40.01	-555.3681944444443	-9996.97	12	11.866	18	10	(0.08478143117005557,0.06970964526153649,0.04355573671181625,0.07529505267050808,)
