alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 444
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2603473075572737
Random seed:          444
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2608379685356250	997	1	(463:499[0.15],)	499	-49.29	-7145.5140681362755	-10000.0	9	9.008	13	8	(0.05724469197837453,)
1	2610338315171085	1506	4	(463:231[0.16],464:118[0.15],465:19[0.15],466:133[0.15],)	501	-47.45	-5076.743473053892	-10000.0	9	9.32	13	8	(0.08255484895294392,0.08421741320229363,0.076732879899933,0.07381887522926309,)
2	2611977856431001	2010	4	(463:126[0.15],464:110[0.16],465:54[0.16],466:214[0.13999999999999999],)	504	-42.14	-4406.002142857142	-10000.0	11	9.28	13	8	(0.05550258328213027,0.061415003473831706,0.07011598951739582,0.06975979443517827,)
3	2613442975078212	2514	4	(463:34[0.13999999999999999],464:48[0.17],465:284[0.17],466:138[0.12999999999999998],)	504	-46.18	-4076.7772817460323	-10000.0	11	9.232	13	8	(0.08702044838066995,0.08132020411572244,0.06201544576417535,0.06908043850063814,)
4	2614199783180057	3028	5	(463:48[0.15],464:19[0.18000000000000002],465:154[0.16],466:250[0.11999999999999998],468:33[0.15],)	504	-43.85	-2019.9692460317458	-10000.0	11	9.574	14	8	(0.06761429305812194,0.08789260310175577,0.07321064076258495,0.07033180989796972,0.08363894693978088,)
5	2614818933800587	3542	6	(463:48[0.16],464:116[0.19000000000000003],465:138[0.15],466:69[0.10999999999999999],468:56[0.16],472:78[0.15],)	505	-42.41	-1661.1774059405939	-10000.0	11	9.716	15	8	(0.09726685219733872,0.06365991791779614,0.08051264496375167,0.07791273180613488,0.08178619321421388,0.09963410817600993,)
6	2615242125834486	4048	7	(463:80[0.17],464:73[0.18000000000000002],465:127[0.13999999999999999],466:83[0.11999999999999998],468:102[0.17],472:24[0.16],475:17[0.15],)	506	-39.92	-1114.8758498023717	-10000.0	10	9.804	15	8	(0.07076394975563881,0.06910195275797296,0.06018785700962975,0.07817054748502256,0.08493628277059034,0.06861573728337093,0.08585635334683184,)
7	2615860930766768	4569	6	(463:144[0.16],464:118[0.17],466:31[0.10999999999999999],468:54[0.16],472:97[0.17],475:63[0.16],)	507	-43.28	-1414.4344773175546	-10000.0	12	10.194	16	8	(0.037817209033217294,0.08035968629823226,0.0763035057266285,0.07926991676401109,0.08164967368675738,0.05355940876717921,)
8	2616197060617829	5075	8	(463:197[0.15],464:20[0.16],466:39[0.11999999999999998],468:97[0.17],472:62[0.16],475:53[0.17],478:19[0.15],479:19[0.15],)	506	-40.59	-866.7235573122528	-10000.0	10	10.146	15	8	(0.06829630841442849,0.07319809156230649,0.05753372529893703,0.04821192911158804,0.07258220602405648,0.06772255544852296,0.08118566949031736,0.05461180604132225,)
9	2616698767082914	5613	7	(463:178[0.13999999999999999],464:56[0.17],468:133[0.16],472:30[0.15],475:49[0.18000000000000002],478:27[0.16],480:35[0.15],)	508	-40.96	-1299.0460826771655	-10000.0	8	10.084	16	8	(0.08671322336409654,0.10697015249805476,0.08002098532149747,0.10811025161301994,0.08827872482988516,0.10462727815867824,0.08085909531471659,)
10	2617031465820599	6134	8	(463:183[0.12999999999999998],464:115[0.18000000000000002],468:35[0.15],472:45[0.16],475:26[0.19000000000000003],480:28[0.16],484:30[0.15],485:45[0.15],)	507	-41.89	-843.8813412228797	-10000.0	15	9.972	17	8	(0.09174369999581779,0.10653982667106052,0.0855734793318279,0.060249047191746986,0.04065130960701309,0.07135641888865099,0.07752362101714726,0.0514368744544305,)
11	2617388786325280	6642	8	(463:43[0.11999999999999998],464:77[0.17],468:57[0.16],472:49[0.17],475:64[0.20000000000000004],480:53[0.17],484:32[0.16],485:133[0.16],)	508	-41.94	-879.5097637795275	-10000.0	13	10.232	16	8	(0.06641008605429564,0.06766309964781116,0.04749156344403164,0.0683572815120359,0.0604169379304984,0.08920211861275718,0.03852723373984458,0.05824259300790547,)
12	2617786332427703	7154	9	(463:171[0.12999999999999998],464:26[0.16],468:77[0.17],472:28[0.18000000000000002],475:57[0.19000000000000003],480:67[0.18000000000000002],484:29[0.17],485:33[0.15],487:20[0.15],)	508	-40.97	-937.1656299212599	-10000.0	13	10.796	17	8	(0.07206570508815441,0.10739543252873723,0.08236380783850726,0.0683086904773197,0.08676421982679844,0.08364472044325749,0.041099007605300594,0.10730296285727452,0.054496519777177385,)
13	2617999043674526	7663	9	(463:104[0.11999999999999998],464:49[0.17],468:55[0.16],472:83[0.19000000000000003],475:72[0.18000000000000002],480:17[0.17],484:46[0.18000000000000002],485:23[0.16],487:60[0.16],)	509	-40.81	-474.68220039292737	-10000.0	16	10.492	17	8	(0.07734729338064672,0.06232200554036611,0.08623341019766347,0.04863692015397518,0.06415964947933853,0.0667358430358478,0.0500362470400316,0.07695459587482793,0.041949407803388954,)
14	2618298753642202	8205	7	(463:112[0.10999999999999999],464:21[0.18000000000000002],468:66[0.15],472:44[0.18000000000000002],480:27[0.18000000000000002],484:42[0.19000000000000003],487:197[0.15],)	509	-40.54	-645.7711001964637	-10000.0	16	10.992	17	8	(0.07987838606859951,0.053531914484706386,0.07505514628845489,0.05142980346414904,0.08530359572045108,0.05656336160958963,0.0711704064441688,)
15	2618602444942808	8716	7	(463:37[0.09999999999999999],464:62[0.19000000000000003],468:37[0.16],472:115[0.19000000000000003],480:64[0.19000000000000003],484:141[0.20000000000000004],487:51[0.13999999999999999],)	507	-38.35	-674.1737475345167	-10000.0	11	10.574	18	8	(0.0515450317358516,0.06204900058119946,0.10142575497995439,0.07734593476500647,0.07261045121979535,0.08945550464350649,0.08344054082189668,)
16	2619010496128303	9227	6	(463:88[0.10999999999999999],464:46[0.20000000000000004],468:112[0.17],472:31[0.18000000000000002],480:104[0.20000000000000004],484:126[0.19000000000000003],)	507	-40.6	-923.1676923076923	-10000.0	10	11.01	18	8	(0.07105846233610219,0.06348431800044374,0.08447358770801514,0.06751492646444171,0.07326419234733886,0.06891390452702677,)
17	2619264623650173	9740	6	(463:176[0.09999999999999999],464:75[0.21000000000000005],472:41[0.19000000000000003],480:125[0.19000000000000003],484:65[0.18000000000000002],492:24[0.15],)	506	-39.53	-560.5533992094863	-10000.0	10	11.062	19	8	(0.035666663647301804,0.07470678547772419,0.059261012410220894,0.09457913074140259,0.059913815841081706,0.09369565131150726,)
18	2619493965879063	10246	6	(463:85[0.09],464:68[0.22000000000000006],472:46[0.20000000000000004],480:137[0.18000000000000002],484:127[0.19000000000000003],492:43[0.16],)	506	-37.03	-458.5067588932807	-10000.0	9	11.476	19	8	(0.05629198680125458,0.08096829710840087,0.07980924158833516,0.05604797094944429,0.06236637161306073,0.025922426126416428,)
19	2619704245399558	10752	6	(463:106[0.08],464:110[0.23000000000000007],472:45[0.21000000000000005],480:90[0.17],484:93[0.18000000000000002],492:62[0.17],)	506	-37.1	-449.94869565217397	-10000.0	9	11.29	18	8	(0.03476140168911606,0.09306429663608037,0.10118498188711261,0.03805475769426517,0.059749872824137504,0.03515609143805988,)
20	2619914826405825	11258	6	(463:75[0.07],464:81[0.22000000000000006],472:42[0.22000000000000006],480:77[0.16],484:184[0.17],492:47[0.18000000000000002],)	506	-37.4	-414.47523715415014	-10000.0	9	11.75	18	8	(0.04398919972834926,0.08307793657411017,0.09773052232388559,0.05007008892557507,0.0929395709592273,0.03658360442403459,)
21	2620175537315705	11764	6	(463:123[0.08],464:72[0.23000000000000007],472:127[0.23000000000000007],480:72[0.17],484:74[0.16],492:38[0.19000000000000003],)	506	-35.33	-502.8414624505929	-10000.0	9	11.612	18	8	(0.043790372317468074,0.07999059370066108,0.0947210519326974,0.053410676848292954,0.06917955153952683,0.04553731785498085,)
22	2620492617078977	12270	6	(463:105[0.07],464:61[0.24000000000000007],472:49[0.22000000000000006],480:16[0.18000000000000002],484:237[0.17],492:38[0.20000000000000004],)	506	-35.45	-604.8519762845848	-10000.0	9	12.922	19	8	(0.048733756623478446,0.09849878884975465,0.07525866738152896,0.052905868557578825,0.05929978577782375,0.05295362590001935,)
23	2620759851734618	12790	5	(463:64[0.060000000000000005],464:57[0.25000000000000006],472:59[0.23000000000000007],480:126[0.19000000000000003],484:200[0.16],)	506	-35.21	-523.961324110672	-10000.0	8	12.4	19	8	(0.04080412536256756,0.09414771823806382,0.07225550809723182,0.07297683020939573,0.0709219019968287,)
24	2621078520985498	13295	6	(463:48[0.07],464:83[0.26000000000000006],472:63[0.24000000000000007],480:20[0.18000000000000002],484:201[0.15],493:90[0.15],)	505	-34.77	-613.5190495049504	-10000.0	8	13.178	20	8	(0.05431567381692689,0.1256315526931077,0.06312092757647528,0.07198359666857726,0.09574197603028045,0.04514121998664333,)
