alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 555
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2603473039815722
Random seed:          555
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2607544253614334	997	1	(456:499[0.15],)	499	-61.51	-5201.169739478964	-10000.0	9	9.064	14	8	(0.07604434330772422,)
1	2608138333060279	1498	4	(456:244[0.16],457:172[0.15],458:42[0.15],459:43[0.15],)	501	-55.96	-1586.6718962075852	-10000.0	10	9.612	14	8	(0.09007347092765078,0.0740753448711993,0.0716073252579218,0.07240008039137243,)
2	2608539847248509	2020	3	(456:266[0.15],457:53[0.13999999999999999],459:185[0.16],)	504	-54.18	-1025.7620238095237	-10000.0	8	9.28	15	8	(0.0585190618147629,0.048562453097923834,0.056564007937471766,)
3	2608755803333836	2530	4	(456:99[0.13999999999999999],457:180[0.15],459:149[0.15],461:75[0.15],)	503	-51.11	-560.5222067594431	-10000.0	8	9.758	15	8	(0.06533419265426978,0.06714945704436596,0.06117006180400551,0.09246241219420984,)
4	2608982636404764	3037	3	(456:92[0.15],459:113[0.13999999999999999],461:299[0.16],)	504	-50.68	-590.5912896825395	-10000.0	9	9.798	16	8	(0.07482171726213964,0.05409958011654465,0.07513923282271386,)
5	2609217160599798	3546	3	(456:136[0.16],459:187[0.15],461:180[0.15],)	503	-51.96	-586.300536779324	-9999.23	10	9.364	14	8	(0.07627992984742321,0.07930429766136123,0.06893303058751658,)
6	2609466885148475	4056	3	(456:278[0.17],459:160[0.13999999999999999],461:65[0.13999999999999999],)	503	-52.54	-601.7329423459244	-10000.0	8	9.362	14	8	(0.0585780310474164,0.07256862934998473,0.08174721241047751,)
7	2609636763968662	4568	5	(456:205[0.16],459:158[0.15],461:31[0.15],467:81[0.15],468:28[0.15],)	503	-51.3	-445.9953876739562	-9967.24	11	9.714	16	8	(0.07636038784277423,0.06283043366297754,0.09650996974090233,0.0893618992887643,0.08684600322759527,)
8	2609895917771283	5073	8	(456:48[0.15],459:73[0.13999999999999999],461:108[0.16],467:60[0.16],468:144[0.16],470:29[0.15],471:20[0.15],472:23[0.15],)	505	-51.74	-692.3185544554456	-10000.0	9	10.026	14	8	(0.07689841277175322,0.09569908400747774,0.08480730788051531,0.06848923803005742,0.08355224154184902,0.08703181208630086,0.08727458936204503,0.08599984125506893,)
9	2610202366974703	5618	6	(456:37[0.16],461:26[0.15],467:18[0.17],468:66[0.15],472:330[0.16],473:31[0.15],)	508	-51.24	-666.8024212598426	-10000.0	9	9.624	14	8	(0.08940538766903179,0.07157649351271443,0.07492144552340654,0.09127914345179484,0.0791588936110192,0.0882862313380414,)
10	2610535961893711	6161	5	(456:241[0.17],461:114[0.16],472:79[0.15],473:49[0.16],476:23[0.15],)	506	-49.88	-918.3124901185771	-10000.0	9	9.206	14	8	(0.06989308559137462,0.07886152717675593,0.09052501712290258,0.09156380885811974,0.07746128368377135,)
11	2610847362763815	6676	5	(456:117[0.16],461:42[0.15],472:59[0.16],473:56[0.17],476:231[0.16],)	505	-51.7	-863.5312871287127	-10000.0	8	9.266	14	8	(0.08765941680690757,0.09698727803604443,0.06659820388580627,0.06082778180639447,0.052492251537820514,)
12	2611130278384832	7197	5	(456:122[0.15],472:128[0.17],476:173[0.15],478:49[0.15],479:33[0.15],)	505	-52.83	-744.1034059405938	-10000.0	8	9.222	12	8	(0.06885487968301053,0.06597516721843319,0.07214992519732479,0.0868691045479691,0.08742007876863032,)
13	2611430652498130	7707	7	(456:55[0.13999999999999999],472:21[0.16],476:103[0.13999999999999999],478:140[0.16],479:120[0.16],480:35[0.15],482:31[0.15],)	505	-50.82	-777.1845742574257	-9986.89	10	9.214	12	8	(0.07776109878396884,0.0506332013339509,0.0833364299336244,0.07200585343586283,0.0782560444160003,0.0795217065723491,0.07090776684497767,)
14	2611760443280060	8222	7	(456:106[0.15],472:60[0.17],476:69[0.12999999999999998],478:89[0.15],479:80[0.15],480:74[0.16],482:29[0.16],)	507	-51.52	-996.772406311637	-10000.0	9	9.404	13	8	(0.06730228011879293,0.07907933726508096,0.059775793293058634,0.07371402499519346,0.049736203080711,0.06042536837622391,0.07283688050511528,)
15	2612066502099988	8742	7	(456:35[0.13999999999999999],472:93[0.18000000000000002],476:20[0.13999999999999999],478:83[0.13999999999999999],479:57[0.13999999999999999],480:121[0.15],482:98[0.17],)	507	-49.97	-767.6884220907299	-10000.0	9	9.632	13	8	(0.06456426559626335,0.07823742763038061,0.0761661773504444,0.07172522965587544,0.08327346593623353,0.062142412543860444,0.06360356916071372,)
16	2612301633358109	9251	7	(456:25[0.15],472:94[0.17],476:69[0.15],478:39[0.12999999999999998],479:101[0.15],480:79[0.13999999999999999],482:100[0.16],)	507	-47.93	-614.7599605522682	-10000.0	10	9.764	14	8	(0.08297811240824318,0.07781657269228585,0.08697588811772601,0.07751138095110219,0.05107029519516059,0.08254544111091695,0.08750967023694706,)
17	2612738625528993	9774	7	(456:38[0.16],472:60[0.16],476:33[0.16],478:63[0.13999999999999999],479:133[0.13999999999999999],480:90[0.12999999999999998],482:90[0.15],)	507	-51.58	-1129.165522682446	-10000.0	8	9.764	14	8	(0.07716802212035008,0.07850029490271034,0.05900042743145722,0.07237375739373446,0.07098471018486713,0.06632810136522348,0.06318523701591276,)
18	2613078212814634	10286	7	(456:67[0.17],472:71[0.17],476:46[0.17],478:78[0.15],479:91[0.12999999999999998],480:91[0.11999999999999998],482:63[0.13999999999999999],)	507	-50.18	-829.2599211045363	-10000.0	12	9.952	15	8	(0.07498515822450359,0.07952306431188086,0.056015598884898044,0.06626213956358569,0.07482354933043801,0.0688005346984283,0.07701860786077223,)
19	2613313001561191	10797	7	(456:86[0.18000000000000002],472:23[0.16],476:82[0.18000000000000002],478:79[0.13999999999999999],479:92[0.11999999999999998],480:75[0.10999999999999999],482:70[0.15],)	507	-50.21	-622.6904733727811	-10000.0	8	10.1	14	8	(0.0730626128722278,0.10368030703347354,0.05351585523091019,0.08184925853225528,0.08300086469631415,0.06909572641677243,0.07923293872495246,)
20	2613678860582814	11317	8	(456:54[0.17],472:54[0.17],476:122[0.17],478:44[0.12999999999999998],480:61[0.09999999999999999],482:35[0.16],495:29[0.15],496:108[0.15],)	507	-51.1	-891.035818540434	-9944.42	10	10.124	15	8	(0.08882501592286018,0.07497255436675455,0.06266711771117651,0.0697710307520602,0.07240742406178731,0.10272365642464594,0.09491360157035439,0.08990269730016712,)
21	2614141127654089	11831	8	(456:35[0.18000000000000002],472:34[0.18000000000000002],476:48[0.16],478:18[0.13999999999999999],480:15[0.10999999999999999],482:36[0.17],495:231[0.16],496:91[0.13999999999999999],)	508	-50.85	-1188.7231889763782	-10000.0	9	9.93	15	8	(0.084674221005423,0.07946974270320105,0.06429338079919812,0.07694337969852155,0.05794754194845364,0.09710695891019,0.0529880245165968,0.08318466717018926,)
22	2614429980841400	12339	8	(456:80[0.19000000000000003],472:25[0.19000000000000003],476:71[0.17],478:48[0.15],480:88[0.11999999999999998],482:46[0.18000000000000002],495:54[0.15],496:96[0.12999999999999998],)	508	-48.67	-749.5099606299211	-10000.0	8	10.016	16	8	(0.07399168399291912,0.10008674571485304,0.10357463810863583,0.08107498481523465,0.04598218607327395,0.09640734883869209,0.08806692766220252,0.08088699369628086,)
23	2614705283231644	12857	7	(472:128[0.20000000000000004],476:25[0.16],478:87[0.16],480:84[0.10999999999999999],482:92[0.19000000000000003],495:55[0.16],496:37[0.11999999999999998],)	508	-49.8	-685.9333661417322	-10000.0	8	9.94	14	8	(0.07315789423803334,0.08747211051926276,0.07395245151395227,0.06451718217930781,0.09108151756499636,0.06336143375727038,0.08818815443648381,)
24	2615047155565146	13366	9	(472:19[0.19000000000000003],476:137[0.17],478:75[0.15],480:66[0.09999999999999999],482:53[0.18000000000000002],495:60[0.17],496:42[0.12999999999999998],501:15[0.15],503:40[0.15],)	507	-50.48	-896.5231755424064	-10000.0	8	10.368	14	8	(0.09918875533069037,0.05701325578756164,0.09254709062688603,0.06298847209337015,0.10127039127752573,0.08664802076380552,0.07956525809599048,0.09310915277668869,0.07330578457292211,)
