alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 888
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2603473139168546
Random seed:          888
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2606940327759932	997	1	(471:499[0.15],)	499	-53.63	-2461.385571142285	-10000.0	10	9.332	14	8	(0.11497157789383064,)
1	2607633937004507	1498	2	(471:88[0.16],472:413[0.15],)	501	-49.4	-1833.756826347305	-10000.0	9	9.74	15	8	(0.07459560511797875,0.07684823088391686,)
2	2608223008230646	2014	2	(471:276[0.17],472:226[0.13999999999999999],)	502	-53.07	-1396.5943227091636	-10000.0	9	9.736	15	8	(0.07489335038515835,0.07300903887078497,)
3	2608977584955991	2525	3	(471:163[0.16],472:142[0.15],474:197[0.15],)	502	-45.52	-1742.7939641434261	-10000.0	10	9.838	16	8	(0.0729228380113039,0.07619672947760778,0.08473201795681827,)
4	2609636050057881	3029	3	(471:239[0.17],472:176[0.16],474:88[0.13999999999999999],)	503	-44.2	-1653.8009940357856	-10000.0	11	10.082	17	8	(0.0736238361981643,0.07478383599392918,0.07923947547475084,)
5	2610325275220583	3557	5	(471:115[0.16],472:194[0.15],474:53[0.15],477:123[0.15],478:18[0.15],)	503	-43.23	-1516.3425844930418	-10000.0	11	10.368	17	8	(0.08205603488077613,0.06816776027977836,0.09455754737591673,0.08445275657674511,0.08754496128928425,)
6	2610911115492877	4062	7	(471:22[0.15],472:66[0.13999999999999999],474:119[0.16],477:37[0.13999999999999999],478:223[0.16],484:17[0.15],485:21[0.15],)	505	-43.4	-1384.3094455445546	-10000.0	11	9.882	17	8	(0.06250243873206274,0.0794270262631161,0.04568920816100109,0.07964475454926874,0.0617938436339941,0.10006596308497442,0.06968989169081377,)
7	2611442137536590	4580	7	(471:109[0.16],472:116[0.15],474:67[0.15],477:64[0.15],478:61[0.15],484:53[0.16],487:37[0.15],)	507	-31.86	-1178.9061735700197	-10000.0	9	10.026	15	8	(0.08025700220088457,0.08386430928614476,0.06515639417731003,0.08020457810393532,0.06385782387829525,0.022718365353109463,0.06888741569099735,)
8	2611937609684191	5088	7	(471:27[0.15],472:150[0.13999999999999999],474:95[0.16],477:42[0.16],478:60[0.16],484:22[0.17],487:111[0.16],)	507	-33.68	-1205.2521104536488	-10000.0	9	10.156	16	8	(0.052272213825625295,0.06645928190349161,0.06885002469196178,0.047623740384406685,0.05653659978415947,0.07478019465909119,0.0515002031962748,)
9	2612561421276745	5619	6	(471:77[0.16],472:73[0.12999999999999998],474:85[0.15],478:136[0.17],484:56[0.18000000000000002],487:80[0.15],)	507	-35.86	-1426.8406114398424	-10000.0	10	10.472	16	8	(0.06152587158172152,0.0854164063861901,0.07932656297466678,0.07449185336769432,0.061232372387516866,0.056356327916155025,)
10	2613159768603731	6146	6	(471:83[0.17],472:61[0.13999999999999999],474:75[0.13999999999999999],478:210[0.16],484:20[0.19000000000000003],487:57[0.16],)	506	-32.83	-1304.0140909090908	-10000.0	10	10.69	16	8	(0.07139829358937712,0.07536232625306424,0.06699449295789268,0.06930005916286923,0.06310075740815597,0.08340212861573963,)
