alpha = 0.15
gamma = 1.0
lambda = 0.6
epsilon = 0.3
randomSeed = 1414
GREAT!
Xover: 4
---- Evolution parameters ----
Folder name:          NMSarsa_Maze/run_2603473150950698
Random seed:          1414
GREAT activated:      true
Max iterations:       150
Population size:      500
GREAT initialization  true
Speciation threshold: 0.15
Species min size:     15
Tournament size:      3
Crossover rate:       0.2
Mutation rate:        0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	Species size	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size	Species avgdist2rep
0	2607103496840517	997	1	(473:499[0.15],)	499	-67.54	-2836.2016633266503	-10000.0	9	9.16	13	8	(0.07247190105930186,)
1	2607855012693350	1511	1	(473:501[0.16],)	501	-55.02	-1944.7057085828353	-10000.0	10	9.338	14	8	(0.056072198245376445,)
2	2608532712952771	2012	1	(473:501[0.15],)	501	-52.39	-1752.638343313373	-10000.0	9	9.454	14	8	(0.06708899675618682,)
3	2609259948578258	2519	2	(473:349[0.13999999999999999],475:152[0.15],)	501	-51.35	-1713.552355289421	-10000.0	8	9.756	15	8	(0.07699687400358199,0.08388943574778136,)
4	2609862063183073	3021	2	(473:400[0.12999999999999998],475:102[0.16],)	502	-50.87	-1479.626035856573	-10000.0	10	9.996	16	8	(0.05759588994205476,0.06161186866381895,)
5	2610401809587989	3523	2	(473:269[0.11999999999999998],475:233[0.17],)	502	-47.87	-1379.1070717131474	-10000.0	9	9.692	15	8	(0.055548129720407985,0.045088413442648946,)
6	2611028640754482	4027	2	(473:223[0.10999999999999999],475:279[0.18000000000000002],)	502	-47.48	-1565.9960159362554	-10000.0	9	9.552	15	8	(0.07670571744323412,0.08629752563297381,)
7	2611630339403806	4529	2	(473:360[0.11999999999999998],475:142[0.17],)	502	-47.05	-1540.9193625498012	-10000.0	10	9.756	15	8	(0.0625963136666154,0.06573533698709941,)
8	2612391722143376	5040	2	(473:136[0.10999999999999999],475:366[0.18000000000000002],)	502	-48.07	-1887.0611952191239	-10000.0	8	9.542	14	8	(0.072395982672261,0.07067352756690437,)
9	2612975529613420	5542	4	(473:143[0.11999999999999998],475:313[0.17],479:30[0.15],480:16[0.15],)	502	-44.31	-1545.0696414342635	-10000.0	9	9.922	14	8	(0.058237414760684024,0.07930217650124251,0.09133817922502449,0.08986027649071938,)
10	2613820472984264	6050	4	(473:318[0.10999999999999999],475:69[0.16],479:55[0.16],480:62[0.16],)	504	-46.41	-2024.9127579365074	-10000.0	12	10.25	15	8	(0.05346742317444676,0.059344902036394025,0.03204217937220093,0.08919267318159627,)
11	2614485060541761	6555	4	(473:92[0.09999999999999999],475:100[0.17],479:182[0.17],480:130[0.17],)	504	-44.53	-1535.5147420634921	-10000.0	9	10.852	15	8	(0.06359490406218013,0.07206922932584309,0.073544358154527,0.05072893326947081,)
12	2615065369338238	7064	4	(473:181[0.10999999999999999],475:166[0.18000000000000002],479:38[0.16],480:119[0.16],)	504	-43.94	-1336.735357142857	-10000.0	12	10.518	15	8	(0.057991701848722335,0.05644661535316009,0.09326050938832699,0.08058990857278371,)
13	2615683384762374	7581	4	(473:135[0.09999999999999999],475:23[0.17],479:160[0.17],480:186[0.17],)	504	-42.79	-1293.6739682539685	-10000.0	9	11.108	16	8	(0.07377656539368681,0.09504781915276987,0.061390403787325035,0.06834615864041195,)
